Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG
35,Marshawn Lynch,,,RB16,28,,,,,30,35.8
36,Travis Kelce,KC,10,TE2,41,,,,,29,36
37,Alshon Jeffery,,,WR17,35,,,,,36,37
38,Kareem Hunt,KC,10,RB17,33,,,,,37,38.2
39,Michael Crabtree,,,WR18,37,,,,,43,41
40,Carlos Hyde,,,RB18,38,,,,,45,41.4
41,Davante Adams,LAR,8,WR19,48,,,,,35,41.6
42,Ty Montgomery,II,,RB19,45,,,,,48,42
43,Drew Brees,,,QB3,34,,,,,34,42.8
44,Joe Mixon,HOU,7,RB20,57,,,,,33,43.8
45,Golden Tate,,,WR20,47,,,,,47,46.4
46,Allen Robinson,II,,WR21,60,,,,,42,47.2
47,Larry Fitzgerald,,,WR22,44,,,,,56,47.8
48,Greg Olsen,,,TE3,43,,,,,46,48
49,Tyreek Hill,MIA,1,WR23,54,,,,,58,50.4
50,Jordan Reed,,,TE4,46,,,,,51,50.6
51,Kelvin Benjamin,,,WR24,49,,,,,62,51.2
52,Martavis Bryant,,,WR25,58,,,,,52,51.2
53,Jarvis Landry,,,WR26,52,,,,,44,52.8
54,Mark Ingram,II,,RB21,55,,,,,53,55.6
55,Matt Ryan,,,QB4,39,,,,,50,56
56,Stefon Diggs,NE,9,WR27,67,,,,,64,56.8
57,Jimmy Graham,,,TE5,53,,,,,59,58
58,Bilal Powell,,,RB22,56,,,,,63,58.8
59,Sammy Watkins,,,WR28,63,,,,,55,59
60,Emmanuel Sanders,,,WR29,50,,,,,60,60
61,C.J. Anderson,,,RB23,69,,,,,57,60.8
62,DeVante Parker,,,WR30,71,,,,,54,61.4
63,Russell Wilson,NYG,8,QB5,51,,,,,70,63.8
64,Jamison Crowder,,,WR31,59,,,,,78,63.8
65,Ameer Abdullah,SF,11,RB24,75,,,,,61,64
66,Brandon Marshall,,,WR32,68,,,,,65,67
67,Danny Woodhead,,,RB25,65,,,,,85,67.8
68,Pierre Garcon,,,WR33,70,,,,,79,70
69,Tevin Coleman,,,RB26,90,,,,,49,71.2
70,Kyle Rudolph,,,TE6,72,,,,,67,74.2
71,Adrian Peterson,,,RB27,62,,,,,87,75.4
72,Doug Martin,,,RB28,97,,,,,86,76
73,Mike Gillislee,,,RB29,77,,,,,82,77.8
74,Delanie Walker,,,TE7,66,,,,,73,78.4
75,Zach Ertz,WAS,5,TE8,82,,,,,71,78.4
76,Tyler Eifert,,,TE9,95,,,,,83,78.8
77,Frank Gore,,,RB30,64,,,,,76,80.8
78,Jameis Winston,NYG,8,QB6,89,,,,,66,81.4
79,Theo Riddick,,,RB31,81,,,,,77,82.8
80,Robert Kelley,,,RB32,78,,,,,81,83.6
81,Kirk Cousins,ATL,5,QB7,74,,,,,91,84.4
82,Paul Perkins,,,RB33,88,,,,,68,84.6
83,Jeremy Maclin,,,WR34,86,,,,,101,84.6
84,Willie Snead,IV,,WR35,119,,,,,75,84.8
85,Marcus Mariota,WAS,5,QB8,92,,,,,93,84.8
86,Derek Carr,,,QB9,76,,,,,94,85.2
87,Cam Newton,,,QB10,61,,,,,103,86.8
88,DeSean Jackson,,,WR36,80,,,,,105,87.2
89,Martellus Bennett,,,TE10,85,,,,,74,89.8
90,Derrick Henry,BAL,10,RB34,130,,,,,69,90
91,Eric Decker,,,WR37,87,,,,,89,90.4
92,Randall Cobb,,,WR38,94,,,,,88,90.6
93,Duke Johnson Jr.,,,RB35,104,,,,,80,92.8
94,Tyrell Williams,,,WR39,112,,,,,84,93
95,Terrance West,,,RB36,84,,,,,109,95.4
96,Andrew Luck,,,QB11,110,,,,,104,99.6
97,Adam Thielen,CAR,11,WR40,108,,,,,90,100.8
98,Eddie Lacy,,,RB37,91,,,,,96,101.6
99,LeGarrette Blount,,,RB38,106,,,,,97,102.6
100,Darren McFadden,,,RB39,93,,,,,137,103
101,Chris Hogan,,,WR41,99,,,,,129,103.6
102,Ben Roethlisberger,,,QB12,102,,,,,102,104
103,Hunter Henry,NE,9,TE11,120,,,,,92,106.2
104,James White,,,RB40,118,,,,,95,107.8
105,Corey Coleman,,,WR42,132,,,,,98,109
106,Dak Prescott,DAL,6,QB13,73,,,,,118,109.8
107,Matthew Stafford,LAR,8,QB14,98,,,,,99,113.6
108,Thomas Rawls,,,RB41,124,,,,,108,114.2
109,Marvin Jones Jr.,,,WR43,137,,,,,110,117.2
110,Jonathan Stewart,,,RB42,113,,,,,122,117.6
111,Rishard Matthews,,,WR44,121,,,,,120,119.6
112,Philip Rivers,,,QB15,123,,,,,114,120.4
113,Jordan Matthews,,,TE12,136,,,,,128,120.6
114,Matt Forte,,,RB43,109,,,,,113,121.4
115,Eric Ebron,,,TE13,154,,,,,107,121.6
116,Darren Sproles,,,RB44,122,,,,,126,121.6
117,John Brown,,,WR45,149,,,,,121,121.8
118,Donte Moncrief,,,WR46,103,,,,,72,84
119,Jack Doyle,,,TE14,133,,,,,124,127.4
120,Stephen Gostkowski,,,K1,96,,,,,127,127.8
121,Justin Tucker,,,K2,100,,,,,133,128.4
122,C.J. Prosise,,,RB45,153,,,,,116,129.4
123,Jacquizz Rodgers,,,RB46,146,,,,,136,131
124,Ted Ginn Jr.,,,WR47,128,,,,,155,131.4
125,Eli Manning,,,QB16,127,,,,,131,137.2
126,Jason Witten,,,TE15,117,,,,,156,138
127,Andy Dalton,CAR,11,QB17,141,,,,,143,138.4
128,Kevin White,,,WR48,145,,,,,141,138.8
129,Jamaal Charles,,,RB47,161,,,,,115,140.4
130,Kenny Britt,,,WR49,111,,,,,100,106.3
131,Mike Wallace,,,WR50,101,,,,,106,108.3
132,Cooper Kupp,SEA,6,WR51,162,,,,,139,144.4
133,Austin Hooper,NE,9,TE16,159,,,,,150,145
134,Rex Burkhead,,,RB48,174,,,,,154,145.4
135,Denver Broncos,DST,5,DST1,83,,,,,,112
136,Carson Palmer,,,QB18,142,,,,,142,149.2
137,Jeremy Hill,,,RB49,176,,,,,138,150.2
138,Corey Davis,,,WR52,140,,,,,111,117.3
139,Zay Jones,ARI,8,WR53,125,,,,,117,128.3
140,Samaje Perine,CIN,6,RB50,,,,,,119,129.8
141,Jamaal Williams,,,RB51,,,,,,132,135.3
142,Alvin Kamara,NO,5,RB52,183,,,,,214,167.4
143,Matt Bryant,,,K3,114,,,,,149,139.8
144,O.J. Howard,,,TE17,152,,,,,112,144
145,Dan Bailey,,,K4,131,,,,,147,145.3
146,Giovani Bernard,,,RB53,138,,,,,145,146
147,Carson Wentz,,,QB19,135,,,,,135,146.3
148,Sterling Shepard,TB,1,WR54,170,,,,,123,146.8
149,Coby Fleener,,,TE18,156,,,,,148,149.8
150,Seattle Seahawks,DST,6,DST2,79,,,,,,109.3
151,Cole Beasley,,,WR55,150,,,,,152,153.8
152,Latavius Murray,,,RB54,165,,,,,130,156.8
153,Tyler Lockett,TEN,8,WR56,167,,,,,140,160
154,New York Giants,DST,8,DST3,171,,,,,,160.3
155,Evan Engram,DEN,5,TE19,151,,,,,146,160.3
156,Tyrod Taylor,NYJ,11,QB20,164,,,,,151,162.3
157,Kansas City Chiefs,DST,10,DST4,107,,,,,,123
158,Houston Texans,DST,7,DST5,105,,,,,,123.3
159,Julius Thomas,,,TE20,160,,,,,162,163.8
160,Mason Crosby,,,K5,157,,,,,190,166.3
161,Josh Doctson,,,WR57,185,,,,,164,166.3
162,Cameron Brate,,,TE21,158,,,,,180,170.3
163,Wendell Smallwood,,,RB55,,,,,,176,171.5
164,Taylor Gabriel,,,WR58,169,,,,,157,172.3
165,Minnesota Vikings,DST,9,DST6,116,,,,,,136.3
166,Arizona Cardinals,DST,8,DST7,129,,,,,,139.3
167,New England Patriots,DST,9,DST8,134,,,,,,140.3
168,Antonio Gates,,,TE22,143,,,,,183,177
169,Shane Vereen,,,RB56,193,,,,,166,177.5
170,Robbie Chosen,SF,11,WR59,,,,,,134,144.7
171,Carolina Panthers,DST,11,DST9,115,,,,,,145.7
172,Mohamed Sanu Sr.,,,WR60,163,,,,,198,180.5
173,Adam Vinatieri,,,K6,126,,,,,182,147.3
174,Kenny Stills,,,WR61,186,,,,,163,181.8
175,Joe Flacco,CLE,9,QB21,144,,,,,187,183.8
176,Kendall Wright,,,WR62,191,,,,,181,186
177,Danny Amendola,,,WR63,147,,,,,291,192.3
178,Marqise,Lee,,WR64,196,,,,,170,190.8
179,Chris Thompson,,,RB57,177,,,,,235,191.8
180,Kenny Golladay,,,WR65,,,,,,153,161.7
181,John Ross,,,WR66,,,,,,125,162.3
182,Matt Prater,,,K7,166,,,,,206,172.3
183,Pittsburgh Steelers,DST,9,DST10,139,,,,,,173.3
184,Wil Lutz,DEN,5,K8,195,,,,,193,176.3
185,Jared Cook,,,TE23,148,,,,,255,206
186,Charles Sims,,,RB58,197,,,,,217,206.3
187,Jacksonville Jaguars,DST,8,DST11,173,,,,,,181.3
188,Marlon Mack,,,RB59,,,,,,208,183
189,Torrey Smith,,,WR67,178,,,,,266,209.5
190,D'Onta Foreman,,,RB60,,,,,,195,186
191,Cairo Santos,CHI,9,K9,192,,,,,226,189.7
192,Los Angeles Rams,DST,8,DST12,181,,,,,,190
193,Breshad Perriman,,,WR68,,,,,,159,192
194,Jay Cutler,,,QB22,,,,,,211,192.7
195,Baltimore Ravens,DST,10,DST13,168,,,,,,193
196,Dion Lewis,,,RB61,,,,,,201,193
197,Philadelphia Eagles,DST,10,DST14,182,,,,,,194.7
198,DeAndre Washington,,,RB62,,,,,,228,195.3
199,J.J. Nelson,,,WR69,,,,,,167,196.3
200,James Conner,ARI,8,RB63,,,,,,172,196.3
201,Atlanta Falcons,DST,5,DST15,155,,,,,,197
202,Charcandrick West,,,RB64,187,,,,,280,218.8
203,Sebastian Janikowski,,,K10,172,,,,,264,198
204,Sam Bradford,,,QB23,,,,,,202,198
205,Dustin Hopkins,CLE,9,K11,188,,,,,219,198.7
206,Malcolm Mitchell,,,WR70,,,,,,168,201
207,C.J. Fiedorowicz,,,TE24,,,,,,251,203.7
208,David Njoku,CLE,9,TE25,,,,,,169,204
209,Brandon LaFell,,,WR71,,,,,,160,204.7
210,Allen Hurns,,,WR72,,,,,,161,205.7
211,Devin Funchess,,,WR73,,,,,,215,207
212,Julian Edelman,,,WR74,,,,,,370,212
213,Jonathan Williams,,,RB65,,,,,,,171.5
214,Spencer Ware,,,RB66,,,,,,372,217
215,Jalen Richard,,,RB67,,,,,,165,210.3
216,Deshaun Watson,CLE,9,QB24,,,,,,174,210.7
217,Joe Williams,,,RB68,,,,,,144,174.5
218,Robert Woods,PIT,9,WR75,,,,,,205,211
219,Chris Carson,,,RB69,,,,,,207,211.7
220,Cincinnati Bengals,DST,6,DST16,184,,,,,,213.7
221,T.J. Yeldon,,,RB70,,,,,,171,214.7
222,Cameron Meredith,,,WR76,,,,,,371,224.5
223,Los Angeles Chargers,DST,9,DST17,175,,,,,,216.3
224,Blair Walsh,,,K12,180,,,,,247,216.3
225,De'Angelo Henderson Sr.,,,RB71,,,,,,179,218
226,ArDarius Stewart,,,WR77,,,,,,158,218.3
227,Chris Boswell,PIT,9,K13,189,,,,,239,218.3
228,Mike Williams,,,WR78,,,,,,191,218.7
229,Devontae Booker,,,RB72,,,,,,188,225.3
230,Tavon Austin,,,WR79,,,,,,184,225.7
231,Graham Gano,NYG,8,K14,,,,,,199,197
232,Jesse James,,,TE26,,,,,,175,197.5
233,Tarik Cohen,,,RB73,,,,,,204,226.3
234,William Fuller,V,,WR80,,,,,,200,226.7
235,Matt Breida,,,RB74,,,,,,234,228.7
236,Jaron Brown,,,WR81,,,,,,233,229.7
237,Branden Oliver,,,RB75,,,,,,186,230.3
238,Curtis Samuel,BUF,6,WR82,,,,,,192,230.3
239,Charles Clay,,,TE27,,,,,,297,234.7
240,Austin Seferian-Jenkins,,,TE28,,,,,,222,230.7
241,Paul Richardson Jr.,,,WR83,,,,,,262,230.7
242,Chris Conley,,,WR84,,,,,,194,231
243,Stephen Hauschka,,,K15,,,,,,249,207
244,Kenyan Drake,,,RB76,,,,,,173,207
245,Alex Smith,,,QB25,,,,,,257,234
246,Kyle Juszczyk,SF,11,RB77,,,,,,227,234
247,Caleb Sturgis,,,K16,194,,,,,253,236
248,Zach Zenner,,,RB78,,,,,,177,214.5
249,Dwayne Allen,,,TE29,,,,,,240,239
250,Brandon McManus,GB,8,K17,,,,,,241,217.5
251,Chris Ivory,,,RB79,,,,,,189,218.5
252,Jimmy Garoppolo,LAR,8,QB26,,,,,,178,219
253,Kerwynn Williams,,,RB80,,,,,,203,222.5
254,Robert Turbin,,,RB81,,,,,,290,245.3
255,Vance McDonald,,,TE30,,,,,,324,258.3
256,Nelson Agholor,,,WR85,,,,,,277,245.3
257,Blake Bortles,,,QB27,,,,,,300,251.7
258,Chris Godwin,TB,1,WR86,,,,,,210,229
259,Mitchell Trubisky,BUF,6,QB28,,,,,,197,230
260,Harrison Butker,KC,10,K18,179,,,,,,179
261,Dede Westbrook,,,WR87,,,,,,216,232.5
262,Tyler Higbee,LAR,8,TE31,,,,,,209,233
263,Brian Hoyer,,,QB29,,,,,,310,258.7
264,Carlos Henderson,,,WR88,,,,,,185,185
265,Alfred Morris,,,RB82,,,,,,270,251.7
266,Younghoe Koo,ATL,5,K19,190,,,,,,190
267,Javorius Allen,,,RB83,,,,,,245,253
268,Laquon Treadwell,IND,11,WR89,,,,,,225,238
269,JuJu Smith-Schuster,KC,10,WR90,,,,,,232,238
270,Benjamin Watson,,,TE32,,,,,,224,239.5
271,C.J. Spiller,,,RB84,,,,,,196,196
272,Zach Miller,,,TE33,,,,,,295,259
273,DeShone Kizer,,,QB30,,,,,,328,264
274,Tampa Bay Buccaneers,DST,1,DST18,,,,,,,244.5
275,Trevor Siemian,TEN,8,QB31,,,,,,274,257.7
276,Travis Benjamin,,,WR91,,,,,,305,264.7
277,Tim Hightower,,,RB85,,,,,,267,245
278,Jerick McKinnon,,,RB86,,,,,,281,245.5
279,Las Vegas Raiders,DST,,DST19,,,,,,,245.5
280,Jared Goff,DET,7,QB32,,,,,,302,256
281,Brandon Coleman,,,WR92,,,,,,212,212
282,George Kittle,SF,11,TE34,,,,,,229,248
283,Kasen Williams,,,WR93,,,,,,213,213
284,Aaron Jones Sr.,MIN,9,RB87,,,,,,231,248.5
285,Chandler Catanzaro,,,K20,,,,,,318,265.5
286,Tyler Boyd,,,WR94,,,,,,236,250
287,Donnel Pumphrey,,,RB88,,,,,,218,218
288,Marquise Goodwin,,,WR95,,,,,,284,251.5
289,Tennessee Titans,DST,8,DST20,,,,,,,251.5
290,Josh Gordon,,,WR96,,,,,,244,251.5
291,Bruce Ellington,,,WR97,,,,,,220,220
292,Chester Rogers,,,WR98,,,,,,221,221
293,Ryan Switzer,,,WR99,,,,,,223,223
294,Orleans Darkwa,,,RB89,,,,,,254,263.7
295,Geronimo Allison,,,WR100,,,,,,230,230
296,Jermaine Kearse,,,WR101,,,,,,283,257.5
297,Gerald Everett,,,TE35,,,,,,259,258.5
298,Matt Jones,,,RB90,,,,,,288,262
299,Alex Erickson,,,WR102,,,,,,237,237
300,Matt Asiata,,,RB91,,,,,,238,238
301,Chris Johnson,,,RB92,,,,,,242,242
302,Josh McCown,,,QB33,,,,,,243,243
303,Phillip Dorsett II,LV,,WR103,,,,,,294,268.5
304,Nick Folk,NYJ,11,K21,,,,,,,246
305,Jermaine Gresham,,,TE36,,,,,,246,246
306,Wayne Gallman Jr.,,,RB93,,,,,,248,248
307,Andre Roberts,,,WR104,,,,,,250,250
308,Green Bay Packers,DST,8,DST21,,,,,,,252
309,Ryan Mathews,,,RB94,,,,,,252,252
310,Jeremy Kerley,,,WR105,,,,,,303,278
311,Cordarrelle Patterson,,,RB95,,,,,,256,256
312,Patrick Mahomes II,KC,10,QB34,,,,,,265,270
313,Tajae Sharpe,,,WR106,,,,,,258,258
314,Jeremy McNichols,WAS,5,RB96,,,,,,,258
315,Deonte Thompson,,,WR107,,,,,,260,260
316,Brandon Tate,,,WR108,,,,,,261,261
317,Braxton Miller,,,WR109,,,,,,263,263
318,New York Jets,DST,11,DST22,,,,,,,265
319,Eli Rogers,,,WR110,,,,,,319,292
320,Taywan Taylor,,,WR111,,,,,,355,310.5
321,Erik Swoope,,,TE37,,,,,,268,268
322,Dwayne Washington,,,RB97,,,,,,331,299.5
323,Markus Wheaton,,,WR112,,,,,,269,269
324,Vernon Davis,,,TE38,,,,,,315,292
325,Buffalo Bills,DST,6,DST23,,,,,,,270
326,Kamar Aiken,,,WR113,,,,,,271,271
327,Terrance Williams,,,WR114,,,,,,292,281.5
328,Daniel Lasco,,,RB98,,,,,,272,272
329,Miami Dolphins,DST,1,DST24,,,,,,,273
330,Ladarius Green,,,TE39,,,,,,273,273
331,Aldrick Rosas,,,K22,,,,,,275,275
332,Dallas Cowboys,DST,6,DST25,,,,,,,276
333,Dennis Pitta,,,TE40,,,,,,276,276
334,Cleveland Browns,DST,9,DST26,,,,,,,277
335,Chicago Bears,DST,9,DST27,,,,,,,278
336,Zane Gonzalez,,,K23,,,,,,278,278
337,San Francisco 49ers,DST,11,DST28,,,,,,,279
338,Phil Dawson,,,K24,,,,,,279,279
339,Washington Commanders,DST,5,DST29,,,,,,,280
340,Indianapolis Colts,DST,11,DST30,,,,,,,281
341,Detroit Lions,DST,7,DST31,,,,,,,282
342,Josh Lambo,,,K25,,,,,,282,282
343,New Orleans Saints,DST,5,DST32,,,,,,,283
344,Tom Savage,,,QB35,,,,,,285,285
345,Nick Novak,,,K26,,,,,,286,286
346,Mike Glennon,,,QB36,,,,,,287,287
347,DeAngelo Williams,,,RB99,,,,,,289,289
348,Kenjon Barner,,,RB100,,,,,,293,293
349,Dontrelle Inman,,,WR115,,,,,,296,296
350,Matt Barkley,,,QB37,,,,,,298,298
351,Victor Cruz,,,WR116,,,,,,299,299
352,James Starks,,,RB101,,,,,,301,301
353,Roberto Aguayo,,,K27,,,,,,304,304
354,Michael Floyd,,,WR117,,,,,,306,306
355,Damien Williams,,,RB102,,,,,,307,307
356,Seth Roberts,,,WR118,,,,,,308,308
357,Brock Osweiler,,,QB38,,,,,,309,309
358,Adam Humphries,,,WR119,,,,,,311,311
359,Cody Kessler,,,QB39,,,,,,312,312
360,Paxton Lynch,,,QB40,,,,,,313,313
361,Christine Michael,,,RB103,,,,,,314,314
362,Sammie Coates,,,WR120,,,,,,316,316
363,Ryan Succop,,,K28,,,,,,317,317
364,Cameron Artis-Payne,,,RB104,,,,,,320,320
365,Kai Forbath,LAR,8,K29,,,,,,321,321
366,Shaun Draughn,,,RB105,,,,,,322,322
367,Colin Kaepernick,,,QB41,,,,,,323,323
368,De'Anthony Thomas,,,WR121,,,,,,325,325
369,Robbie Gould,,,K30,,,,,,326,326
370,Kenneth Dixon,,,RB106,,,,,,327,327
371,Dorial Green-Beckham,,,WR122,,,,,,329,329
372,Ryan Tannehill,,,QB42,,,,,,330,330
373,Rico Gathers,,,TE41,,,,,,332,332
374,Derrick Coleman,,,RB107,,,,,,333,333
375,Kyle Brindza,,,K31,,,,,,334,334
376,Quincy Enunwa,,,WR123,,,,,,335,335
377,Greg Zuerlein,,,K32,,,,,,336,336
378,Mack Hollins,NE,9,WR124,,,,,,337,337
379,Seth DeValve,,,TE42,,,,,,338,338
380,Dion Sims,,,TE43,,,,,,339,339
381,Adam Shaheen,,,TE44,,,,,,340,340
382,Andrew Franks,,,K33,,,,,,341,341
383,Mike Tolbert,,,RB108,,,,,,342,342
384,Elijah McGuire,,,RB109,,,,,,343,343
385,Aaron Hernandez,,,TE45,,,,,,344,344
386,Nick Boyle,,,TE46,,,,,,345,345
387,Corey Clement,,,RB110,,,,,,346,346
388,Rod Smith,,,RB111,,,,,,347,347
389,Alfred Blue,,,RB112,,,,,,348,348
390,Benny Cunningham Jr.,,,RB113,,,,,,349,349
391,Andre Holmes,,,WR125,,,,,,350,350
392,Jakeem Grant Sr.,,,WR126,,,,,,351,351
393,Jake Butt,,,TE47,,,,,,352,352
394,Dwayne Harris,,,WR127,,,,,,353,353
395,Malcolm Brown,,,RB114,,,,,,354,354
396,Matt Moore,,,QB43,,,,,,356,356
397,Charone Peake,,,WR128,,,,,,357,357
398,Jaelen Strong,,,WR129,,,,,,358,358
399,David Fluellen,,,RB115,,,,,,359,359
400,Maxx Williams,,,TE48,,,,,,360,360
401,J.D. McKissic,,,RB116,,,,,,361,361
402,Jordan Leggett,,,TE49,,,,,,362,362
403,Tyler Ervin,,,RB117,,,,,,363,363
404,Trent Taylor,SF,11,WR130,,,,,,364,364
405,Jonnu Smith,PIT,9,TE50,,,,,,365,365
406,Ryan Griffin,,,TE51,,,,,,366,366
407,Ka'imi Fairbairn,HOU,7,K34,,,,,,367,367
408,Michael Campanaro,,,WR131,,,,,,368,368
409,Albert Wilson,,,WR132,,,,,,369,369
