,player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
146,00-0040170,Elic Ayomanor,1.8750001,16.037348,0.5283581,34.625,3.0,0.2222222222222222,4.7739,6.6489
109,00-0039751,Jordan Whittington,2.24304,34.352562,0.16047773,20.166666666666668,2.333333333333333,0.0,4.3981,6.6412
116,00-0036550,Rashod Bateman,2.87286,32.743343,0.06886225,24.428571428571427,1.0,0.1428571428571428,3.6875,6.5604
136,00-0040648,Tory Horton,2.0260763,23.678629,0.35318977,18.83333333333333,1.0,0.7142857142857143,4.487,6.5131
129,00-0035208,Olamide Zaccheaus,2.7966156,27.429548,0.1597518,26.428571428571427,3.6666666666666665,0.0,3.7015,6.4981
124,00-0034827,DJ Moore,2.818658,31.111467,0.07627312,45.71428571428572,3.333333333333333,0.1428571428571428,3.5688,6.3874
139,00-0038124,Christian Watson,3.081839,21.742926,0.14547764,85.0,1.3333333333333333,0.0,3.0472,6.129
130,00-0035208,Olamide Zaccheaus,2.7966156,27.429548,0.07183998,26.428571428571427,3.6666666666666665,0.125,3.174,5.9706
119,00-0038559,Michael Wilson,2.4056017,31.766636,0.063688695,19.428571428571427,3.0,0.1428571428571428,3.5588,5.9644
128,00-0033891,Zay Jones,2.6965885,27.944464,0.06253778,36.6,3.0,0.0,3.1697,5.8663
134,00-0037666,Jalen Tolbert,2.4188056,24.15028,0.17185627,21.5,1.3333333333333333,0.125,3.4462,5.865
142,00-0038606,Parker Washington,2.2009466,19.16291,0.2863643,34.5,2.6666666666666665,0.1428571428571428,3.6345,5.8354
131,00-0037291,Jalen Nailor,2.091286,26.886078,0.15455656,23.142857142857142,1.6666666666666667,0.1428571428571428,3.6159,5.7072
120,00-0038559,Michael Wilson,2.4056017,31.766636,0.013128614,19.428571428571427,3.0,0.125,3.2554,5.661
132,00-0037291,Jalen Nailor,2.091286,26.886078,0.14143835,23.142857142857142,1.6666666666666667,0.125,3.5372,5.6285
137,00-0036988,Josh Palmer,2.075212,22.18886,0.17859884,39.0,2.0,0.0,3.2905,5.3657
147,00-0040170,Elic Ayomanor,1.8750001,16.037348,0.30283728,34.625,3.0,0.25,3.4208,5.2958
143,00-0038606,Parker Washington,2.2009466,19.16291,0.17267194,34.5,2.6666666666666665,0.1666666666666666,2.9523,5.1533
144,00-0035359,David Sills,1.6948781,18.308546,0.16682468,11.5,1.3333333333333333,0.0,2.8318,4.5267
145,00-0035359,David Sills,1.6948781,18.308546,0.10712782,11.5,1.3333333333333333,0.0,2.4736,4.1685
133,00-0040432,Beaux Collins,1.5228176,24.584787,0.0032162147,8.333333333333334,0.6666666666666666,0.0,2.4778,4.0006
140,00-0036182,Nick Westbrook-Ikhine,1.3695171,20.232105,0.09063454,10.0,1.3333333333333333,0.0,2.567,3.9365
141,00-0036182,Nick Westbrook-Ikhine,1.3695171,20.232105,0.059655443,10.0,1.3333333333333333,0.0,2.3811,3.7507
