defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
DAL,NE,5,111.0,275.0,3.0,1.0,
DAL,NO,4,103.0,359.0,3.0,,
DAL,NYG,1,99.0,189.0,1.0,1.0,
DAL,NYG,7,136.0,170.0,1.0,1.0,1.0
DAL,NYJ,15,74.0,299.0,2.0,1.0,1.0
DAL,PHI,2,7.0,224.0,1.0,3.0,3.0
DAL,PHI,9,173.0,295.0,3.0,,
DAL,SEA,8,114.0,210.0,1.0,2.0,1.0
DAL,TB,10,85.0,264.0,1.0,2.0,2.0
DAL,WAS,13,73.0,219.0,1.0,1.0,
DAL,WAS,17,149.0,304.0,4.0,2.0,
DEN,BAL,1,73.0,117.0,1.0,2.0,2.0
DEN,CAR,21,118.0,265.0,2.0,5.0,4.0
DEN,CHI,11,86.0,265.0,1.0,2.0,2.0
DEN,CIN,16,109.0,200.0,2.0,1.0,1.0
DEN,CLE,6,110.0,213.0,3.0,4.0,3.0
DEN,DET,3,29.0,282.0,2.0,3.0,3.0
DEN,GB,8,90.0,77.0,1.0,3.0,
DEN,IND,9,121.0,252.0,3.0,,
DEN,KC,2,147.0,191.0,3.0,4.0,4.0
DEN,KC,10,108.0,204.0,2.0,,
DEN,LAC,13,93.0,202.0,1.0,5.0,3.0
DEN,LAC,17,110.0,228.0,2.0,3.0,1.0
DEN,LV,5,66.0,249.0,2.0,3.0,2.0
DEN,LV,14,31.0,135.0,2.0,2.0,1.0
DEN,MIN,4,113.0,269.0,2.0,3.0,1.0
DEN,NE,12,39.0,280.0,3.0,1.0,
DEN,NE,20,45.0,310.0,2.0,3.0,2.0
DEN,PIT,15,26.0,380.0,4.0,2.0,2.0
DEN,PIT,19,85.0,339.0,1.0,1.0,1.0
DET,ARI,5,191.0,171.0,6.0,,
DET,CHI,6,91.0,353.0,3.0,4.0,3.0
DET,CHI,17,111.0,245.0,2.0,3.0,3.0
DET,DEN,3,42.0,324.0,3.0,2.0,2.0
DET,GB,10,48.0,333.0,2.0,1.0,
DET,GB,13,68.0,273.0,4.0,4.0,1.0
DET,KC,8,207.0,149.0,6.0,,
DET,LA,14,204.0,124.0,2.0,1.0,1.0
DET,LAC,1,98.0,403.0,5.0,4.0,3.0
DET,LV,11,52.0,169.0,1.0,3.0,
DET,MIN,2,201.0,153.0,3.0,2.0,1.0
DET,MIN,7,141.0,316.0,2.0,2.0,1.0
DET,NO,15,69.0,341.0,3.0,1.0,
DET,PHI,12,69.0,199.0,2.0,1.0,1.0
DET,SEA,4,114.0,287.0,2.0,5.0,2.0
DET,SF,16,121.0,225.0,2.0,1.0,1.0
GB,ARI,16,123.0,269.0,3.0,2.0,2.0
GB,ARI,19,40.0,349.0,3.0,3.0,2.0
GB,CAR,9,130.0,297.0,4.0,1.0,1.0
GB,CHI,1,189.0,225.0,2.0,1.0,1.0
GB,CHI,12,102.0,200.0,2.0,3.0,
GB,DAL,14,171.0,114.0,1.0,2.0,1.0
GB,DEN,8,160.0,340.0,3.0,1.0,1.0
GB,DET,10,45.0,242.0,2.0,2.0,1.0
GB,DET,13,101.0,220.0,2.0,1.0,1.0
GB,KC,3,75.0,290.0,4.0,3.0,1.0
GB,LA,5,191.0,161.0,2.0,5.0,4.0
GB,LAC,6,60.0,503.0,2.0,2.0,1.0
GB,LV,15,120.0,276.0,3.0,2.0,2.0
GB,MIN,11,94.0,296.0,2.0,1.0,1.0
GB,MIN,17,151.0,99.0,1.0,3.0,2.0
GB,SEA,2,119.0,206.0,2.0,2.0,2.0
GB,SF,4,77.0,160.0,,3.0,1.0
GB,WAS,18,85.0,329.0,2.0,3.0,1.0
HOU,ATL,4,136.0,256.0,5.0,,
HOU,BUF,13,187.0,211.0,4.0,,
HOU,CAR,2,173.0,195.0,3.0,1.0,1.0
HOU,CIN,10,74.0,197.0,,2.0,2.0
HOU,IND,5,113.0,213.0,3.0,,
HOU,IND,15,50.0,160.0,1.0,2.0,2.0
HOU,JAX,6,83.0,331.0,4.0,4.0,3.0
HOU,JAX,17,32.0,239.0,1.0,5.0,4.0
HOU,KC,1,100.0,243.0,3.0,2.0,
HOU,KC,18,143.0,190.0,2.0,1.0,1.0
HOU,MIA,7,250.0,296.0,5.0,1.0,1.0
HOU,NE,14,119.0,226.0,3.0,,
HOU,NO,12,50.0,228.0,,2.0,1.0
HOU,NYJ,11,71.0,216.0,2.0,4.0,2.0
HOU,TB,3,57.0,261.0,1.0,2.0,1.0
HOU,TEN,8,86.0,171.0,,3.0,3.0
HOU,TEN,16,30.0,234.0,2.0,3.0,3.0
IND,ATL,11,100.0,280.0,4.0,4.0,4.0
IND,BUF,1,151.0,195.0,3.0,4.0,1.0
IND,CAR,8,140.0,248.0,3.0,3.0,3.0
IND,DEN,9,35.0,281.0,2.0,2.0,2.0
IND,HOU,5,82.0,362.0,2.0,2.0,2.0
IND,HOU,15,159.0,173.0,1.0,3.0,2.0
IND,JAX,4,142.0,298.0,1.0,2.0,
IND,JAX,14,154.0,250.0,6.0,3.0,2.0
IND,MIA,16,82.0,329.0,1.0,1.0,1.0
IND,NE,6,118.0,312.0,5.0,1.0,1.0
IND,NO,7,187.0,280.0,4.0,4.0,1.0
IND,NYJ,2,101.0,244.0,2.0,2.0,1.0
IND,PIT,13,159.0,364.0,4.0,3.0,2.0
IND,TB,12,132.0,245.0,1.0,1.0,1.0
IND,TEN,3,88.0,367.0,5.0,2.0,2.0
IND,TEN,17,138.0,137.0,4.0,1.0,1.0
JAX,ATL,15,85.0,246.0,2.0,1.0,1.0
JAX,BAL,10,89.0,316.0,3.0,3.0,3.0
JAX,BUF,7,115.0,298.0,4.0,6.0,4.0
JAX,CAR,1,107.0,175.0,1.0,1.0,1.0
JAX,HOU,6,98.0,293.0,3.0,1.0,
JAX,HOU,17,160.0,249.0,2.0,2.0,1.0
JAX,IND,4,63.0,282.0,1.0,4.0,2.0
JAX,IND,14,95.0,260.0,1.0,2.0,2.0
JAX,LAC,12,84.0,300.0,4.0,,
JAX,MIA,2,42.0,359.0,2.0,1.0,
JAX,NE,3,127.0,358.0,6.0,,
JAX,NO,16,138.0,412.0,5.0,1.0,
JAX,NYJ,9,30.0,272.0,4.0,2.0,1.0
JAX,TB,5,185.0,209.0,3.0,,
JAX,TEN,11,104.0,231.0,1.0,1.0,1.0
JAX,TEN,13,211.0,268.0,5.0,2.0,2.0
KC,BAL,15,93.0,281.0,4.0,3.0,3.0
KC,BUF,12,129.0,291.0,3.0,3.0,2.0
KC,CHI,5,88.0,252.0,3.0,2.0,1.0
KC,CIN,4,124.0,321.0,5.0,1.0,
KC,CLE,16,232.0,136.0,1.0,1.0,1.0
KC,DEN,2,61.0,256.0,4.0,2.0,2.0
KC,DEN,10,69.0,181.0,2.0,6.0,5.0
KC,DET,8,81.0,227.0,1.0,2.0,2.0
KC,GB,3,123.0,333.0,5.0,,
KC,HOU,1,98.0,334.0,2.0,3.0,2.0
KC,HOU,18,115.0,136.0,,6.0,5.0
KC,LAC,11,53.0,178.0,1.0,1.0,1.0
KC,LAC,14,44.0,263.0,,2.0,2.0
KC,LV,13,99.0,283.0,4.0,7.0,3.0
KC,LV,17,48.0,194.0,1.0,3.0,1.0
KC,MIN,6,89.0,249.0,1.0,3.0,2.0
KC,NE,19,43.0,302.0,3.0,,
KC,PIT,7,149.0,209.0,1.0,3.0,3.0
