Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
320,Taywan Taylor,,,WR111,,,,,,355.0,310.5,00-0033911,WR,2016,--,21,2017,-1.0,--,0.006,72.0,7.4,--
323,Markus Wheaton,,,WR112,,,,,,269.0,269.0,00-0030460,WR,2016,0.8955223880597015,25,2013,0.4833333333333334,31.59,0.033,79.0,6.8,2.0
326,Kamar Aiken,,,WR113,,,,,,271.0,271.0,00-0028497,WR,2016,1.0,27,2011,-1.0,11.6865,0.016,,0.0,3.6551724137931036
327,Terrance Williams,,,WR114,,,,,,292.0,281.5,00-0030542,WR,2016,1.0,26,2013,0.7068749999999999,24.65257,0.025,74.0,7.2,3.75
349,Dontrelle Inman,,,WR115,,,,,,296.0,296.0,00-0028411,WR,2016,1.0,27,2014,0.8981250000000001,54.5065,0.016,,0.0,3.689655172413793
351,Victor Cruz,,,WR116,,,,,,299.0,299.0,00-0027265,WR,2016,0.75,29,2010,-1.0,22.57033,0.012,,0.0,4.846153846153846
354,Michael Floyd,,,WR117,,,,,,306.0,306.0,00-0029638,WR,2016,1.0,26,2012,0.6746666666666667,20.8422,0.008,13.0,18.3,1.864864864864865
356,Seth Roberts,,,WR118,,,,,,308.0,308.0,00-0031166,WR,2016,1.0,25,2014,-1.0,18.441626,0.031,,0.0,5.131578947368421
358,Adam Humphries,,,WR119,,,,,,311.0,311.0,00-0032009,WR,2016,1.0,23,2015,0.6013333333333333,35.40381,0.004,,0.0,6.945454545454545
362,Sammie Coates,,,WR120,,,,,,316.0,316.0,00-0032166,WR,2016,1.0,23,2015,0.3342857142857143,93.97964,0.005,87.0,6.2,5.190476190476191
368,De'Anthony Thomas,,,WR121,,,,,,325.0,325.0,00-0031060,WR,2016,0.673469387755102,23,2014,0.1116666666666666,1.3147619,0.005,124.0,3.9,3.4285714285714284
371,Dorial Green-Beckham,,,WR122,,,,,,329.0,329.0,00-0032218,WR,2016,1.0,23,2015,0.6053333333333334,23.552967,0.01,40.0,11.1,4.027777777777778
376,Quincy Enunwa,,,WR123,,,,,,335.0,335.0,00-0031023,WR,2016,1.0,24,2014,0.84,39.555958,0.004,209.0,0.6,6.068965517241379
378,Mack Hollins,NE,9.0,WR124,,,,,,337.0,337.0,00-0033555,WR,2016,--,22,2017,-1.0,--,0.005,118.0,4.2,--
391,Andre Holmes,,,WR125,,,,,,350.0,350.0,00-0028263,WR,2016,1.0,28,2011,-1.0,15.395165,0.01,,0.0,1.8571428571428572
392,Jakeem Grant Sr.,,,WR126,,,,,,351.0,351.0,00-0032791,WR,2016,1.0,23,2016,0.019375,11.803333,0.004,186.0,1.3,0
394,Dwayne Harris,,,WR127,,,,,,353.0,353.0,00-0028114,WR,2016,1.0,28,2011,0.055625,,0.024,176.0,1.7,0.0
397,Charone Peake,,,WR128,,,,,,357.0,357.0,00-0032959,WR,2016,1.0,23,2016,0.3360000000000001,6.3236365,0.004,241.0,0.0,3.736842105263158
398,Jaelen Strong,,,WR129,,,,,,358.0,358.0,00-0031560,WR,2016,0.8787878787878788,22,2015,0.54375,11.765667,0.005,70.0,7.5,2.2857142857142856
404,Trent Taylor,SF,11.0,WR130,,,,,,364.0,364.0,00-0033292,WR,2016,--,22,2017,-1.0,--,0.004,177.0,1.6,--
408,Michael Campanaro,,,WR131,,,,,,368.0,368.0,00-0031025,WR,2016,0.8,25,2014,0.0833333333333333,2.1100001,0.006999999999999999,218.0,0.3,0
409,Albert Wilson,,,WR132,,,,,,369.0,369.0,00-0030669,WR,2016,1.0,24,2014,0.453125,34.753456,0.011000000000000001,,0.0,5.419354838709677
