...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
40,41,Terry McLaurin,WAS,14,WR16,40,42,,41,00-0035659,WR,2021,0.9387755102040817,25,130,77,1053,61.94117647058823,15,5,1,12,0.7058823529411765,0,0,5,17
44,45,Courtland Sutton,DEN,9,WR17,44,44,,44,00-0034348,WR,2021,0.7575757575757576,25,100,58,776,45.64705882352941,9,2,0,0,0,0,0,2,17
47,48,Diontae Johnson,CLE,9,WR18,50,47,,48.5,00-0035216,WR,2021,0.96,25,173,107,1161,72.5625,14,8,5,53,3.3125,0,2,8,16
48,49,Jaylen Waddle,MIA,11,WR19,49,49,,49,00-0036613,WR,2021,0.9411764705882353,22,140,104,1015,63.4375,8,6,2,3,0.1875,1,1,7,16
50,51,Allen Robinson II,,,WR20,48,53,,50.5,00-0031428,WR,2021,0.752,28,67,38,410,34.166666666666664,5,1,0,0,0,0,0,1,12
51,52,DK Metcalf,PIT,9,WR21,55,50,,52.5,00-0035640,WR,2021,1.0,23,129,75,967,56.88235294117647,11,12,1,6,0.35294117647058826,0,0,12,17
56,57,Jerry Jeudy,CLE,9,WR22,62,51,,56.5,00-0036407,WR,2021,0.7941176470588235,22,56,38,467,46.7,7,0,2,3,0.3,0,0,0,10
60,61,Brandin Cooks,NO,14,WR23,68,59,,63.5,00-0031236,WR,2021,0.88,27,134,90,1035,64.6875,12,6,2,21,1.3125,0,0,6,16
61,62,JuJu Smith-Schuster,KC,8,WR24,59,68,,63.5,00-0033857,WR,2021,0.7926829268292683,24,28,15,129,25.8,1,0,3,9,1.8,1,0,1,5
62,63,Amon-Ra St. Brown,DET,6,WR25,64,66,,65,00-0036963,WR,2021,1.0,21,121,90,912,57,11,5,7,61,3.8125,1,0,6,16
64,65,Gabe Davis,,,WR26,63,70,,66.5,00-0036196,WR,2021,0.9696969696969697,22,63,35,549,36.6,13,6,0,0,0,0,0,6,15
65,66,Marquise Brown,KC,8,WR27,78,58,,68,00-0035662,WR,2021,0.9387755102040817,24,147,91,1008,63,15,6,1,5,0.3125,0,1,6,16
69,70,Michael Thomas,,,WR28,74,67,,70.5,00-0032765,WR,2021,0.7319587628865979,28,0,0,0,0,0,0,0,0,0,0,0,0,0
73,74,Adam Thielen,CAR,13,WR29,77,69,,73,00-0030035,WR,2021,0.9236641221374046,31,95,67,726,55.84615384615385,14,10,1,2,0.15384615384615385,0,0,10,13
74,75,Amari Cooper,,,WR30,86,65,,75.5,00-0031544,WR,2021,0.9823008849557522,27,104,68,865,57.666666666666664,15,8,0,0,0,0,0,8,15
75,76,Rashod Bateman,BAL,10,WR31,79,76,,77.5,00-0036550,WR,2021,0.7058823529411765,21,68,46,515,42.916666666666664,8,1,0,0,0,0,0,1,12
76,77,Chris Godwin,TB,11,WR32,94,64,,79,00-0033921,WR,2021,0.8888888888888888,25,127,98,1103,78.78571428571429,15,5,5,21,1.5,1,2,6,14
79,80,Darnell Mooney,ATL,14,WR33,91,72,,81.5,00-0036309,WR,2021,1.0,23,141,81,1055,62.05882352941177,14,4,6,32,1.8823529411764706,1,0,5,17
87,88,Hunter Renfrow,CAR,13,WR34,93,86,,89.5,00-0034983,WR,2021,0.9387755102040817,25,129,103,1038,61.05882352941177,10,9,3,3,0.17647058823529413,0,1,9,17
90,91,Elijah Moore,BUF,7,WR35,95,90,,92.5,00-0036980,WR,2021,0.6470588235294118,21,78,43,538,48.90909090909091,9,5,5,54,4.909090909090909,1,0,6,11
92,93,DeAndre Hopkins,BAL,10,WR36,105,82,,93.5,00-0030564,WR,2021,0.9527027027027027,29,64,42,572,57.2,7,8,0,0,0,0,0,8,10
93,94,Brandon Aiyuk,SF,9,WR37,97,95,,96,00-0036261,WR,2021,0.8787878787878788,23,86,56,826,51.625,16,5,5,17,1.0625,0,1,5,16
95,96,DeVonta Smith,PHI,7,WR38,108,87,,97.5,00-0036912,WR,2021,1.0,22,105,64,916,53.88235294117647,16,5,0,0,0,0,1,5,17
97,98,Allen Lazard,NYJ,10,WR39,106,91,,98.5,00-0034521,WR,2021,0.8431372549019608,25,60,40,513,36.642857142857146,8,8,3,32,2.2857142857142856,0,0,8,14
103,104,Christian Kirk,HOU,6,WR40,107,101,,104,00-0034775,WR,2021,0.8615384615384616,24,103,77,982,57.76470588235294,16,5,1,11,0.6470588235294118,0,0,5,17
105,106,Drake London,ATL,14,WR41,122,92,,107,00-0037238,WR,2021,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
109,110,Tyler Lockett,TEN,6,WR42,116,105,,110.5,00-0032211,WR,2021,0.9824561403508771,28,108,73,1175,73.4375,22,8,2,9,0.5625,0,0,8,16
110,111,Robert Woods,PIT,9,WR43,121,106,,113.5,00-0030431,WR,2021,0.8356164383561644,29,70,45,556,61.77777777777778,8,4,8,46,5.111111111111111,1,0,5,9
112,113,Chris Olave,NO,14,WR44,135,99,,117,00-0037239,WR,2021,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
118,119,George Pickens,DAL,9,WR45,130,114,,122,00-0037247,WR,2021,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
119,120,Kadarius Toney,,,WR46,134,111,,122.5,00-0036913,WR,2021,0.5882352941176471,22,57,39,420,46.666666666666664,5,0,3,6,0.6666666666666666,0,0,0,9
125,126,Chase Claypool,,,WR47,150,110,,130,00-0036326,WR,2021,0.9411764705882353,23,105,59,848,56.53333333333333,13,2,14,96,6.4,0,0,2,15
130,131,Julio Jones,,,WR48,142,124,,133,00-0027944,WR,2021,0.8823529411764706,32,48,31,434,43.4,4,1,0,0,0,0,0,1,10
136,137,Garrett Wilson,NYJ,10,WR49,166,122,,144,00-0037740,WR,2021,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
138,139,Treylon Burks,TEN,6,WR50,194,107,,150.5,00-0037742,WR,2021,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
140,141,Marquez Valdes-Scantling,SEA,11,WR51,182,123,,152.5,00-0034272,WR,2021,0.9076923076923077,26,56,26,430,39.09090909090909,8,3,0,0,0,0,0,3,11
142,143,Jarvis Landry,,,WR52,160,145,,152.5,00-0031382,WR,2021,0.9541984732824428,28,87,52,570,47.5,7,2,6,40,3.3333333333333335,2,2,4,12
143,144,Skyy Moore,KC,8,WR53,192,115,,153.5,00-0038090,WR,2021,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
