...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
124,125,Keelan Cole Sr.,,,WR49,133,,,136,,181,136.4,00-0033681,WR,2017,1.0,24,2017,0.6625,69.92799,0.003,,0,83,42,748,46.75,11,3,0,0,0,0,1,3,16
126,127,Ty Montgomery,II,,RB46,154,,,131,,109,137.2,00-0032200,WR,2017,0.574468085106383,24,2015,0.48,88.68857,0.005,94,5.7,31,23,173,21.625,3,1,71,273,34.125,3,0,4,8
131,132,DJ Moore,CHI,5,WR50,178,,,123,,122,139,00-0034827,WR,2017,--,20,2018,-1,--,0.016,24,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0
137,138,Michael Gallup,WAS,4,WR51,157,,,121,,158,144.2,00-0034764,WR,2017,--,21,2018,-1,--,0.005,81,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0
138,139,Kenny Golladay,,,WR52,150,,,152,,139,144.6,00-0033932,WR,2017,1.0,23,2017,0.6790909090909091,34.452,0.005,96,5.5,49,28,477,43.36363636363637,8,3,1,9,0.8181818181818182,0,0,3,11
141,142,Josh Doctson,,,WR53,126,,,151,,147,148.2,00-0032760,WR,2017,0.6875,24,2016,0.748125,14.81981,0.016,22,14.9,78,35,502,33.46666666666667,6,6,1,-14,-0.9333333333333333,0,0,6,15
142,143,Tyler Lockett,TEN,8,WR54,140,,,168,,155,150,00-0032211,WR,2017,0.9795918367346939,24,2015,0.644375,35.43296,0.06,69,7.6,71,45,555,34.6875,5,2,10,58,3.625,0,0,2,16
144,145,Cameron Meredith,,,WR55,177,,,125,,135,153,00-0031912,WR,2017,0.673469387755102,24,2015,-1,--,0.027000000000000003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,151,Anthony Miller,BAL,10,WR56,185,,,166,,170,166,00-0034353,WR,2017,--,22,2018,-1,--,0.008,51,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
151,152,Chris Godwin,TB,5,WR57,176,,,155,,191,166.6,00-0033921,WR,2017,1.0,21,2017,0.405,42.253815,0.005,84,6.4,55,34,525,35,4,1,0,0,0,0,0,1,15
153,154,Mike Williams,,,WR58,162,,,122,,372,177.2,00-0033536,WR,2017,1.0,22,2017,0.347,8.021945,0.03,7,22.2,23,11,95,10.555555555555555,1,0,0,0,0,0,0,0,9
154,155,John Brown,,,WR59,188,,,154,,234,173.2,00-0031051,WR,2017,1.0,27,2014,0.718,20.794333,0.027999999999999997,91,5.9,56,21,299,29.9,2,3,1,10,1,0,0,3,10
163,164,John Ross,,,WR60,141,,,191,,246,180.2,00-0033460,WR,2017,0.75,21,2017,0.10333333333333332,0.21333334,0.026000000000000002,9,20.6,2,0,0,0,0,0,1,12,4,0,1,0,0
167,168,Danny Amendola,,,WR61,149,,,225,,193,187.6,00-0026035,WR,2017,0.9635036496350365,31,2008,0.5393333333333334,31.836859,0.034,,0,86,61,659,43.93333333333333,7,2,0,0,0,0,0,2,15
169,170,Courtland Sutton,DEN,10,WR62,180,,,216,,215,194.4,00-0034348,WR,2017,--,21,2018,-1,--,0.01,40,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0
171,172,Mohamed Sanu Sr.,,,WR63,130,,,204,,149,158,00-0029632,WR,2017,0.8645833333333334,28,2012,0.7873333333333333,31.937706,0.042,83,6.5,96,67,703,46.86666666666667,10,5,4,10,0.6666666666666666,0,0,6,15
