player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0036550,Rashod Bateman,11,218.0,8.0
00-0035208,Olamide Zaccheaus,11,98.0,2.0
00-0038619,Andrei Iosivas,10,62.0,6.0
00-0035640,DK Metcalf,10,62.0,1.0
00-0039915,Ladd McConkey,10,108.0,5.0
00-0036182,Nick Westbrook-Ikhine,10,102.0,6.0
00-0036196,Gabe Davis,10,90.0,1.0
00-0036427,Tyler Johnson,10,50.0,1.0
00-0032211,Tyler Lockett,10,30.0,1.0
00-0037261,Khalil Shakir,10,106.0,2.0
00-0033375,Tim Patrick,10,74.0,3.0
00-0038606,Parker Washington,9,32.0,2.0
00-0036988,Josh Palmer,9,22.0,0.0
00-0037614,John Metchie III,9,58.0,1.0
00-0038977,Tank Dell,9,90.0,2.0
00-0038124,Christian Watson,9,22.0,1.0
00-0039868,Troy Franklin,8,56.0,2.0
00-0036415,Van Jefferson,8,54.0,2.0
00-0039855,Jalen McMillan,8,130.0,4.0
00-0039916,Ricky Pearsall,8,62.0,2.0
00-0039064,Zay Flowers,8,62.0,3.0
00-0038559,Michael Wilson,8,90.0,3.0
00-0030035,Adam Thielen,8,98.0,2.0
00-0035500,Greg Dortch,8,104.0,2.0
00-0031236,Brandin Cooks,8,10.0,2.0
00-0034837,Calvin Ridley,8,46.0,1.0
00-0033009,Tyler Boyd,8,26.0,0.0
00-0039424,Devaughn Vele,7,90.0,3.0
00-0039890,Adonai Mitchell,7,0.0,0.0
00-0038979,Cedric Tillman,7,34.0,1.0
00-0036626,Dyami Brown,7,56.0,1.0
00-0032385,Sterling Shepard,7,58.0,1.0
00-0033555,Mack Hollins,7,56.0,4.0
00-0037801,KaVontae Turpin,7,62.0,1.0
00-0037291,Jalen Nailor,7,52.0,4.0
00-0036980,Elijah Moore,7,44.0,0.0
00-0039491,Jalen Coker,7,66.0,1.0
00-0033921,Chris Godwin,7,94.0,3.0
00-0033282,Curtis Samuel,7,64.0,2.0
00-0033857,JuJu Smith-Schuster,6,68.0,2.0
00-0036309,Darnell Mooney,6,32.0,1.0
00-0038976,Marvin Mims Jr.,6,58.0,2.0
00-0034407,Ray-Ray McCloud,6,52.0,1.0
00-0034386,Justin Watson,6,58.0,2.0
00-0038621,Demario Douglas,6,28.0,1.0
00-0036261,Brandon Aiyuk,6,68.0,0.0
00-0037664,Alec Pierce,6,60.0,4.0
00-0037239,Chris Olave,6,110.0,1.0
00-0035535,Darius Slayton,6,0.0,0.0
00-0031544,Amari Cooper,6,63.0,3.0
00-0035341,Trenton Irwin,6,18.0,0.0
00-0035406,Lil'Jordan Humphrey,6,30.0,0.0
00-0038563,Tre Tucker,5,108.0,2.0
00-0038608,Kayshon Boutte,5,24.0,0.0
00-0034775,Christian Kirk,5,36.0,1.0
00-0035140,Mecole Hardman,5,22.0,0.0
00-0039907,Ja'Lynn Polk,5,14.0,2.0
00-0031588,Stefon Diggs,5,68.0,3.0
00-0037837,Calvin Austin III,5,24.0,0.0
00-0030431,Robert Woods,4,8.0,0.0
00-0031235,Odell Beckham Jr.,4,10.0,0.0
00-0033591,Noah Brown,4,28.0,0.0
00-0035662,Marquise Brown,4,18.0,0.0
00-0038640,Jalen Brooks,4,34.0,1.0
00-0039355,Luke McCaffrey,4,30.0,0.0
00-0037545,Rashid Shaheed,4,10.0,0.0
00-0039810,Jermaine Burton,4,22.0,0.0
00-0034860,Dante Pettis,4,10.0,1.0
00-0036527,DJ Turner,4,22.0,1.0
00-0038824,Ryan Miller,3,28.0,2.0
00-0038752,Jake Bobo,3,28.0,1.0
00-0039365,Jacob Cowing,3,46.0,0.0
00-0033536,Mike Williams,3,0.0,0.0
00-0031763,DeAndre Carter,3,32.0,0.0
00-0031941,Jamison Crowder,3,44.0,2.0
00-0039236,Johnny Wilson,3,10.0,1.0
00-0038618,Xavier Hutchinson,3,16.0,0.0
00-0032464,Kalif Raymond,3,46.0,1.0
