Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
335,David Moore,CAR,13,WR107,,,,337.0,00-0033589,WR,2019,1.0,24,2017,0.33,13.028076,0.011000000000000001,226.0,0.0,7.529411764705882
337,Jakobi Meyers,LV,6,WR108,,,,339.0,00-0034960,WR,2019,1.0,22,2019,0.2908333333333333,12.392181,0.003,,0.0,4.384615384615385
341,Greg Ward,,,WR109,,,,343.0,00-0033733,WR,2019,1.0,24,2017,0.532,32.89367,0.003,,0.0,3.5
349,Scotty Miller,PIT,4,WR110,,,,351.0,00-0035298,WR,2019,0.75,22,2019,0.247,26.846111,0.004,208.0,0.6,2.769230769230769
355,Bisi Johnson,,,WR111,,,,358.0,00-0035006,WR,2019,1.0,22,2019,0.5073333333333334,12.880257,0.003,247.0,0.0,2.193548387096774
360,Trent Taylor,SF,11,WR112,,,,363.0,00-0033292,WR,2019,0.7083333333333334,25,2017,-1.0,--,0.004,177.0,1.6,--
365,Dante Pettis,NO,6,WR113,,,,368.0,00-0034860,WR,2019,0.90625,23,2018,0.422,20.057844,0.009000000000000001,44.0,10.5,2.090909090909091
367,Damiere Byrd,,,WR114,,,,370.0,00-0031868,WR,2019,0.6666666666666666,26,2015,0.647,35.646545,0.008,,0.0,4.6875
370,Ted Ginn Jr.,,,WR115,,,,373.0,00-0025396,WR,2019,0.9508196721311475,34,2007,0.5715384615384616,22.483524,0.006,9.0,20.6,1.6
374,Ty Montgomery,II,,RB101,,,,377.0,00-0032200,WR,2019,0.7435897435897436,26,2015,0.1407142857142857,8.229925,0.005,94.0,5.7,7.230769230769231
375,Quintez Cephus,HOU,8,WR116,,,,378.0,00-0036277,WR,2019,--,21,2020,-1.0,--,0.005,166.0,2.0,--
377,Rashard Higgins,,,WR117,,,,380.0,00-0032977,WR,2019,0.9365079365079365,24,2016,0.2744444444444444,12.849667,0.005,172.0,1.8,2.25
380,Equanimeous St. Brown,SF,11,WR119,,,,383.0,00-0034279,WR,2019,0.5,22,2018,-1.0,--,0.004,207.0,0.6,--
381,Justin Watson,HOU,8,WR120,,,,384.0,00-0034386,WR,2019,1.0,23,2018,0.1866666666666666,50.807,0.004,144.0,3.0,0.9333333333333333
383,Gabe Davis,,,WR121,,,,387.0,00-0036196,WR,2019,--,20,2020,-1.0,--,0.005,128.0,3.7,--
384,Deonte Harty,,,WR122,,,,388.0,00-0035215,WR,2019,0.875,21,2019,0.0716666666666666,3.7155356,0.003,,0.0,6.166666666666667
391,John Hightower,,,WR123,,,,395.0,00-0036398,WR,2019,--,23,2020,-1.0,--,0.005,168.0,2.0,--
