Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr
289,Darius Slayton,NYG,11,WR91,,275.0,275.0,275.0,00-0035535,WR,2023,0.9397590361445783,26,2019,0.8058823529411763,38.1728,0.024,171.0,1.9,0,0.0,0,0,0.0,0,50,770.0,4,0.0,0,0.0,0,2,17.0,0,39,573.0,2,0.0,5.96
291,Jalin Hyatt,NYG,11,WR92,,270.0,290.0,280.0,00-0038938,WR,2023,1.0,21,2023,0.5029411764705882,23.222563,0.006,73.0,7.3,0,0.0,0,0,0.0,0,23,373.0,0,0.0,0,0.0,0,0,0.0,0,8,62.0,0,0.0,2.0869565217391304
298,Brenden Rice,LAC,5,WR93,,267.0,,267.0,00-0039415,WR,2023,--,21,2024,-1.0,--,0.004,225.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
299,Elijah Moore,BUF,12,WR94,,268.0,,268.0,00-0036980,WR,2023,0.8823529411764706,23,2021,0.7147058823529411,20.123959,0.012,34.0,12.1,0,0.0,0,9,11.0,0,59,640.0,2,2.0,0,0.0,0,1,1.0,0,61,538.0,1,0.0,3.23728813559322
300,Malik Washington,MIA,6,WR95,,285.0,291.0,288.0,00-0039880,WR,2023,--,22,2024,-1.0,--,0.004,184.0,1.4,--,--,--,--,--,--,--,--,--,--,0,0.0,0,5,25.0,1,26,223.0,0,0.0,--
301,Devontez Walker,BAL,14,WR96,,272.0,,272.0,00-0039792,WR,2023,--,22,2024,-1.0,--,0.005,113.0,4.5,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,1,21.0,1,0.0,--
302,Zay Jones,ARI,11,WR97,,274.0,,274.0,00-0033891,WR,2023,0.9130434782608695,28,2017,0.7366666666666667,27.719444,0.009000000000000001,37.0,11.6,0,0.0,0,0,0.0,0,34,321.0,2,0.0,0,0.0,0,0,0.0,0,8,84.0,0,0.0,1.5
303,Tre Tucker,LV,10,WR98,,289.0,292.0,290.5,00-0038563,WR,2023,0.9411764705882353,22,2023,0.3274999999999999,36.52026,0.006,100.0,5.3,0,0.0,0,10,77.0,0,19,331.0,2,0.0,0,0.0,0,9,44.0,1,47,539.0,3,0.0,1.4736842105263157
305,Kendrick Bourne,NE,14,WR99,,277.0,305.0,291.0,00-0033307,WR,2023,0.9043478260869565,28,2017,0.73,47.84571,0.025,,0.0,0,0.0,0,1,4.0,0,37,406.0,4,1.0,0,0.0,0,1,6.0,0,28,305.0,1,0.0,5.486486486486487
306,Treylon Burks,TEN,5,WR100,,287.0,295.0,291.0,00-0037742,WR,2023,0.6470588235294118,23,2022,0.6445454545454545,12.627501,0.017,18.0,16.2,0,0.0,0,5,18.0,0,16,221.0,0,0.0,0,0.0,0,2,1.0,0,4,34.0,0,0.0,4.4375
310,Albert Wilson,,,WR101,,280.0,,280.0,00-0030669,WR,2023,0.824,31,2014,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
314,Jordan Whittington,LAR,6,WR102,,,284.0,284.0,00-0039751,WR,2023,--,22,2024,-1.0,--,0.004,213.0,0.5,--,--,--,--,--,--,--,--,--,--,0,0.0,0,2,12.0,0,22,293.0,0,0.0,--
315,Jonathan Mingo,DAL,7,WR103,,294.0,298.0,296.0,00-0039062,WR,2023,0.8823529411764706,22,2023,0.8973333333333335,12.989809,0.01,39.0,11.3,0,0.0,0,0,0.0,0,43,418.0,0,0.0,0,0.0,0,2,5.0,0,17,167.0,0,1.0,3.604651162790698
317,Calvin Austin III,PIT,9,WR104,,,287.0,287.0,00-0037837,WR,2023,0.5,24,2022,0.3547058823529411,18.97324,0.005,138.0,3.2,0,0.0,0,11,57.0,1,17,180.0,1,0.0,0,0.0,0,0,0.0,0,36,548.0,4,0.0,4.294117647058823
318,Noah Brown,WAS,14,WR105,,,288.0,288.0,00-0033591,WR,2023,0.6869565217391305,27,2017,0.668,108.13155,0.016,239.0,0.0,0,0.0,0,1,-1.0,0,33,567.0,2,0.0,0,0.0,0,0,0.0,0,35,453.0,1,0.0,6.757575757575758
320,Kevin White,,,WR106,,290.0,,290.0,00-0031545,WR,2023,0.578125,31,2015,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
322,Van Jefferson,TEN,5,WR107,,,293.0,293.0,00-0036415,WR,2023,0.9104477611940298,27,2020,0.5276470588235295,5.0303845,0.005,57.0,8.9,0,0.0,0,1,4.0,0,20,209.0,0,0.0,0,0.0,0,0,0.0,0,24,276.0,2,0.0,1.25
328,Josh Reynolds,NYJ,12,WR109,,298.0,,298.0,00-0033943,WR,2023,0.9224137931034483,28,2017,0.7052941176470588,40.306667,0.018000000000000002,117.0,4.3,0,0.0,0,0,0.0,0,40,608.0,5,1.0,0,0.0,0,0,0.0,0,13,194.0,1,0.0,4.325
329,K.J. Osborn,WAS,14,WR110,,311.0,299.0,305.0,00-0036345,WR,2023,0.8955223880597015,26,2020,0.788125,32.727142,0.016,176.0,1.7,0,0.0,0,0,0.0,0,48,540.0,3,0.0,0,0.0,0,0,0.0,0,7,57.0,1,0.0,3.8541666666666665
332,Alec Pierce,IND,14,WR111,,,301.0,301.0,00-0037664,WR,2023,0.9705882352941176,23,2022,0.951764705882353,22.379854,0.008,53.0,9.3,0,0.0,0,0,0.0,0,32,514.0,2,0.0,0,0.0,0,0,0.0,0,37,824.0,7,0.0,3.03125
335,Jalen Nailor,MIN,6,WR112,,,306.0,306.0,00-0037291,WR,2023,0.6176470588235294,24,2022,0.2216666666666666,0.24500003,0.005,191.0,1.2,0,0.0,0,0,0.0,0,3,29.0,0,0.0,0,0.0,0,3,-4.0,0,28,414.0,6,0.0,7.0
340,Anthony Johnson,,,CB1,,316.0,,316.0,00-0035474,WR,2023,--,28,2019,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
341,A.T. Perry,DEN,14,WR113,,318.0,,318.0,00-0038612,WR,2023,0.5882352941176471,23,2023,0.53,40.285,0.001,195.0,1.0,0,0.0,0,0,0.0,0,12,246.0,4,0.0,--,--,--,--,--,--,--,--,--,--,1.6666666666666667
