Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr
54,Amari Cooper,,,WR25,53.0,55.0,59.0,55.7,00-0031544,WR,2023,0.9795918367346939,29,2015,0.7806666666666667,154.63667,0.10099999999999999,4.0,25.8,0,0.0,0,0,0.0,0,72,1250.0,5,1.0,0,0.0,0,0,0.0,0,44,547.0,4,0.0,3.763888888888889
59,George Pickens,DAL,7,WR26,67.0,60.0,58.0,61.7,00-0037247,WR,2023,1.0,22,2022,0.8700000000000001,84.5303,0.008,52.0,9.4,0,0.0,0,3,18.0,0,63,1140.0,5,0.0,0,0.0,0,2,-6.0,0,59,900.0,3,1.0,6.158730158730159
60,Tee Higgins,CIN,12,WR27,65.0,57.0,64.0,62.0,00-0036410,WR,2023,0.8805970149253731,24,2020,0.7383333333333333,96.186066,0.085,33.0,12.3,0,0.0,0,0,0.0,0,42,656.0,5,0.0,0,0.0,0,0,0.0,0,73,911.0,10,1.0,5.595238095238095
63,Zay Flowers,BAL,14,WR28,66.0,52.0,72.0,63.3,00-0039064,WR,2023,0.9411764705882353,22,2023,0.843125,44.117336,0.016,22.0,14.9,0,0.0,0,8,56.0,1,77,858.0,5,0.0,0,0.0,0,9,56.0,0,74,1059.0,4,0.0,5.025974025974026
64,Tank Dell,HU,14 O,WR29,61.0,54.0,75.0,63.3,00-0038977,WR,2023,0.6470588235294118,23,2023,0.6563636363636364,95.831116,0.006,69.0,7.6,0,0.0,0,11,51.0,0,47,709.0,7,0.0,0,0.0,0,9,43.0,0,51,667.0,3,0.0,3.234042553191489
67,Terry McLaurin,WAS,14,WR30,72.0,68.0,61.0,67.0,00-0035659,WR,2023,0.963855421686747,27,2019,0.8517647058823531,34.8164,0.111,76.0,7.0,0,0.0,0,0,0.0,0,79,1002.0,4,0.0,0,0.0,0,2,2.0,0,82,1096.0,13,1.0,4.430379746835443
70,Rashee Rice,KC,6,WR31,78.0,81.0,52.0,70.3,00-0039067,WR,2023,0.9411764705882353,23,2023,0.585,34.00296,0.006999999999999999,55.0,9.1,0,0.0,0,1,-3.0,0,79,938.0,7,1.0,0,0.0,0,1,1.0,0,24,288.0,2,0.0,8.278481012658228
74,Christian Kirk,HU,14 O,WR32,82.0,67.0,68.0,72.3,00-0034775,WR,2023,0.8585858585858586,26,2018,0.7058333333333332,35.778725,0.086,47.0,10.1,1,-1.0,0,1,6.0,0,57,787.0,3,2.0,0,0.0,0,0,0.0,0,27,379.0,1,0.0,4.333333333333333
76,Keenan Allen,LAC,5,WR33,80.0,65.0,81.0,75.3,00-0030279,WR,2023,0.7861271676300579,31,2013,0.89,134.73251,0.10099999999999999,76.0,7.0,1,49.0,1,2,6.0,0,108,1243.0,7,1.0,0,0.0,0,0,0.0,0,70,744.0,7,1.0,3.6666666666666665
77,Chris Godwin,TB,11,WR34,87.0,79.0,73.0,79.7,00-0033921,WR,2023,0.9043478260869565,27,2017,0.8123529411764705,27.709337,0.096,84.0,6.4,0,0.0,0,4,38.0,1,83,1024.0,2,0.0,0,0.0,0,1,2.0,0,50,576.0,5,0.0,4.530120481927711
78,Calvin Ridley,TEN,5,WR35,85.0,80.0,79.0,81.3,00-0034837,WR,2023,0.7472527472527473,28,2018,0.8511764705882353,80.14441,0.09,26.0,13.9,0,0.0,0,9,23.0,0,76,1016.0,8,0.0,0,0.0,0,8,55.0,1,64,1017.0,4,1.0,2.5526315789473686
82,Jayden Reed,GB,10,WR36,93.0,74.0,90.0,85.7,00-0039146,WR,2023,0.9411764705882353,23,2023,0.561875,45.226,0.008,50.0,9.7,0,0.0,0,11,119.0,2,64,793.0,8,0.0,0,0.0,0,20,163.0,1,55,857.0,6,1.0,5.234375
83,Diontae Johnson,CLE,10,WR37,90.0,94.0,82.0,88.7,00-0035216,WR,2023,0.9285714285714286,27,2019,0.7115384615384616,37.54603,0.08800000000000001,66.0,7.9,0,0.0,0,0,0.0,0,51,717.0,5,0.0,0,0.0,0,2,6.0,0,33,375.0,3,0.0,5.117647058823529
87,Xavier Worthy,KC,6,WR38,107.0,76.0,91.0,91.3,00-0039894,WR,2023,--,20,2024,-1.0,--,0.013000000000000001,28.0,13.4,--,--,--,--,--,--,--,--,--,--,0,0.0,0,20,104.0,3,59,638.0,6,0.0,--
89,Rome Odunze,CHI,7,WR39,97.0,72.0,110.0,93.0,00-0039919,WR,2023,--,21,2024,-1.0,--,0.022000000000000002,9.0,20.6,--,--,--,--,--,--,--,--,--,--,0,0.0,0,3,15.0,0,54,734.0,3,1.0,--
99,Jaxon Smith-Njigba,SEA,10,WR40,114.0,102.0,93.0,103.0,00-0038543,WR,2023,1.0,21,2023,0.6482352941176471,17.482353,0.016,20.0,15.5,0,0.0,0,0,0.0,0,63,628.0,4,0.0,1,35.0,0,5,26.0,0,100,1130.0,6,0.0,5.809523809523809
100,Christian Watson,GB,10,WR41,112.0,100.0,98.0,103.3,00-0038124,WR,2023,0.6764705882352942,24,2022,0.7688888888888888,62.417778,0.011000000000000001,34.0,12.1,0,0.0,0,4,11.0,0,28,422.0,5,0.0,0,0.0,0,4,23.0,0,29,620.0,2,1.0,3.75
102,Marquise Brown,KC,6,WR42,109.0,92.0,119.0,106.7,00-0035662,WR,2023,0.8674698795180723,26,2019,0.8507142857142856,37.1559,0.027000000000000003,25.0,14.1,0,0.0,0,2,23.0,0,51,574.0,4,0.0,0,0.0,0,0,0.0,0,9,91.0,0,0.0,3.215686274509804
103,Jordan Addison,MIN,6,WR43,120.0,84.0,117.0,107.0,00-0038994,WR,2023,1.0,21,2023,0.8105882352941177,75.489044,0.015,23.0,14.6,0,0.0,0,1,2.0,0,70,911.0,10,0.0,0,0.0,0,3,20.0,1,63,875.0,9,0.0,3.742857142857143
107,DeAndre Hopkins,BAL,14,WR44,126.0,101.0,99.0,108.7,00-0030564,WR,2023,0.9175824175824175,31,2013,0.7217647058823529,73.797646,0.057999999999999996,27.0,13.6,0,0.0,0,2,9.0,0,75,1057.0,7,0.0,0,0.0,0,0,0.0,0,56,610.0,5,0.0,2.973333333333333
108,Ladd McConkey,LAC,5,WR45,133.0,88.0,111.0,110.7,00-0039915,WR,2023,--,21,2024,-1.0,--,0.01,34.0,12.1,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,82,1149.0,7,0.0,--
109,Brian Thomas Jr.,JAC,12,WR46,116.0,105.0,113.0,111.3,00-0039893,WR,2023,--,20,2024,-1.0,--,0.013999999999999999,23.0,14.6,--,--,--,--,--,--,--,--,--,--,0,0.0,0,6,48.0,0,87,1282.0,10,0.0,--
