Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,snap_share,rookie_season,apy_cap_pct,draft_pick,pick_value,fan_pts_var,yac_pr
128,Michael Pittman Jr.,IND,11.0,WR50,168.0,114.0,118.0,133.3,00-0036252,WR,2024,0.9285714285714286,26,0.880625,2020,0.091,34.0,12.1,37.545166,3.753623188405797
133,Keon Coleman,BUF,7.0,WR51,163.0,120.0,131.0,138.0,00-0039901,WR,2024,0.7647058823529411,21,0.7284615384615385,2024,0.01,33.0,12.3,25.885256,7.413793103448276
141,Luther Burden III,CHI,5.0,WR52,161.0,135.0,148.0,148.0,00-0040735,WR,2024,--,20,-1.0,2025,--,39.0,11.3,--,--
142,Jayden Higgins,HOU,6.0,WR53,201.0,116.0,128.0,148.3,00-0040130,WR,2024,--,21,-1.0,2025,0.01,34.0,12.1,--,--
144,Darnell Mooney,ATL,5.0,WR54,197.0,113.0,137.0,149.0,00-0036309,WR,2024,0.9047619047619048,26,0.9275,2020,0.051,173.0,1.8,68.065994,4.296875
152,Tre' Harris,LAC,12.0,WR55,187.0,132.0,146.0,155.0,00-0040727,WR,2024,--,22,-1.0,2025,--,55.0,9.1,--,--
156,Marvin Mims Jr.,DEN,12.0,WR56,202.0,136.0,136.0,158.0,00-0038976,WR,2024,0.9705882352941176,22,0.2694117647058823,2023,0.006999999999999999,63.0,8.2,79.407295,12.23076923076923
159,Rashid Shaheed,NO,11.0,WR57,196.0,128.0,156.0,160.0,00-0037545,WR,2024,0.717391304347826,26,0.7566666666666667,2022,0.012,,0.0,63.086666,5.3
161,Keenan Allen,LAC,12.0,WR58,157.0,176.0,153.0,162.0,00-0030279,WR,2024,0.7947368421052632,32,0.868,2013,0.0,76.0,7.0,74.49781,3.4285714285714284
163,Christian Kirk,HOU,6.0,WR59,198.0,140.0,155.0,164.3,00-0034775,WR,2024,0.8017241379310345,27,0.7000000000000001,2018,0.086,47.0,10.1,41.642677,4.185185185185185
167,DeAndre Hopkins,BAL,7.0,WR60,147.0,195.0,154.0,165.3,00-0030564,WR,2024,0.9246231155778895,32,0.49,2013,0.018000000000000002,27.0,13.6,53.783833,1.9464285714285714
168,Jack Bech,LV,8.0,WR61,181.0,159.0,158.0,166.0,00-0040729,WR,2024,--,21,-1.0,2025,--,58.0,8.7,--,--
169,Marquise Brown,KC,10.0,WR62,171.0,171.0,159.0,167.0,00-0035662,WR,2024,0.75,27,0.335,2019,0.025,25.0,14.1,0.40499964,5.111111111111111
172,Jalen McMillan,TB,9.0,WR63,165.0,152.0,188.0,168.3,00-0039855,WR,2024,0.8235294117647058,22,0.7076923076923077,2024,0.006,92.0,5.8,69.78141,3.5945945945945947
175,Rashod Bateman,BAL,7.0,WR64,179.0,145.0,186.0,170.0,00-0036550,WR,2024,0.75,24,0.6900000000000001,2021,0.044000000000000004,27.0,13.6,45.49717,4.088888888888889
176,Kyle Williams,NE,14.0,WR65,177.0,146.0,189.0,170.7,00-0040131,WR,2024,--,21,-1.0,2025,0.006,,0.0,--,--
181,Adam Thielen,CAR,14.0,WR66,156.0,172.0,200.0,176.0,00-0030035,WR,2024,0.9065934065934066,34,0.708,2013,0.031,,0.0,58.37611,3.1666666666666665
200,Xavier Legette,CAR,14.0,WR67,,180.0,171.0,175.5,00-0039342,WR,2024,0.9411764705882353,23,0.698125,2024,0.012,32.0,12.5,22.524,2.2857142857142856
201,Cedric Tillman,CLE,9.0,WR68,,178.0,176.0,177.0,00-0038979,WR,2024,0.7352941176470589,24,0.5490909090909091,2023,0.006,74.0,7.2,112.1625,3.586206896551724
205,DeMario Douglas,NE,14.0,WR69,,194.0,181.0,187.5,00-0038621,WR,2024,0.9117647058823529,23,0.6258823529411766,2023,0.004,210.0,0.6,24.57696,5.4393939393939394
210,Wan'Dale Robinson,NYG,14.0,WR70,,198.0,183.0,190.5,00-0038117,WR,2024,0.7450980392156863,23,0.7588235294117647,2022,0.01,43.0,10.6,19.173899,3.881720430107527
