Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age;targets;recepciones;rec_yards;rec_ypg;rec_20plus;rec_td;attempts;rush_yards;rush_ypg;rush_td;fumbles_perdidos;total_touchdowns;partidos
291;Dontayvion Wicks;GB;5;WR90;;255;291;273;00-0038393;WR;2024;0.9411764705882353;23;76;39;415;2.441.176.470.588.230;4;5;0;0;0;0;0;5;17
293;Jalen Coker;CAR;14;WR91;;248;;248;00-0039491;WR;2024;0.7857142857142857;22;46;32;478;4.345.454.545.454.540;6;2;0;0;0;0;0;2;11
295;Andrei Iosivas;CIN;10;WR92;;264;292;278;00-0038619;WR;2024;0.9705882352941176;24;61;36;479;28.176.470.588.235.200;7;6;0;0;0;0;0;6;17
297;Tory Horton;SEA;8;WR93;;269;295;282;00-0040648;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Troy Franklin;DEN;12;WR94;;299;269;284;00-0039868;WR;2024;0.9411764705882353;21;53;28;263;164.375;5;2;2;8;0.5;0;0;2;16
301;Luke McCaffrey;WAS;12;WR95;;;266;266;00-0039355;WR;2024;1.0;23;25;18;168;14;2;0;0;0;0;0;0;0;12
302;Roman Wilson;PIT;5;WR96;;272;315;293.5;00-0039739;WR;2024;0.058823529411764705;23;0;0;0;0;0;0;0;0;0;0;0;0;0
303;Jermaine Burton;CIN;10;WR97;;;274;274;00-0039810;WR;2024;0.8235294117647058;23;14;4;107;26.75;2;0;0;0;0;0;0;0;4
305;Diontae Johnson;CLE;9;WR98;;276;313;294.5;00-0035216;WR;2024;0.92;28;201;99;1125;10.227.272.727.272.700;10;6;2;6;0.5454545454545454;0;0;6;11
306;Xavier Restrepo;TEN;10;WR99;;279;;279;00-0040522;WR;2024;--;22;0;0;0;0;0;0;0;0;0;0;0;0;0
308;Kayshon Boutte;NE;14;WR100;;300;284;292;00-0038608;WR;2024;0.6176470588235294;22;69;43;589;39.266.666.666.666.600;11;3;0;0;0;0;0;3;15
309;Brandin Cooks;NO;11;WR101;;282;318;300;00-0031236;WR;2024;0.8465909090909091;30;54;26;259;25.9;3;3;3;-3;-0.3;0;0;3;10
311;Tre Tucker;LV;8;WR102;;;285;285;00-0038563;WR;2024;0.9705882352941176;23;81;47;539;31.705.882.352.941.100;6;3;9;44;2.588.235.294.117.640;1;0;4;17
313;Devaughn Vele;DEN;12;WR103;;;288;288;00-0039424;WR;2024;0.7647058823529411;26;55;41;475;3.653.846.153.846.150;7;3;0;0;0;0;0;3;13
320;Marquez Valdes-Scantling;SEA;8;WR104;;298;;298;00-0034272;WR;2024;0.9304347826086956;29;44;19;411;31.615.384.615.384.600;8;4;1;4;0.3076923076923077;0;0;4;13
322;Jalen Tolbert;DAL;10;WR105;;;300;300;00-0037666;WR;2024;0.8235294117647058;25;79;49;610;3.588.235.294.117.640;8;7;0;0;0;0;0;7;17
323;Jordan Whittington;LAR;8;WR106;;301;;301;00-0039751;WR;2024;0.8823529411764706;23;28;22;293;48.833.333.333.333.300;4;0;2;12;2;0;0;0;6
325;KeAndre Lambert-Smith;LAC;12;WR107;;;302;302;00-0040184;WR;2024;--;22;0;0;0;0;0;0;0;0;0;0;0;0;0
326;Tutu Atwell;LAR;8;WR108;;302;319;310.5;00-0036849;WR;2024;0.8088235294117647;24;62;42;562;3.746.666.666.666.660;10;0;3;7;0.4666666666666667;0;0;0;15
328;Noah Brown;WAS;12;WR109;;;314;314;00-0033591;WR;2024;0.6818181818181818;28;56;35;453;4.118.181.818.181.810;4;1;0;0;0;0;0;1;11
332;Elijah Moore;BUF;7;WR110;;;322;322;00-0036980;WR;2024;0.9117647058823529;24;102;61;538;31.647.058.823.529.400;5;1;1;1;0.0588235294117647;0;0;1;17
334;Jaylin Lane;WAS;12;WR111;;;324;324;00-0040164;WR;2024;--;22;0;0;0;0;0;0;0;0;0;0;0;0;0
