,Unnamed: 0,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value
52,52,53,Jimmy Graham,,,TE4,56.0,,,50.0,,61.0,54.4,00-0027696,TE,2017,0.8992248062015504,30,2010,0.68875,47.443832,0.055999999999999994,95.0,5.6
53,53,54,Marvin Jones Jr. ,,,WR24,55.0,,,53.0,,51.0,54.8,00-0029293,WR,2017,0.9325842696629213,27,2012,0.9625,62.178295,0.052000000000000005,166.0,2.0
54,54,55,Chris Hogan,,,WR25,54.0,,,54.0,,73.0,55.0,00-0028237,WR,2017,1.0,29,2011,0.9055555555555556,68.95444,0.026000000000000002,,0.0
55,55,56,Greg Olsen,,,TE5,48.0,,,58.0,,62.0,56.4,00-0025418,TE,2017,0.9470198675496688,32,2007,0.7785714285714285,85.548096,0.048,31.0,12.7
56,56,57,Dion Lewis,,,RB23,58.0,,,49.0,,52.0,56.4,00-0028087,RB,2017,0.7733333333333333,26,2011,0.35750000000000004,77.85983,0.027999999999999997,149.0,2.7
57,57,58,Marshawn Lynch ,,,RB24,52.0,,,68.0,,76.0,61.4,00-0025399,RB,2017,0.9924242424242424,31,2007,0.49466666666666664,39.45981,0.025,12.0,18.8
58,58,59,Cam Newton ,,,QB5,46.0,,,65.0,,75.0,63.4,00-0027939,QB,2017,1.0,28,2011,0.9850000000000001,77.29584,0.145,1.0,34.6
59,59,60,Corey Davis,,,WR26,70.0,,,60.0,,65.0,63.6,00-0033871,WR,2017,1.0,22,2017,0.730909090909091,20.57,0.038,5.0,24.3
60,60,61,Carlos Hyde,,,RB25,75.0,,,59.0,,69.0,65.8,00-0031045,RB,2017,0.7741935483870968,26,2014,0.715,39.23983,0.028999999999999998,57.0,8.9
61,61,62,Michael Crabtree,,,WR27,61.0,,,71.0,,58.0,66.4,00-0026986,WR,2017,0.9925373134328358,29,2009,0.6664285714285715,79.61808,0.04,10.0,19.9
62,62,63,Evan Engram,DEN,10,TE6,62.0,,,75.0,,60.0,66.4,00-0033881,TE,2017,1.0,22,2017,0.7726666666666666,50.289238,0.016,23.0,14.6
63,63,64,Marquise Goodwin,,,WR28,67.0,,,55.0,,95.0,67.0,00-0030068,WR,2017,0.9166666666666666,26,2013,0.708125,39.5585,0.038,78.0,6.9
64,64,65,Emmanuel Sanders ,,,WR29,63.0,,,67.0,,71.0,67.0,00-0027685,WR,2017,1.0,30,2010,0.7491666666666666,52.651745,0.071,82.0,6.5
65,65,66,Rex Burkhead,,,RB26,66.0,,,66.0,,81.0,69.8,00-0030288,RB,2017,1.0,27,2013,0.279,46.012886,0.018000000000000002,190.0,1.2
66,66,67,Drew Brees,,,QB6,69.0,,,76.0,,79.0,71.4,00-0020531,QB,2017,1.0,38,2001,0.99625,12.941386,0.141,32.0,12.5
67,67,68,Tevin Coleman,,,RB27,72.0,,,69.0,,64.0,71.8,00-0032058,RB,2017,1.0,24,2015,0.44333333333333336,28.860287,0.006,73.0,7.3
68,68,69,Julian Edelman ,,,WR30,91.0,,,70.0,,66.0,72.2,00-0027150,WR,2017,0.8027210884353742,31,2009,-1.0,--,0.033,232.0,0.0
69,69,70,Delanie Walker ,,,TE7,59.0,,,78.0,,72.0,73.0,00-0024389,TE,2017,1.0,33,2006,0.72625,18.595291,0.048,175.0,1.7
70,70,71,Alshon Jeffery,,,WR31,88.0,,,83.0,,50.0,73.4,00-0029137,WR,2017,0.8383838383838383,27,2012,0.811875,50.642628,0.078,45.0,10.4
71,71,72,Kyle Rudolph,,,TE8,71.0,,,81.0,,78.0,77.2,00-0027981,TE,2017,0.8771929824561403,27,2011,0.82375,32.4785,0.055,43.0,10.6
72,72,73,Kerryon Johnson ,,,RB28,107.0,,,72.0,,86.0,77.8,00-0034349,RB,2017,--,20,2018,-1.0,--,--,43.0,10.6
73,73,74,Jamaal Williams,,,RB29,98.0,,,79.0,,92.0,78.0,00-0033948,RB,2017,1.0,22,2017,0.42375,108.51383,0.004,134.0,3.4
74,74,75,William Fuller V ,,,WR32,92.0,,,63.0,,80.0,79.8,00-0033127,WR,2017,1.0,23,2016,0.786,85.69067,0.016,21.0,15.2
75,75,76,Sammy Watkins,,,WR33,74.0,,,94.0,,63.0,80.2,00-0031325,WR,2017,0.8939393939393939,24,2014,0.8039999999999999,53.409813,0.09,4.0,25.8
76,76,77,Carson Wentz ,,,QB7,73.0,,,88.0,,77.0,81.2,00-0032950,QB,2017,0.90625,24,2016,0.9446153846153845,27.27936,0.043,2.0,30.2
77,77,78,Robert Woods,PIT,7,WR34,64.0,,,93.0,,68.0,82.4,00-0030431,WR,2017,0.8148148148148148,25,2013,0.8208333333333333,91.257195,0.040999999999999995,41.0,11.0
78,78,79,Sony Michel,,,RB30,125.0,,,77.0,,57.0,82.8,00-0034845,RB,2017,--,22,2018,-1.0,--,0.013999999999999999,31.0,12.7
79,79,80,Devin Funchess,,,WR35,77.0,,,92.0,,67.0,82.8,00-0032055,WR,2017,0.9795918367346939,23,2015,0.79,55.8065,0.01,41.0,11.0
80,80,81,Rashaad Penny,,,RB31,112.0,,,90.0,,40.0,83.6,00-0034750,RB,2017,--,21,2018,-1.0,--,0.015,27.0,13.6
81,81,82,Jordan Reed ,,,TE9,79.0,,,64.0,,99.0,84.6,00-0030472,TE,2017,0.7777777777777778,27,2013,0.5966666666666668,74.621666,0.06,85.0,6.3
82,82,83,Cooper Kupp,SEA,7,WR36,89.0,,,91.0,,85.0,85.0,00-0033908,WR,2017,1.0,24,2017,0.7593333333333333,36.030666,0.006,69.0,7.6
83,83,84,Trey Burton ,,,TE10,111.0,,,82.0,,90.0,85.6,00-0030710,TE,2017,1.0,25,2014,0.2806666666666667,44.400913,0.045,,0.0
84,84,85,Tarik Cohen,,,RB32,105.0,,,84.0,,70.0,85.6,00-0033556,RB,2017,1.0,22,2017,0.359375,39.548157,--,119.0,4.2
85,85,86,Duke Johnson Jr.,,,RB33,76.0,,,80.0,,88.0,86.6,00-0032257,RB,2017,1.0,23,2015,0.5268750000000001,33.10329,0.028999999999999998,77.0,6.9
86,86,87,Kirk Cousins,ATL,8,QB8,87.0,,,97.0,,93.0,88.0,00-0029604,QB,2017,1.0,29,2012,0.995625,57.35818,0.158,102.0,5.1
87,87,88,Jamison Crowder,,,WR37,102.0,,,74.0,,84.0,88.4,00-0031941,WR,2017,1.0,24,2015,0.7133333333333333,52.12981,0.005,105.0,5.0
88,88,89,Robbie Chosen,SF,11,WR38,83.0,,,89.0,,98.0,89.8,00-0032688,WR,2017,1.0,24,2016,0.7831250000000001,67.37066,0.003,,0.0
89,89,90,Chris Carson,,,RB34,82.0,,,62.0,,148.0,90.4,00-0033594,RB,2017,0.25,22,2017,0.5549999999999999,9.395833,0.004,249.0,0.0
90,90,91,Andrew Luck,,,QB9,81.0,,,95.0,,114.0,92.0,00-0029668,QB,2017,0.92,27,2012,-1.0,--,0.158,1.0,34.6
91,91,92,Pierre Garcon ,,,WR39,86.0,,,87.0,,74.0,92.6,00-0026345,WR,2017,0.9470198675496688,31,2008,0.785,35.65429,0.057,205.0,0.7
92,92,93,Jordy Nelson,,,WR40,100.0,,,101.0,,87.0,93.2,00-0026176,WR,2017,1.0,32,2008,0.8320000000000001,54.326153,0.04,36.0,11.8
93,93,94,Isaiah Crowell ,,,RB35,106.0,,,73.0,,94.0,94.8,00-0030656,RB,2017,1.0,24,2014,-1.0,28.251625,0.023,,0.0
94,94,95,Matthew Stafford,LAR,12,QB10,104.0,,,86.0,,103.0,97.0,00-0026498,QB,2017,0.7959183673469388,29,2009,0.99125,27.024422,0.162,1.0,34.6
95,95,96,Randall Cobb,,,WR41,101.0,,,103.0,,91.0,99.4,00-0028002,WR,2017,1.0,27,2011,0.7573333333333334,29.373625,0.07,64.0,8.1
96,96,97,Ben Roethlisberger,,,QB11,78.0,,,100.0,,108.0,100.6,00-0022924,QB,2017,1.0,35,2004,0.9886666666666667,55.870815,0.152,11.0,19.3
97,97,98,Nelson Agholor,,,WR42,110.0,,,104.0,,96.0,102.0,00-0031549,WR,2017,1.0,24,2015,0.7106250000000001,53.093624,0.016,20.0,15.5
98,98,99,Marlon Mack,,,RB36,153.0,,,98.0,,83.0,104.8,00-0033951,RB,2017,1.0,21,2017,0.34142857142857147,24.778736,0.004,143.0,3.0
99,99,100,Jimmy Garoppolo,LAR,12,QB12,108.0,,,109.0,,102.0,105.2,00-0031345,QB,2017,1.0,25,2014,0.84,37.507957,0.155,62.0,8.3
100,100,101,Sterling Shepard,TB,5,WR43,93.0,,,114.0,,100.0,105.6,00-0032385,WR,2017,1.0,24,2016,0.9000000000000002,97.96054,0.01,40.0,11.1
101,101,102,Peyton Barber,,,RB37,97.0,,,106.0,,162.0,106.4,00-0032741,RB,2017,1.0,23,2016,0.2275,37.102905,0.004,,0.0
102,102,103,Matt Ryan,,,QB13,99.0,,,105.0,,116.0,107.0,00-0026143,QB,2017,1.0,32,2008,1.0,14.529985,0.16899999999999998,3.0,27.6
103,103,104,Jack Doyle ,,,TE11,103.0,,,113.0,,106.0,108.6,00-0030181,TE,2017,1.0,27,2013,0.9533333333333334,50.120953,0.038,,0.0
104,104,105,Chris Thompson,,,RB38,80.0,,,61.0,,233.0,109.0,00-0030404,RB,2017,0.7419354838709677,26,2013,0.5189999999999999,68.78711,0.021,154.0,2.5
105,105,106,Philip Rivers,,,QB14,118.0,,,111.0,,110.0,109.0,00-0022942,QB,2017,1.0,35,2004,0.96875,42.570774,0.145,4.0,25.8
106,106,107,Ronald Jones,II,,RB39,171.0,,,102.0,,55.0,112.4,00-0034816,RB,2017,--,20,2018,-1.0,--,0.01,38.0,11.4
107,107,108,David Njoku,CLE,11,TE12,117.0,,,107.0,,129.0,112.6,00-0033885,TE,2017,1.0,21,2017,0.46875,25.729624,0.013999999999999999,29.0,13.2
108,108,109,Kelvin Benjamin,,,WR44,109.0,,,112.0,,105.0,113.8,00-0031359,WR,2017,1.0,26,2014,0.6435714285714286,28.400932,0.004,28.0,13.4
109,109,110,Kenny Stills,,,WR45,123.0,,,117.0,,118.0,115.8,00-0030085,WR,2017,1.0,25,2013,0.906875,70.00962,0.048,144.0,3.0
110,110,111,James White,,,RB40,121.0,,,108.0,,133.0,116.0,00-0031062,RB,2017,1.0,25,2014,0.39,28.129889,0.024,130.0,3.6
111,111,112,Aaron Jones r.,MIN,10 S,RB41,146.0,,,110.0,,104.0,116.8,00-0033293,RB,2017,1.0,22,2017,0.325,62.41333,0.004,182.0,1.5
112,112,113,Patrick Mahomes II,KC,12,QB15,122.0,,,120.0,,120.0,120.8,00-0033873,QB,2017,1.0,21,2017,0.94,,0.025,10.0,19.9
113,113,114,Jared Goff,DET,6,QB16,120.0,,,130.0,,111.0,121.0,00-0033106,QB,2017,1.0,22,2016,0.9640000000000001,44.670395,0.045,1.0,34.6
114,114,115,DeVante Parker,,,WR46,151.0,,,116.0,,89.0,125.2,00-0031547,WR,2017,1.0,24,2015,0.8092307692307692,35.40167,0.019,14.0,17.8
115,115,116,Allen Hurns,,,WR47,128.0,,,118.0,,113.0,125.2,00-0030821,WR,2017,1.0,25,2014,-1.0,25.471558,0.031,,0.0
116,116,117,Adrian Peterson,,,RB42,90.0,,,140.0,,214.0,125.4,00-0025394,RB,2017,0.7611940298507462,32,2007,0.45200000000000007,65.56989,0.006,7.0,22.2
117,117,118,Nick Chubb,HOU,10,RB43,156.0,,,124.0,,97.0,127.4,00-0034791,RB,2017,--,21,2018,-1.0,--,0.01,35.0,12.0
118,118,119,C.J. Anderson,,,RB44,168.0,,,99.0,,101.0,130.2,00-0029854,RB,2017,0.891566265060241,26,2013,-1.0,73.15996,0.01,,0.0
119,119,120,Greg Zuerlein,,,K1,96.0,,,158.0,,119.0,134.2,00-0029621,K,2017,0.98,29,2012,0.40857142857142864,--,0.013000000000000001,171.0,1.9
120,120,121,Alex Smith ,,,QB17,116.0,,,153.0,,127.0,134.4,00-0023436,QB,2017,1.0,33,2005,1.0,67.81677,0.133,,0.0
121,121,122,Matt Breida ,,,RB45,127.0,,,132.0,,161.0,134.8,00-0033308,RB,2017,1.0,22,2017,0.279375,24.786291,0.003,,0.0
122,122,123,Calvin Ridley,TEN,8,WR48,158.0,,,135.0,,128.0,135.6,00-0034837,WR,2017,--,22,2018,-1.0,--,0.015,26.0,13.9
123,123,124,Stephen Gostkowski,,,K2,94.0,,,156.0,,132.0,136.2,00-0024333,K,2017,0.9370629370629371,33,2006,0.426875,--,0.03,118.0,4.2
124,124,125,Keelan Cole Sr.,,,WR49,133.0,,,136.0,,181.0,136.4,00-0033681,WR,2017,1.0,24,2017,0.6625,69.92799,0.003,,0.0
125,125,126,George Kittle,SF,11,TE13,163.0,,,129.0,,117.0,136.8,00-0033288,TE,2017,1.0,23,2017,0.5786666666666667,29.835712,0.004,146.0,2.9
126,126,127,Ty Montgomery,II,,RB46,154.0,,,131.0,,109.0,137.2,00-0032200,WR,2017,0.574468085106383,24,2015,0.48,88.68857,0.005,94.0,5.7
127,127,128,Marcus Mariota,WAS,4,QB18,131.0,,,147.0,,124.0,137.4,00-0032268,QB,2017,0.9795918367346939,23,2015,0.9693333333333333,20.963417,0.042,2.0,30.2
128,128,129,Tyler Eifert ,,,TE14,136.0,,,133.0,,134.0,137.4,00-0030549,TE,2017,0.8059701492537313,26,2013,0.835,16.82,0.031,21.0,15.2
129,129,130,Jacksonville Jaguars,DST,9,DST1,65.0,,,96.0,,,86.0,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0
130,130,131,Derek Carr,,,QB19,114.0,,,142.0,,143.0,138.4,00-0031280,QB,2017,1.0,26,2014,0.9753333333333333,44.018585,0.15,36.0,11.8
131,131,132,DJ Moore,CHI,5,WR50,178.0,,,123.0,,122.0,139.0,00-0034827,WR,2017,--,20,2018,-1.0,--,0.016,24.0,14.4
132,132,133,Giovani Bernard,,,RB47,167.0,,,141.0,,126.0,141.4,00-0030456,RB,2017,0.927710843373494,25,2013,0.48750000000000004,64.61429,0.033,37.0,11.6
133,133,134,Dak Prescott,DAL,8,QB20,113.0,,,150.0,,141.0,141.8,00-0033077,QB,2017,1.0,24,2016,0.986875,91.65088,0.004,135.0,3.4
134,134,135,Justin Tucker,,,K3,124.0,,,161.0,,137.0,142.2,00-0029597,K,2017,1.0,27,2012,-1.0,--,0.027000000000000003,,0.0
135,135,136,Bilal Powell ,,,RB48,165.0,,,149.0,,150.0,142.4,00-0028064,RB,2017,1.0,28,2011,0.41866666666666663,49.910286,0.024,126.0,3.8
136,136,137,Latavius Murray,,,RB49,159.0,,,146.0,,144.0,142.6,00-0030513,RB,2017,1.0,27,2013,0.375625,59.914623,0.023,181.0,1.5
137,137,138,Michael Gallup,WAS,4,WR51,157.0,,,121.0,,158.0,144.2,00-0034764,WR,2017,--,21,2018,-1.0,--,0.005,81.0,6.6
138,138,139,Kenny Golladay,,,WR52,150.0,,,152.0,,139.0,144.6,00-0033932,WR,2017,1.0,23,2017,0.6790909090909091,34.452,0.005,96.0,5.5
139,139,140,Corey Clement,,,RB50,160.0,,,144.0,,131.0,144.8,00-0033725,RB,2017,1.0,22,2017,0.224375,41.56923,0.003,,0.0
140,140,141,Alfred Morris,,,RB51,68.0,,,173.0,,249.0,145.0,00-0029141,RB,2017,1.0,28,2012,0.225,30.326029,0.004,173.0,1.8
141,141,142,Josh Doctson,,,WR53,126.0,,,151.0,,147.0,148.2,00-0032760,WR,2017,0.6875,24,2016,0.748125,14.81981,0.016,22.0,14.9
142,142,143,Tyler Lockett,TEN,8,WR54,140.0,,,168.0,,155.0,150.0,00-0032211,WR,2017,0.9795918367346939,24,2015,0.644375,35.43296,0.06,69.0,7.6
143,143,144,Los Angeles Rams,DST,12,DST2,84.0,,,115.0,,,104.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0
144,144,145,Cameron Meredith ,,,WR55,177.0,,,125.0,,135.0,153.0,00-0031912,WR,2017,0.673469387755102,24,2015,-1.0,--,0.027000000000000003,,0.0
145,145,146,Theo Riddick,,,RB52,172.0,,,126.0,,123.0,154.4,00-0030107,RB,2017,0.9879518072289156,26,2013,0.45125,39.232666,0.025,199.0,0.9
146,146,147,Minnesota Vikings,DST,10,DST3,95.0,,,119.0,,,112.0,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0
147,147,148,Philadelphia Eagles,DST,9,DST4,85.0,,,127.0,,,114.0,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0
148,148,149,LeGarrette Blount,,,RB53,144.0,,,164.0,,138.0,162.0,00-0027325,RB,2017,0.8923076923076924,30,2010,-1.0,20.923332,0.011000000000000001,,0.0
149,149,150,Jordan Wilkins,,,RB54,170.0,,,145.0,,194.0,165.8,00-0034400,RB,2017,--,23,2018,-1.0,--,0.004,169.0,1.9
150,150,151,Anthony Miller,BAL,10,WR56,185.0,,,166.0,,170.0,166.0,00-0034353,WR,2017,--,22,2018,-1.0,--,0.008,51.0,9.6
151,151,152,Chris Godwin,TB,5,WR57,176.0,,,155.0,,191.0,166.6,00-0033921,WR,2017,1.0,21,2017,0.405,42.253815,0.005,84.0,6.4
152,152,153,James Conner,ARI,9,RB55,119.0,,,180.0,,227.0,169.2,00-0033553,RB,2017,0.875,22,2017,0.07,0.3872727,0.005,105.0,5.0
153,153,154,Mike Williams,,,WR58,162.0,,,122.0,,372.0,177.2,00-0033536,WR,2017,1.0,22,2017,0.347,8.021945,0.03,7.0,22.2
154,154,155,John Brown,,,WR59,188.0,,,154.0,,234.0,173.2,00-0031051,WR,2017,1.0,27,2014,0.718,20.794333,0.027999999999999997,91.0,5.9
155,155,156,Baltimore Ravens,DST,10,DST5,115.0,,,138.0,,,132.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0
156,156,157,Los Angeles Chargers,DST,8,DST6,147.0,,,134.0,,,132.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0
157,157,158,Mitchell Trubisky,BUF,11,QB21,155.0,,,218.0,,157.0,175.8,00-0033869,QB,2017,1.0,23,2017,1.0,28.833857,0.043,2.0,30.2
158,158,159,Wil Lutz,DEN,10,K4,181.0,,,169.0,,172.0,176.4,00-0032569,K,2017,1.0,23,2016,-1.0,,0.003,,0.0
