,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value
16,16,16,17,Amari Cooper,,,WR8,19.0,,,,,16.0,18.0,00-0031544,WR,2016,1.0,22,2015,0.888125,71.80962,0.04,4.0,25.8
17,17,17,18,Todd Gurley,II,,RB10,18.0,,,,,17.0,18.6,00-0032241,RB,2016,1.0,22,2015,0.7393749999999999,23.3825,0.024,10.0,19.9
18,18,18,19,Brandin Cooks,NO,5.0,WR9,16.0,,,,,23.0,19.8,00-0031236,WR,2016,0.75,22,2014,0.768125,102.21028,0.016,20.0,15.5
19,19,19,20,Rob Gronkowski,,,TE1,17.0,,,,,22.0,19.8,00-0027656,TE,2016,0.6869565217391305,27,2010,0.675,122.82786,0.075,42.0,10.8
20,20,20,21,Dez Bryant,,,WR10,24.0,,,,,20.0,20.2,00-0027902,WR,2016,0.7433628318584071,27,2010,0.7853846153846155,97.61936,0.098,24.0,14.4
21,21,21,22,Aaron Rodgers,PIT,9.0,QB1,20.0,,,,,18.0,22.8,00-0023459,QB,2016,1.0,32,2005,0.978125,59.04336,0.179,24.0,14.4
22,22,22,23,Doug Baldwin,,,WR11,23.0,,,,,25.0,22.8,00-0028434,WR,2016,1.0,27,2011,-1.0,90.464005,0.07400000000000001,,0.0
23,23,23,24,Leonard Fournette,,,RB11,26.0,,,,,21.0,24.8,00-0033856,RB,2016,--,21,2017,-1.0,--,0.040999999999999995,4.0,25.8
24,24,24,25,T.Y. Hilton,,,WR12,25.0,,,,,28.0,26.2,00-0029608,WR,2016,1.0,26,2012,0.8625,82.83849,0.091,92.0,5.8
25,25,25,26,Christian McCaffrey,SF,11.0,RB12,30.0,,,,,24.0,27.2,00-0033280,RB,2016,--,20,2017,-1.0,--,0.026000000000000002,8.0,21.4
26,26,26,27,DeAndre Hopkins,BAL,10.0,WR13,29.0,,,,,27.0,28.2,00-0030564,WR,2016,1.0,24,2013,0.968125,33.727833,0.09699999999999999,27.0,13.6
27,27,27,28,Demaryius Thomas,,,WR14,32.0,,,,,32.0,30.2,00-0027874,WR,2016,1.0,28,2010,0.824375,31.590626,0.098,22.0,14.9
28,28,28,29,Lamar Miller,,,RB13,27.0,,,,,26.0,30.6,00-0029615,RB,2016,1.0,25,2012,0.6307142857142857,57.16115,0.042,97.0,5.5
29,29,29,30,Tom Brady,,,QB2,22.0,,,,,31.0,30.8,00-0019596,QB,2016,1.0,39,2000,0.9658333333333332,56.630856,0.132,199.0,0.9
30,30,30,31,Keenan Allen,LAC,9.0,WR15,40.0,,,,,40.0,32.6,00-0030279,WR,2016,0.603448275862069,24,2013,0.37,,0.07200000000000001,76.0,7.0
31,31,31,32,Terrelle Pryor Sr.,,,WR16,31.0,,,,,39.0,33.4,00-0028825,WR,2016,1.0,27,2011,-1.0,72.142395,0.036000000000000004,1.0,34.6
32,32,32,33,Isaiah Crowell,,,RB14,36.0,,,,,38.0,33.8,00-0030656,RB,2016,1.0,23,2014,-1.0,40.993626,0.016,,0.0
33,33,33,34,Dalvin Cook,,,RB15,42.0,,,,,41.0,34.2,00-0033893,RB,2016,--,21,2017,-1.0,--,0.01,41.0,11.0
34,34,34,35,Marshawn Lynch,,,RB16,28.0,,,,,30.0,35.8,00-0025399,RB,2016,1.0,30,2007,-1.0,--,0.027000000000000003,12.0,18.8
35,35,35,36,Travis Kelce,KC,10.0,TE2,41.0,,,,,29.0,36.0,00-0030506,TE,2016,0.9090909090909091,26,2013,0.860625,67.3985,0.06,63.0,8.2
36,36,36,37,Alshon Jeffery,,,WR17,35.0,,,,,36.0,37.0,00-0029137,WR,2016,0.8072289156626506,26,2012,0.9258333333333332,26.991135,0.078,45.0,10.4
37,37,37,38,Kareem Hunt,KC,10.0,RB17,33.0,,,,,37.0,38.2,00-0033923,RB,2016,--,21,2017,-1.0,--,0.005,86.0,6.2
38,38,38,39,Michael Crabtree,,,WR18,37.0,,,,,43.0,41.0,00-0026986,WR,2016,1.0,28,2009,0.74875,67.29596,0.059000000000000004,10.0,19.9
39,39,39,40,Carlos Hyde,,,RB18,38.0,,,,,45.0,41.4,00-0031045,RB,2016,0.6956521739130435,25,2014,0.6353846153846153,72.71026,0.006999999999999999,57.0,8.9
40,40,40,41,Davante Adams,LAR,8.0,WR19,48.0,,,,,35.0,41.6,00-0031381,WR,2016,1.0,23,2014,0.8387500000000001,97.26829,0.087,53.0,9.3
41,41,41,42,Ty Montgomery,II,,RB19,45.0,,,,,48.0,42.0,00-0032200,WR,2016,0.5161290322580645,23,2015,0.3846666666666666,82.66743,0.005,94.0,5.7
42,42,42,43,Drew Brees,,,QB3,34.0,,,,,34.0,42.8,00-0020531,QB,2016,1.0,37,2001,1.0,76.40166,0.156,32.0,12.5
43,43,43,44,Joe Mixon,HOU,7.0,RB20,57.0,,,,,33.0,43.8,00-0033897,RB,2016,--,20,2017,-1.0,--,0.008,48.0,9.9
44,44,44,45,Golden Tate,,,WR20,47.0,,,,,47.0,46.4,00-0027891,WR,2016,1.0,28,2010,0.834375,77.471954,0.047,60.0,8.5
45,45,45,46,Allen Robinson,II,,WR21,60.0,,,,,42.0,47.2,00-0031428,WR,2016,0.75,23,2014,0.94125,66.98396,0.006999999999999999,61.0,8.4
46,46,46,47,Larry Fitzgerald,,,WR22,44.0,,,,,56.0,47.8,00-0022921,WR,2016,1.0,33,2004,0.91375,46.751835,0.066,3.0,27.6
47,47,47,48,Greg Olsen,,,TE3,43.0,,,,,46.0,48.0,00-0025418,TE,2016,1.0,31,2007,0.933125,46.43863,0.052000000000000005,31.0,12.7
48,48,48,49,Tyreek Hill,MIA,1.0,WR23,54.0,,,,,58.0,50.4,00-0033040,WR,2016,1.0,22,2016,0.413125,65.694496,0.004,165.0,2.1
49,49,49,50,Jordan Reed,,,TE4,46.0,,,,,51.0,50.6,00-0030472,TE,2016,0.7692307692307693,26,2013,0.7075,92.373634,0.06,85.0,6.3
50,50,50,51,Kelvin Benjamin,,,WR24,49.0,,,,,62.0,51.2,00-0031359,WR,2016,1.0,25,2014,0.723125,61.40562,0.024,28.0,13.4
51,51,51,52,Martavis Bryant,,,WR25,58.0,,,,,52.0,51.2,00-0031373,WR,2016,1.0,24,2014,-1.0,--,0.005,118.0,4.2
52,52,52,53,Jarvis Landry,,,WR26,52.0,,,,,44.0,52.8,00-0031382,WR,2016,1.0,23,2014,0.93875,38.669624,0.006999999999999999,63.0,8.2
53,53,53,54,Mark Ingram,II,,RB21,55.0,,,,,53.0,55.6,00-0027966,RB,2016,0.6907216494845361,26,2011,0.460625,94.67317,0.027999999999999997,28.0,13.4
54,54,54,55,Matt Ryan,,,QB4,39.0,,,,,50.0,56.0,00-0026143,QB,2016,1.0,31,2008,0.981875,38.94151,0.16899999999999998,3.0,27.6
55,55,55,56,Stefon Diggs,NE,9.0,WR27,67.0,,,,,64.0,56.8,00-0031588,WR,2016,1.0,22,2015,0.81,87.92231,0.004,146.0,2.9
56,56,56,57,Jimmy Graham,,,TE5,53.0,,,,,59.0,58.0,00-0027696,TE,2016,0.8849557522123894,29,2010,0.75875,53.188957,0.075,95.0,5.6
57,57,57,58,Bilal Powell,,,RB22,56.0,,,,,63.0,58.8,00-0028064,RB,2016,1.0,27,2011,0.5075000000000001,97.945175,0.024,126.0,3.8
58,58,58,59,Sammy Watkins,,,WR28,63.0,,,,,55.0,59.0,00-0031325,WR,2016,0.86,23,2014,0.7525,69.87643,0.037000000000000005,4.0,25.8
59,59,59,60,Emmanuel Sanders,,,WR29,50.0,,,,,60.0,60.0,00-0027685,WR,2016,1.0,29,2010,0.8087500000000001,84.43067,0.071,82.0,6.5
60,60,60,61,C.J. Anderson,,,RB23,69.0,,,,,57.0,60.8,00-0029854,RB,2016,0.8656716417910447,25,2013,-1.0,64.93285,0.028999999999999998,,0.0
61,61,61,62,DeVante Parker,,,WR30,71.0,,,,,54.0,61.4,00-0031547,WR,2016,1.0,23,2015,0.8213333333333335,39.523525,0.019,14.0,17.8
62,62,62,63,Russell Wilson,NYG,8.0,QB5,51.0,,,,,70.0,63.8,00-0029263,QB,2016,1.0,27,2012,0.95375,64.95069,0.153,75.0,7.1
63,63,63,64,Jamison Crowder,,,WR31,59.0,,,,,78.0,63.8,00-0031941,WR,2016,1.0,23,2015,0.7418750000000001,46.483955,0.005,105.0,5.0
64,64,64,65,Ameer Abdullah,SF,11.0,RB24,75.0,,,,,61.0,64.0,00-0032104,RB,2016,0.5757575757575758,23,2015,0.42,184.31999,0.006999999999999999,54.0,9.2
65,65,65,66,Brandon Marshall,,,WR32,68.0,,,,,65.0,67.0,00-0024334,WR,2016,0.8939393939393939,32,2006,0.916,42.071236,0.033,119.0,4.2
66,66,66,67,Danny Woodhead,,,RB25,65.0,,,,,85.0,67.8,00-0026019,RB,2016,0.853448275862069,31,2008,-1.0,178.60501,0.018000000000000002,,0.0
67,67,67,68,Pierre Garcon,,,WR33,70.0,,,,,79.0,70.0,00-0026345,WR,2016,1.0,30,2008,0.7618750000000001,23.47696,0.057,205.0,0.7
68,68,68,69,Tevin Coleman,,,RB26,90.0,,,,,49.0,71.2,00-0032058,RB,2016,1.0,23,2015,0.4130769230769232,69.22833,0.006,73.0,7.3
69,69,69,70,Kyle Rudolph,,,TE6,72.0,,,,,67.0,74.2,00-0027981,TE,2016,0.8571428571428571,26,2011,0.92125,42.4065,0.055,43.0,10.6
70,70,70,71,Adrian Peterson,,,RB27,62.0,,,,,87.0,75.4,00-0025394,RB,2016,0.7563025210084033,31,2007,0.4666666666666666,2.7299998,0.021,7.0,22.2
71,71,71,72,Doug Martin,,,RB28,97.0,,,,,86.0,76.0,00-0029613,RB,2016,0.881578947368421,27,2012,0.58875,26.115536,0.046,31.0,12.7
72,72,72,73,Mike Gillislee,,,RB29,77.0,,,,,82.0,77.8,00-0030433,RB,2016,1.0,25,2013,0.2726666666666666,28.108856,0.019,164.0,2.1
73,73,73,74,Delanie Walker,,,TE7,66.0,,,,,73.0,78.4,00-0024389,TE,2016,1.0,32,2006,0.7146666666666667,46.59114,0.043,175.0,1.7
74,74,74,75,Zach Ertz,WAS,5.0,TE8,82.0,,,,,71.0,78.4,00-0030061,TE,2016,1.0,25,2013,0.8557142857142856,97.5121,0.055,35.0,12.0
75,75,75,76,Tyler Eifert,,,TE9,95.0,,,,,83.0,78.8,00-0030549,TE,2016,0.9607843137254902,25,2013,0.7737499999999999,76.84572,0.021,21.0,15.2
76,76,76,77,Frank Gore,,,RB30,64.0,,,,,76.0,80.8,00-0023500,RB,2016,0.9076923076923077,33,2005,0.59375,24.041166,0.027999999999999997,65.0,8.0
77,77,77,78,Jameis Winston,NYG,8.0,QB6,89.0,,,,,66.0,81.4,00-0031503,QB,2016,1.0,22,2015,0.986875,34.81711,0.044000000000000004,1.0,34.6
78,78,78,79,Theo Riddick,,,RB31,81.0,,,,,77.0,82.8,00-0030107,RB,2016,0.9850746268656716,25,2013,0.654,61.083996,0.025,199.0,0.9
79,79,79,80,Robert Kelley,,,RB32,78.0,,,,,81.0,83.6,00-0032371,RB,2016,1.0,23,2016,0.3513333333333334,69.502205,0.003,,0.0
80,80,80,81,Kirk Cousins,ATL,5.0,QB7,74.0,,,,,91.0,84.4,00-0029604,QB,2016,1.0,28,2012,1.0,42.29855,0.14300000000000002,102.0,5.1
81,81,81,82,Paul Perkins,,,RB33,88.0,,,,,68.0,84.6,00-0032417,RB,2016,1.0,21,2016,0.3085714285714286,6.5891023,0.004,149.0,2.7
82,82,82,83,Jeremy Maclin,,,WR34,86.0,,,,,101.0,84.6,00-0026995,WR,2016,1.0,28,2009,0.8041666666666667,26.725683,0.033,19.0,15.8
83,83,83,84,Willie Snead,IV,,WR35,119.0,,,,,75.0,84.8,00-0030663,WR,2016,1.0,23,2014,0.6940000000000001,57.978096,0.004,,0.0
84,84,84,85,Marcus Mariota,WAS,5.0,QB8,92.0,,,,,93.0,84.8,00-0032268,QB,2016,0.9696969696969697,22,2015,0.964,77.62565,0.042,2.0,30.2
85,85,85,86,Derek Carr,,,QB9,76.0,,,,,94.0,85.2,00-0031280,QB,2016,1.0,25,2014,0.9846666666666668,66.65214,0.15,36.0,11.8
86,86,86,87,Cam Newton,,,QB10,61.0,,,,,103.0,86.8,00-0027939,QB,2016,1.0,27,2011,0.97,40.81125,0.145,1.0,34.6
87,87,87,88,DeSean Jackson,,,WR36,80.0,,,,,105.0,87.2,00-0026189,WR,2016,0.9076923076923077,29,2008,0.7233333333333333,41.20381,0.067,49.0,9.8
88,88,88,89,Martellus Bennett,,,TE10,85.0,,,,,74.0,89.8,00-0026201,TE,2016,0.8931297709923665,29,2008,0.769375,68.339294,0.042,61.0,8.4
89,89,89,90,Derrick Henry,BAL,10.0,RB34,130.0,,,,,69.0,90.0,00-0032764,RB,2016,1.0,22,2016,0.2726666666666666,35.527306,0.009000000000000001,45.0,10.4
90,90,90,91,Eric Decker,,,WR37,87.0,,,,,89.0,90.4,00-0027690,WR,2016,0.9067796610169492,29,2010,0.9866666666666668,107.403336,0.024,87.0,6.2
91,91,91,92,Randall Cobb,,,WR38,94.0,,,,,88.0,90.6,00-0028002,WR,2016,1.0,26,2011,0.7623076923076924,54.26577,0.07,64.0,8.1
92,92,92,93,Duke Johnson Jr.,,,RB35,104.0,,,,,80.0,92.8,00-0032257,RB,2016,1.0,22,2015,0.4468749999999999,22.161167,0.005,77.0,6.9
93,93,93,94,Tyrell Williams,,,WR39,112.0,,,,,84.0,93.0,00-0032160,WR,2016,1.0,24,2015,0.839375,43.86396,0.004,,0.0
94,94,94,95,Terrance West,,,RB36,84.0,,,,,109.0,95.4,00-0031375,RB,2016,1.0,25,2014,0.38625,49.961163,0.011000000000000001,94.0,5.7
95,95,95,96,Andrew Luck,,,QB11,110.0,,,,,104.0,99.6,00-0029668,QB,2016,1.0,26,2012,0.9806666666666668,46.76301,0.158,1.0,34.6
96,96,96,97,Adam Thielen,CAR,11.0,WR40,108.0,,,,,90.0,100.8,00-0030035,WR,2016,1.0,26,2013,0.7418750000000001,114.618,0.028999999999999998,,0.0
97,97,97,98,Eddie Lacy,,,RB37,91.0,,,,,96.0,101.6,00-0030485,RB,2016,0.835820895522388,26,2013,0.502,5.573,0.025,61.0,8.4
98,98,98,99,LeGarrette Blount,,,RB38,106.0,,,,,97.0,102.6,00-0027325,RB,2016,0.8771929824561403,29,2010,-1.0,35.086624,0.006999999999999999,,0.0
99,99,99,100,Darren McFadden,,,RB39,93.0,,,,,137.0,103.0,00-0026144,RB,2016,1.0,29,2008,0.2666666666666666,6.143333,0.006,4.0,25.8
100,100,100,101,Chris Hogan,,,WR41,99.0,,,,,129.0,103.6,00-0028237,WR,2016,1.0,28,2011,0.7979999999999999,56.847813,0.026000000000000002,,0.0
101,101,101,102,Ben Roethlisberger,,,QB12,102.0,,,,,102.0,104.0,00-0022924,QB,2016,1.0,34,2004,0.9785714285714286,80.04189,0.152,11.0,19.3
102,102,102,103,Hunter Henry,NE,9.0,TE11,120.0,,,,,92.0,106.2,00-0033090,TE,2016,1.0,21,2016,0.5886666666666668,34.704742,0.01,35.0,12.0
103,103,103,104,James White,,,RB40,118.0,,,,,95.0,107.8,00-0031062,RB,2016,1.0,24,2014,0.3843749999999999,35.18996,0.024,130.0,3.6
104,104,104,105,Corey Coleman,,,WR42,132.0,,,,,98.0,109.0,00-0032966,WR,2016,1.0,22,2016,0.877,47.793446,0.019,15.0,17.4
105,105,105,106,Dak Prescott,DAL,6.0,QB13,73.0,,,,,118.0,109.8,00-0033077,QB,2016,1.0,23,2016,0.949375,49.20784,0.004,135.0,3.4
106,106,106,107,Matthew Stafford,LAR,8.0,QB14,98.0,,,,,99.0,113.6,00-0026498,QB,2016,0.7709923664122137,28,2009,1.0,36.753746,0.162,1.0,34.6
107,107,107,108,Thomas Rawls,,,RB41,124.0,,,,,108.0,114.2,00-0031897,RB,2016,0.5,23,2015,-1.0,48.501102,0.004,,0.0
108,108,108,109,Marvin Jones Jr.,,,WR43,137.0,,,,,110.0,117.2,00-0029293,WR,2016,0.9178082191780822,26,2012,0.9093333333333334,80.41838,0.052000000000000005,166.0,2.0
109,109,109,110,Jonathan Stewart,,,RB42,113.0,,,,,122.0,117.6,00-0026153,RB,2016,1.0,29,2008,0.6338461538461538,51.252563,0.024,13.0,18.3
110,110,110,111,Rishard Matthews,,,WR44,121.0,,,,,120.0,119.6,00-0029580,WR,2016,0.8072289156626506,26,2012,0.735625,43.053623,0.032,227.0,0.0
111,111,111,112,Philip Rivers,,,QB15,123.0,,,,,114.0,120.4,00-0022942,QB,2016,1.0,34,2004,0.995625,23.084171,0.145,4.0,25.8
112,112,112,113,Jordan Matthews,,,TE12,136.0,,,,,128.0,120.6,00-0031299,TE,2016,1.0,24,2014,0.8542857142857142,37.267254,0.009000000000000001,42.0,10.8
113,113,113,114,Matt Forte,,,RB43,109.0,,,,,113.0,121.4,00-0026184,RB,2016,0.8731343283582089,30,2008,0.5342857142857144,94.289,0.026000000000000002,44.0,10.5
114,114,114,115,Eric Ebron,,,TE13,154.0,,,,,107.0,121.6,00-0031387,TE,2016,1.0,23,2014,0.8207692307692308,24.91577,0.023,10.0,19.9
115,115,115,116,Darren Sproles,,,RB44,122.0,,,,,126.0,121.6,00-0023564,RB,2016,1.0,33,2005,0.4873333333333333,34.140953,0.028999999999999998,130.0,3.6
116,116,116,117,John Brown,,,WR45,149.0,,,,,121.0,121.8,00-0031051,WR,2016,1.0,26,2014,0.5606666666666666,59.548405,0.005,91.0,5.9
117,117,117,118,Donte Moncrief,,,WR46,103.0,,,,,72.0,84.0,00-0031339,WR,2016,1.0,23,2014,0.7888888888888889,39.81,0.005,90.0,5.9
118,118,118,119,Jack Doyle,,,TE14,133.0,,,,,124.0,127.4,00-0030181,TE,2016,1.0,26,2013,0.6837500000000001,35.077168,0.038,,0.0
119,119,119,120,Stephen Gostkowski,,,K1,96.0,,,,,127.0,127.8,00-0024333,K,2016,0.9291338582677166,32,2006,0.38875,--,0.03,118.0,4.2
120,120,120,121,Justin Tucker,,,K2,100.0,,,,,133.0,128.4,00-0029597,K,2016,1.0,26,2012,-1.0,,0.027000000000000003,,0.0
121,121,121,122,C.J. Prosise,,,RB45,153.0,,,,,116.0,129.4,00-0032393,RB,2016,1.0,22,2016,0.3983333333333334,73.03467,0.005,90.0,5.9
122,122,122,123,Jacquizz Rodgers,,,RB46,146.0,,,,,136.0,131.0,00-0028083,RB,2016,0.9325842696629213,26,2011,0.485,45.959553,0.01,145.0,2.9
123,123,123,124,Ted Ginn Jr.,,,WR47,128.0,,,,,155.0,131.4,00-0025396,WR,2016,1.0,31,2007,0.6212500000000001,36.234497,0.022000000000000002,9.0,20.6
124,124,124,125,Eli Manning,,,QB16,127.0,,,,,131.0,137.2,00-0022803,QB,2016,1.0,35,2004,1.0,30.683998,0.147,1.0,34.6
125,125,125,126,Jason Witten,,,TE15,117.0,,,,,156.0,138.0,00-0022127,TE,2016,1.0,34,2003,0.954375,34.78981,0.039,69.0,7.6
126,126,126,127,Andy Dalton,CAR,11.0,QB17,141.0,,,,,143.0,138.4,00-0027973,QB,2016,1.0,28,2011,0.998125,17.837547,0.12,35.0,12.0
127,127,127,128,Kevin White,,,WR48,145.0,,,,,141.0,138.8,00-0031545,WR,2016,0.25,24,2015,0.8,7.2699995,0.028999999999999998,,0.0
128,128,128,129,Jamaal Charles,,,RB47,161.0,,,,,115.0,140.4,00-0026213,RB,2016,0.8518518518518519,29,2008,0.1333333333333333,50.963333,0.015,73.0,7.3
129,129,129,130,Kenny Britt,,,WR49,111.0,,,,,100.0,106.3,00-0027006,WR,2016,0.975,27,2009,0.8333333333333334,47.56171,0.049,30.0,12.9
130,130,130,131,Mike Wallace,,,WR50,101.0,,,,,106.0,108.3,00-0026901,WR,2016,0.8805970149253731,30,2009,0.7731250000000001,29.531334,0.037000000000000005,84.0,6.4
131,131,131,132,Cooper Kupp,SEA,6.0,WR51,162.0,,,,,139.0,144.4,00-0033908,WR,2016,--,23,2017,-1.0,--,0.006,69.0,7.6
132,132,132,133,Austin Hooper,NE,9.0,TE16,159.0,,,,,150.0,145.0,00-0032392,TE,2016,1.0,21,2016,0.4457142857142857,23.690182,0.006999999999999999,81.0,6.6
133,133,133,134,Rex Burkhead,,,RB48,174.0,,,,,154.0,145.4,00-0030288,RB,2016,1.0,26,2013,0.221875,64.2725,0.019,190.0,1.2
134,134,134,135,Denver Broncos,DST,5.0,DST1,83.0,,,,,,112.0,--,D/ST,2016,--,D/ST,D/ST,-1.0,--,--,,0.0
135,135,135,136,Carson Palmer,,,QB18,142.0,,,,,142.0,149.2,00-0021429,QB,2016,0.9180327868852459,36,2003,0.9646666666666668,32.68342,0.135,1.0,34.6
136,136,136,137,Jeremy Hill,,,RB49,176.0,,,,,138.0,150.2,00-0031301,RB,2016,1.0,23,2014,0.4366666666666666,57.672672,0.006999999999999999,55.0,9.1
137,137,137,138,Corey Davis,,,WR52,140.0,,,,,111.0,117.3,00-0033871,WR,2016,--,21,2017,-1.0,--,0.038,5.0,24.3
138,138,138,139,Zay Jones,ARI,8.0,WR53,125.0,,,,,117.0,128.3,00-0033891,WR,2016,--,21,2017,-1.0,--,0.01,37.0,11.6
139,139,139,140,Samaje Perine,CIN,6.0,RB50,,,,,,119.0,129.8,00-0033526,RB,2016,--,20,2017,-1.0,--,0.005,114.0,4.4
140,140,140,141,Jamaal Williams,,,RB51,,,,,,132.0,135.3,00-0033948,RB,2016,--,21,2017,-1.0,--,0.004,134.0,3.4
141,141,141,142,Alvin Kamara,NO,5.0,RB52,183.0,,,,,214.0,167.4,00-0033906,RB,2016,--,21,2017,-1.0,--,0.006,67.0,7.8
142,142,142,143,Matt Bryant,,,K3,114.0,,,,,149.0,139.8,00-0020578,K,2016,0.8907563025210085,41,2002,-1.0,--,0.02,,0.0
143,143,143,144,O.J. Howard,,,TE17,152.0,,,,,112.0,144.0,00-0033879,TE,2016,--,21,2017,-1.0,--,0.017,19.0,15.8
144,144,144,145,Dan Bailey,,,K4,131.0,,,,,147.0,145.3,00-0028660,K,2016,1.0,28,2011,-1.0,--,0.024,,0.0
145,145,145,146,Giovani Bernard,,,RB53,138.0,,,,,145.0,146.0,00-0030456,RB,2016,0.9104477611940298,24,2013,0.571,33.411224,0.033,37.0,11.6
146,146,146,147,Carson Wentz,,,QB19,135.0,,,,,135.0,146.3,00-0032950,QB,2016,1.0,23,2016,0.993125,19.736092,0.043,2.0,30.2
147,147,147,148,Sterling Shepard,TB,1.0,WR54,170.0,,,,,123.0,146.8,00-0032385,WR,2016,1.0,23,2016,0.948125,32.49,0.01,40.0,11.1
148,148,148,149,Coby Fleener,,,TE18,156.0,,,,,148.0,149.8,00-0029697,TE,2016,1.0,27,2012,0.58125,50.061623,0.046,34.0,12.1
149,149,149,150,Seattle Seahawks,DST,6.0,DST2,79.0,,,,,,109.3,--,D/ST,2016,--,D/ST,D/ST,-1.0,--,--,,0.0
150,150,150,151,Cole Beasley,,,WR55,150.0,,,,,152.0,153.8,00-0029000,WR,2016,1.0,27,2012,0.565,24.957165,0.024,,0.0
151,151,151,152,Latavius Murray,,,RB54,165.0,,,,,130.0,156.8,00-0030513,RB,2016,1.0,26,2013,0.5292857142857144,65.96373,0.03,181.0,1.5
152,152,152,153,Tyler Lockett,TEN,8.0,WR56,167.0,,,,,140.0,160.0,00-0032211,WR,2016,0.9696969696969697,23,2015,0.5633333333333332,60.462475,0.006,69.0,7.6
153,153,153,154,New York Giants,DST,8.0,DST3,171.0,,,,,,160.3,--,D/ST,2016,--,D/ST,D/ST,-1.0,--,--,,0.0
154,154,154,155,Evan Engram,DEN,5.0,TE19,151.0,,,,,146.0,160.3,00-0033881,TE,2016,--,21,2017,-1.0,--,0.016,23.0,14.6
155,155,155,156,Tyrod Taylor,NYJ,11.0,QB20,164.0,,,,,151.0,162.3,00-0028118,QB,2016,1.0,27,2011,0.9706666666666668,44.315,0.091,180.0,1.5
156,156,156,157,Kansas City Chiefs,DST,10.0,DST4,107.0,,,,,,123.0,--,D/ST,2016,--,D/ST,D/ST,-1.0,--,--,,0.0
157,157,157,158,Houston Texans,DST,7.0,DST5,105.0,,,,,,123.3,--,D/ST,2016,--,D/ST,D/ST,-1.0,--,--,,0.0
158,158,158,159,Julius Thomas,,,TE20,160.0,,,,,162.0,163.8,00-0028067,TE,2016,0.9603960396039604,28,2011,0.73,26.626944,0.037000000000000005,129.0,3.7
159,159,159,160,Mason Crosby,,,K5,157.0,,,,,190.0,166.3,00-0025580,K,2016,1.0,31,2007,0.37875,--,0.026000000000000002,193.0,1.1
