Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
11,11,11,12,Melvin Gordon,III,,RB9,14.0,,,11.0,,10.0,11.2,00-0032144,RB,2017,0.6808510638297872,24,2015,0.7075,84.35129,0.019,15.0,17.4,16,0,0.0,0,284,1105.0,8,58,476.0,4,0.0,0,0.0,0,175,885.0,10,50,490.0,4,0.0
12,12,12,13,Julio Jones,,,WR4,8.0,,,14.0,,13.0,12.6,00-0027944,WR,2017,0.9523809523809523,28,2011,0.7550000000000001,115.47463,0.099,6.0,23.2,16,0,0.0,0,1,15.0,0,88,1444.0,3,0.0,0,0.0,0,2,12.0,0,113,1677.0,8,2.0
13,13,13,14,Dalvin Cook,,,RB10,13.0,,,15.0,,15.0,14.2,00-0033893,RB,2017,0.25,22,2017,0.64,70.776665,0.01,41.0,11.0,4,0,0.0,0,74,354.0,2,11,90.0,0,1.0,0,0.0,0,133,615.0,2,40,305.0,2,2.0
14,14,14,15,Christian McCaffrey,SF,11,RB11,16.0,,,13.0,,17.0,14.8,00-0033280,RB,2017,1.0,21,2017,0.700625,33.5265,0.026000000000000002,8.0,21.4,16,0,0.0,0,117,435.0,2,80,651.0,5,1.0,1,50.0,1,219,1098.0,7,107,867.0,6,1.0
15,15,15,16,Michael Thomas,,,WR5,17.0,,,16.0,,14.0,15.8,00-0032765,WR,2017,1.0,24,2016,0.82125,37.89329,0.008,47.0,10.1,16,0,0.0,0,0,0.0,0,104,1245.0,5,0.0,0,0.0,0,0,0.0,0,125,1405.0,9,2.0
16,16,16,17,Keenan Allen,LAC,8,WR6,15.0,,,17.0,,16.0,16.4,00-0030279,WR,2017,0.6891891891891891,25,2013,0.8443750000000001,98.21983,0.07200000000000001,76.0,7.0,16,0,0.0,0,2,9.0,0,102,1393.0,6,0.0,0,0.0,0,9,75.0,0,97,1196.0,6,1.0
17,17,17,18,Davante Adams,LAR,12,WR7,21.0,,,19.0,,18.0,18.8,00-0031381,WR,2017,1.0,24,2014,0.8528571428571429,62.382256,0.087,53.0,9.3,14,0,0.0,0,0,0.0,0,74,885.0,10,0.0,0,0.0,0,0,0.0,0,111,1386.0,13,0.0
18,18,18,19,Devonta Freeman,,,RB12,20.0,,,18.0,,20.0,19.2,00-0031285,RB,2017,1.0,25,2014,0.6171428571428571,73.60615,0.049,103.0,5.1,14,0,0.0,0,196,865.0,7,36,317.0,1,1.0,0,0.0,0,14,68.0,0,5,23.0,0,0.0
19,19,19,20,A.J. Green ,,,WR8,19.0,,,21.0,,19.0,20.2,00-0027942,WR,2017,0.9914529914529915,29,2011,0.87125,73.192665,0.105,4.0,25.8,16,0,0.0,0,0,0.0,0,75,1078.0,8,2.0,0,0.0,0,0,0.0,0,46,694.0,6,1.0
20,20,20,21,Rob Gronkowski,,,TE1,18.0,,,20.0,,23.0,20.6,00-0027656,TE,2017,0.7175572519083969,28,2010,0.9028571428571428,64.1341,0.075,42.0,10.8,13,0,0.0,0,0,0.0,0,69,1084.0,8,0.0,0,0.0,0,0,0.0,0,47,682.0,3,1.0
21,21,21,22,Mike Evans,TB,5,WR9,23.0,,,24.0,,21.0,23.4,00-0031408,WR,2017,0.9848484848484849,24,2014,0.866,37.346855,0.09300000000000001,7.0,22.2,15,0,0.0,0,0,0.0,0,71,1001.0,5,0.0,0,0.0,0,0,0.0,0,86,1524.0,8,1.0
22,22,22,23,Jordan Howard,,,RB13,26.0,,,23.0,,24.0,23.6,00-0032780,RB,2017,1.0,22,2016,0.588125,81.76963,0.004,150.0,2.7,16,0,0.0,0,276,1122.0,9,23,125.0,0,1.0,0,0.0,0,250,935.0,9,20,145.0,0,1.0
23,23,23,24,Joe Mixon,HOU,10,RB14,27.0,,,22.0,,25.0,23.8,00-0033897,RB,2017,1.0,21,2017,0.4735714285714286,28.657639,0.008,48.0,9.9,14,0,0.0,0,178,626.0,4,30,287.0,0,2.0,0,0.0,0,237,1168.0,8,43,296.0,1,0.0
24,24,24,25,Travis Kelce,KC,12,TE2,25.0,,,26.0,,26.0,26.6,00-0030506,TE,2017,0.9295774647887324,27,2013,0.916,57.970947,0.06,63.0,8.2,15,0,0.0,0,2,7.0,0,83,1038.0,8,1.0,0,0.0,0,0,0.0,0,103,1336.0,10,1.0
25,25,25,26,LeSean McCoy,,,RB15,24.0,,,28.0,,22.0,26.8,00-0027029,RB,2017,1.0,29,2009,0.6799999999999999,64.946,0.055999999999999994,53.0,9.3,16,0,0.0,0,287,1138.0,6,59,448.0,2,1.0,0,0.0,0,161,514.0,3,34,238.0,0,0.0
26,26,26,27,Tyreek Hill,MIA,11,WR10,31.0,,,25.0,,28.0,26.8,00-0033040,WR,2017,1.0,23,2016,0.8106666666666665,72.37553,0.004,165.0,2.1,15,0,0.0,0,17,59.0,0,75,1183.0,7,1.0,0,0.0,0,22,151.0,1,87,1479.0,12,0.0
27,27,27,28,Aaron Rodgers,PIT,7,QB1,22.0,,,30.0,,34.0,28.2,00-0023459,QB,2017,0.9403973509933775,33,2005,0.8671428571428572,70.49276,0.18899999999999997,24.0,14.4,7,154,1675.0,16,24,126.0,0,0,0.0,0,7.0,372,4442.0,25,43,269.0,2,0,0.0,0,5.0
28,28,28,29,T.Y. Hilton,,,WR11,29.0,,,27.0,,30.0,28.2,00-0029608,WR,2017,1.0,27,2012,0.8999999999999999,98.706,0.091,92.0,5.8,16,0,0.0,0,0,0.0,0,57,966.0,4,1.0,0,0.0,0,0,0.0,0,76,1270.0,6,0.0
29,29,29,30,Stefon Diggs,NE,11,WR12,32.0,,,32.0,,31.0,29.8,00-0031588,WR,2017,1.0,23,2015,0.8049999999999999,91.00417,0.081,146.0,2.9,14,0,0.0,0,8,13.0,0,64,849.0,8,0.0,0,0.0,0,10,62.0,0,102,1021.0,9,0.0
30,30,30,31,Adam Thielen,CAR,4,WR13,34.0,,,29.0,,27.0,31.8,00-0030035,WR,2017,1.0,27,2013,0.925625,61.80296,0.028999999999999998,,0.0,16,0,0.0,0,1,11.0,0,91,1276.0,4,2.0,0,0.0,0,5,30.0,0,113,1373.0,9,1.0
31,31,31,32,Larry Fitzgerald,,,WR14,30.0,,,37.0,,32.0,33.6,00-0022921,WR,2017,1.0,34,2004,0.95375,82.10987,0.066,3.0,27.6,16,1,21.0,0,0,0.0,0,109,1156.0,6,1.0,1,32.0,1,0,0.0,0,69,734.0,6,0.0
32,32,32,33,Kenyan Drake,,,RB16,35.0,,,31.0,,35.0,34.4,00-0033118,RB,2017,1.0,23,2016,0.451875,86.19478,0.005,73.0,7.3,14,0,0.0,0,133,644.0,3,32,239.0,1,2.0,0,0.0,0,120,535.0,4,53,477.0,5,1.0
33,33,33,34,Amari Cooper,,,WR15,36.0,,,35.0,,37.0,34.6,00-0031544,WR,2017,1.0,23,2015,0.8099999999999999,125.64132,0.04,4.0,25.8,14,0,0.0,0,1,4.0,0,48,680.0,7,0.0,0,0.0,0,2,20.0,0,75,1005.0,7,2.0
34,34,34,35,Zach Ertz,WAS,4,TE3,33.0,,,34.0,,33.0,35.0,00-0030061,TE,2017,1.0,26,2013,0.795,43.10417,0.055,35.0,12.0,14,0,0.0,0,0,0.0,0,74,824.0,8,1.0,0,0.0,0,0,0.0,0,116,1163.0,8,0.0
35,35,35,36,Doug Baldwin,,,WR16,39.0,,,39.0,,29.0,37.0,00-0028434,WR,2017,1.0,28,2011,-1.0,56.627956,0.07400000000000001,,0.0,16,0,0.0,0,2,-8.0,0,75,991.0,8,0.0,0,0.0,0,0,0.0,0,50,618.0,5,0.0
36,36,36,37,Alex Collins ,,,RB17,43.0,,,33.0,,41.0,37.4,00-0032426,RB,2017,1.0,23,2016,0.3713333333333333,50.702858,0.004,171.0,1.9,15,0,0.0,0,212,973.0,6,23,187.0,0,2.0,0,0.0,0,114,411.0,7,15,105.0,1,3.0
37,37,37,38,Jarvis Landry,,,WR17,40.0,,,36.0,,45.0,38.4,00-0031382,WR,2017,1.0,24,2014,0.894375,30.148,0.09,63.0,8.2,16,0,0.0,0,1,-7.0,0,112,987.0,9,2.0,1,63.0,0,3,60.0,1,81,976.0,4,1.0
38,38,38,39,Royce Freeman,,,RB18,37.0,,,38.0,,56.0,41.2,00-0034838,RB,2017,--,21,2018,-1.0,--,0.006,71.0,7.5,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,130,521.0,5,14,72.0,0,1.0
39,39,39,40,Derrick Henry,BAL,10,RB19,42.0,,,41.0,,36.0,42.2,00-0032764,RB,2017,1.0,23,2016,0.400625,42.993168,0.009000000000000001,45.0,10.4,16,0,0.0,0,176,744.0,5,11,136.0,1,0.0,2,14.0,0,215,1059.0,12,15,99.0,0,1.0
40,40,40,41,Demaryius Thomas ,,,WR18,38.0,,,45.0,,38.0,43.2,00-0027874,WR,2017,1.0,29,2010,0.7875,42.747623,0.098,22.0,14.9,16,0,0.0,0,0,0.0,0,83,949.0,5,1.0,0,0.0,0,0,0.0,0,59,677.0,5,0.0
41,41,41,42,Jay Ajayi ,,,RB20,44.0,,,40.0,,46.0,43.8,00-0031590,RB,2017,1.0,24,2015,0.5357142857142858,11.231923,0.004,149.0,2.7,14,0,0.0,0,208,873.0,1,24,158.0,1,2.0,0,0.0,0,45,184.0,3,5,20.0,0,1.0
42,42,42,43,JuJu Smith-Schuster,KC,12,WR19,51.0,,,42.0,,47.0,44.0,00-0033857,WR,2017,0.9375,20,2017,0.7471428571428571,92.78744,0.006,62.0,8.3,13,0,0.0,0,0,0.0,0,58,917.0,7,0.0,0,0.0,0,1,13.0,0,111,1426.0,7,1.0
43,43,43,44,Brandin Cooks,NO,6,WR20,47.0,,,44.0,,39.0,45.4,00-0031236,WR,2017,0.8166666666666667,23,2014,0.92875,67.70599,0.091,20.0,15.5,16,0,0.0,0,9,40.0,0,65,1082.0,7,0.0,0,0.0,0,10,68.0,1,80,1204.0,5,0.0
44,44,44,45,Golden Tate,,,WR21,45.0,,,43.0,,42.0,45.8,00-0027891,WR,2017,1.0,29,2010,0.76125,56.35296,0.047,60.0,8.5,16,0,0.0,0,5,22.0,0,92,1003.0,5,1.0,0,0.0,0,4,34.0,0,74,795.0,4,0.0
45,45,45,46,Lamar Miller,,,RB21,57.0,,,46.0,,49.0,46.8,00-0029615,RB,2017,1.0,26,2012,0.67375,41.86729,0.042,97.0,5.5,16,0,0.0,0,238,888.0,3,36,327.0,3,0.0,0,0.0,0,210,973.0,5,25,163.0,1,1.0
46,46,46,47,Tom Brady,,,QB2,28.0,,,57.0,,59.0,47.8,00-0019596,QB,2017,1.0,40,2000,0.979375,55.88709,0.132,199.0,0.9,16,385,4577.0,32,25,28.0,0,0,0.0,0,11.0,375,4355.0,29,23,35.0,2,1,6.0,0,13.0
47,47,47,48,Deshaun Watson,CLE,11,QB3,50.0,,,47.0,,54.0,47.8,00-0033537,QB,2017,0.4375,21,2017,0.9342857142857144,115.88912,0.021,12.0,18.8,7,126,1699.0,19,36,269.0,2,0,0.0,0,9.0,345,4165.0,26,99,551.0,5,0,0.0,0,12.0
48,48,48,49,Allen Robinson,II,,WR22,41.0,,,51.0,,44.0,48.0,00-0031428,WR,2017,0.5666666666666667,24,2014,0.05,,0.079,61.0,8.4,1,0,0.0,0,0,0.0,0,1,17.0,0,0.0,0,0.0,0,1,9.0,0,55,754.0,4,1.0
49,49,49,50,Josh Gordon ,,,WR23,49.0,,,52.0,,43.0,48.6,00-0029664,WR,2017,0.7538461538461538,26,2012,-1.0,24.339998,0.004,1.0,34.6,5,0,0.0,0,0,0.0,0,18,335.0,1,0.0,0,0.0,0,0,0.0,0,41,737.0,4,0.0
50,50,50,51,Mark Ingram II ,,,RB22,60.0,,,48.0,,48.0,52.2,00-0027966,RB,2017,0.7345132743362832,27,2011,0.550625,75.238,0.027999999999999997,28.0,13.4,16,0,0.0,0,230,1124.0,12,58,416.0,0,3.0,0,0.0,0,138,645.0,6,21,170.0,1,1.0
51,51,51,52,Russell Wilson,NYG,9,QB4,53.0,,,56.0,,53.0,54.4,00-0029263,QB,2017,1.0,28,2012,0.995,63.754486,0.153,75.0,7.1,16,339,3983.0,34,95,586.0,3,0,0.0,0,14.0,280,3448.0,35,67,376.0,0,1,-11.0,0,9.0
52,52,52,53,Jimmy Graham,,,TE4,56.0,,,50.0,,61.0,54.4,00-0027696,TE,2017,0.8992248062015504,30,2010,0.68875,47.443832,0.055999999999999994,95.0,5.6,16,0,0.0,0,0,0.0,0,57,520.0,10,0.0,0,0.0,0,0,0.0,0,55,636.0,2,0.0
53,53,53,54,Marvin Jones Jr. ,,,WR24,55.0,,,53.0,,51.0,54.8,00-0029293,WR,2017,0.9325842696629213,27,2012,0.9625,62.178295,0.052000000000000005,166.0,2.0,16,0,0.0,0,0,0.0,0,61,1101.0,9,0.0,0,0.0,0,0,0.0,0,35,508.0,5,0.0
54,54,54,55,Chris Hogan,,,WR25,54.0,,,54.0,,73.0,55.0,00-0028237,WR,2017,1.0,29,2011,0.9055555555555556,68.95444,0.026000000000000002,,0.0,9,0,0.0,0,3,17.0,0,34,439.0,5,0.0,0,0.0,0,0,0.0,0,35,532.0,3,0.0
55,55,55,56,Greg Olsen,,,TE5,48.0,,,58.0,,62.0,56.4,00-0025418,TE,2017,0.9470198675496688,32,2007,0.7785714285714285,85.548096,0.048,31.0,12.7,7,0,0.0,0,0,0.0,0,17,191.0,1,0.0,0,0.0,0,0,0.0,0,27,291.0,4,0.0
56,56,56,57,Dion Lewis,,,RB23,58.0,,,49.0,,52.0,56.4,00-0028087,RB,2017,0.7733333333333333,26,2011,0.3575,77.85983,0.027999999999999997,149.0,2.7,16,0,0.0,0,180,896.0,6,32,214.0,3,0.0,0,0.0,0,155,517.0,1,59,400.0,1,1.0
57,57,57,58,Marshawn Lynch ,,,RB24,52.0,,,68.0,,76.0,61.4,00-0025399,RB,2017,0.9924242424242424,31,2007,0.4946666666666666,39.45981,0.025,12.0,18.8,15,0,0.0,0,207,891.0,7,20,151.0,0,1.0,0,0.0,0,90,376.0,3,15,84.0,0,0.0
58,58,58,59,Cam Newton ,,,QB5,46.0,,,65.0,,75.0,63.4,00-0027939,QB,2017,1.0,28,2011,0.985,77.29584,0.145,1.0,34.6,16,291,3302.0,22,139,754.0,6,0,0.0,0,17.0,320,3395.0,24,101,488.0,4,0,0.0,0,13.0
59,59,59,60,Corey Davis,,,WR26,70.0,,,60.0,,65.0,63.6,00-0033871,WR,2017,1.0,22,2017,0.730909090909091,20.57,0.038,5.0,24.3,11,0,0.0,0,0,0.0,0,34,375.0,0,0.0,0,0.0,0,6,55.0,0,65,891.0,4,0.0
60,60,60,61,Carlos Hyde,,,RB25,75.0,,,59.0,,69.0,65.8,00-0031045,RB,2017,0.7741935483870968,26,2014,0.715,39.23983,0.028999999999999998,57.0,8.9,16,0,0.0,0,240,938.0,8,59,350.0,0,1.0,0,0.0,0,172,571.0,5,10,33.0,0,1.0
61,61,61,62,Michael Crabtree,,,WR27,61.0,,,71.0,,58.0,66.4,00-0026986,WR,2017,0.9925373134328358,29,2009,0.6664285714285715,79.61808,0.04,10.0,19.9,13,0,0.0,0,0,0.0,0,58,618.0,8,0.0,0,0.0,0,0,0.0,0,54,607.0,3,0.0
62,62,62,63,Evan Engram,DEN,10,TE6,62.0,,,75.0,,60.0,66.4,00-0033881,TE,2017,1.0,22,2017,0.7726666666666666,50.289238,0.016,23.0,14.6,15,0,0.0,0,1,14.0,0,64,722.0,6,0.0,0,0.0,0,3,36.0,0,45,577.0,3,0.0
63,63,63,64,Marquise Goodwin,,,WR28,67.0,,,55.0,,95.0,67.0,00-0030068,WR,2017,0.9166666666666666,26,2013,0.708125,39.5585,0.038,78.0,6.9,16,0,0.0,0,4,44.0,0,56,962.0,2,0.0,0,0.0,0,4,9.0,0,23,395.0,4,0.0
64,64,64,65,Emmanuel Sanders ,,,WR29,63.0,,,67.0,,71.0,67.0,00-0027685,WR,2017,1.0,30,2010,0.7491666666666666,52.651745,0.071,82.0,6.5,12,0,0.0,0,0,0.0,0,47,555.0,2,0.0,1,28.0,1,4,53.0,1,71,868.0,4,0.0
65,65,65,66,Rex Burkhead,,,RB26,66.0,,,66.0,,81.0,69.8,00-0030288,RB,2017,1.0,27,2013,0.279,46.012886,0.018000000000000002,190.0,1.2,10,0,0.0,0,64,264.0,5,30,254.0,3,0.0,0,0.0,0,57,186.0,0,14,131.0,1,1.0
66,66,66,67,Drew Brees,,,QB6,69.0,,,76.0,,79.0,71.4,00-0020531,QB,2017,1.0,38,2001,0.99625,12.941386,0.141,32.0,12.5,16,386,4334.0,23,33,12.0,2,0,0.0,0,8.0,364,3992.0,32,31,22.0,4,1,1.0,0,6.0
67,67,67,68,Tevin Coleman,,,RB27,72.0,,,69.0,,64.0,71.8,00-0032058,RB,2017,1.0,24,2015,0.4433333333333333,28.860287,0.006,73.0,7.3,15,0,0.0,0,156,628.0,5,27,299.0,3,0.0,0,0.0,0,167,800.0,4,32,276.0,5,0.0
68,68,68,69,Julian Edelman ,,,WR30,91.0,,,70.0,,66.0,72.2,00-0027150,WR,2017,0.8027210884353742,31,2009,-1.0,--,0.033,232.0,0.0,--,--,--,--,--,--,--,--,--,--,--,2,43.0,0,9,107.0,0,74,850.0,6,0.0
69,69,69,70,Delanie Walker ,,,TE7,59.0,,,78.0,,72.0,73.0,00-0024389,TE,2017,1.0,33,2006,0.72625,18.595291,0.048,175.0,1.7,16,0,0.0,0,2,-2.0,1,74,807.0,3,2.0,0,0.0,0,0,0.0,0,4,52.0,0,0.0
70,70,70,71,Alshon Jeffery,,,WR31,88.0,,,83.0,,50.0,73.4,00-0029137,WR,2017,0.8383838383838383,27,2012,0.811875,50.642628,0.078,45.0,10.4,16,0,0.0,0,0,0.0,0,57,789.0,9,0.0,0,0.0,0,0,0.0,0,65,843.0,6,0.0
71,71,71,72,Kyle Rudolph,,,TE8,71.0,,,81.0,,78.0,77.2,00-0027981,TE,2017,0.8771929824561403,27,2011,0.82375,32.4785,0.055,43.0,10.6,16,0,0.0,0,0,0.0,0,57,532.0,8,0.0,0,0.0,0,0,0.0,0,64,634.0,4,0.0
72,72,72,73,Kerryon Johnson ,,,RB28,107.0,,,72.0,,86.0,77.8,00-0034349,RB,2017,--,20,2018,-1.0,--,--,43.0,10.6,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,118,641.0,3,32,213.0,1,1.0
73,73,73,74,Jamaal Williams,,,RB29,98.0,,,79.0,,92.0,78.0,00-0033948,RB,2017,1.0,22,2017,0.42375,108.51383,0.004,134.0,3.4,14,0,0.0,0,153,556.0,4,25,262.0,2,0.0,0,0.0,0,121,464.0,3,27,210.0,0,0.0
74,74,74,75,William Fuller V ,,,WR32,92.0,,,63.0,,80.0,79.8,00-0033127,WR,2017,1.0,23,2016,0.786,85.69067,0.016,21.0,15.2,10,0,0.0,0,2,9.0,0,28,423.0,7,0.0,0,0.0,0,0,0.0,0,32,503.0,4,0.0
75,75,75,76,Sammy Watkins,,,WR33,74.0,,,94.0,,63.0,80.2,00-0031325,WR,2017,0.8939393939393939,24,2014,0.8039999999999999,53.409813,0.09,4.0,25.8,15,0,0.0,0,0,0.0,0,39,593.0,8,0.0,0,0.0,0,5,52.0,0,40,519.0,3,0.0
76,76,76,77,Carson Wentz ,,,QB7,73.0,,,88.0,,77.0,81.2,00-0032950,QB,2017,0.90625,24,2016,0.9446153846153844,27.27936,0.043,2.0,30.2,13,265,3296.0,33,64,299.0,0,0,0.0,0,9.0,279,3074.0,21,34,93.0,0,1,4.0,0,13.0
77,77,77,78,Robert Woods,PIT,7,WR34,64.0,,,93.0,,68.0,82.4,00-0030431,WR,2017,0.8148148148148148,25,2013,0.8208333333333333,91.257195,0.040999999999999995,41.0,11.0,12,0,0.0,0,2,12.0,0,56,781.0,5,1.0,0,0.0,0,19,157.0,1,86,1219.0,6,0.0
78,78,78,79,Sony Michel,,,RB30,125.0,,,77.0,,57.0,82.8,00-0034845,RB,2017,--,22,2018,-1.0,--,0.013999999999999999,31.0,12.7,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,209,931.0,6,7,50.0,0,1.0
79,79,79,80,Devin Funchess,,,WR35,77.0,,,92.0,,67.0,82.8,00-0032055,WR,2017,0.9795918367346939,23,2015,0.79,55.8065,0.01,41.0,11.0,16,0,0.0,0,0,0.0,0,63,840.0,8,0.0,0,0.0,0,0,0.0,0,44,549.0,4,0.0
80,80,80,81,Rashaad Penny,,,RB31,112.0,,,90.0,,40.0,83.6,00-0034750,RB,2017,--,21,2018,-1.0,--,0.015,27.0,13.6,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,85,419.0,2,9,75.0,0,0.0
81,81,81,82,Jordan Reed ,,,TE9,79.0,,,64.0,,99.0,84.6,00-0030472,TE,2017,0.7777777777777778,27,2013,0.5966666666666668,74.621666,0.06,85.0,6.3,6,0,0.0,0,0,0.0,0,27,211.0,2,0.0,0,0.0,0,0,0.0,0,54,558.0,2,1.0
82,82,82,83,Cooper Kupp,SEA,7,WR36,89.0,,,91.0,,85.0,85.0,00-0033908,WR,2017,1.0,24,2017,0.7593333333333333,36.030666,0.006,69.0,7.6,15,0,0.0,0,0,0.0,0,62,869.0,5,1.0,0,0.0,0,4,25.0,0,40,566.0,6,0.0
83,83,83,84,Trey Burton ,,,TE10,111.0,,,82.0,,90.0,85.6,00-0030710,TE,2017,1.0,25,2014,0.2806666666666667,44.400913,0.045,,0.0,12,0,0.0,0,0,0.0,0,23,248.0,5,0.0,0,0.0,0,1,2.0,0,54,569.0,6,1.0
84,84,84,85,Tarik Cohen,,,RB32,105.0,,,84.0,,70.0,85.6,00-0033556,RB,2017,1.0,22,2017,0.359375,39.548157,--,119.0,4.2,16,1,21.0,1,87,370.0,2,53,353.0,1,1.0,1,1.0,1,99,444.0,3,71,725.0,5,3.0
85,85,85,86,Duke Johnson Jr.,,,RB33,76.0,,,80.0,,88.0,86.6,00-0032257,RB,2017,1.0,23,2015,0.5268750000000001,33.10329,0.028999999999999998,77.0,6.9,16,0,0.0,0,82,348.0,4,74,693.0,3,2.0,0,0.0,0,40,201.0,0,47,429.0,3,0.0
86,86,86,87,Kirk Cousins,ATL,8,QB8,87.0,,,97.0,,93.0,88.0,00-0029604,QB,2017,1.0,29,2012,0.995625,57.35818,0.158,102.0,5.1,16,347,4093.0,27,49,179.0,4,0,0.0,0,18.0,425,4298.0,30,44,123.0,1,1,-1.0,0,17.0
87,87,87,88,Jamison Crowder,,,WR37,102.0,,,74.0,,84.0,88.4,00-0031941,WR,2017,1.0,24,2015,0.7133333333333333,52.12981,0.005,105.0,5.0,15,0,0.0,0,7,34.0,0,66,789.0,3,0.0,0,0.0,0,4,30.0,0,29,388.0,2,0.0
88,88,88,89,Robbie Chosen,SF,11,WR38,83.0,,,89.0,,98.0,89.8,00-0032688,WR,2017,1.0,24,2016,0.7831250000000001,67.37066,0.003,,0.0,16,0,0.0,0,3,9.0,0,63,941.0,7,0.0,0,0.0,0,2,-8.0,0,50,752.0,6,2.0
89,89,89,90,Chris Carson,,,RB34,82.0,,,62.0,,148.0,90.4,00-0033594,RB,2017,0.25,22,2017,0.5549999999999999,9.395833,0.004,249.0,0.0,4,0,0.0,0,49,208.0,0,7,59.0,1,0.0,0,0.0,0,247,1151.0,9,20,163.0,0,2.0
