Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
25,25,25,26,Mark Andrews,BAL,10,TE2,26.0,23.0,,24.5,00-0034753,TE,2021,0.9538461538461539,25,2018,0.7558823529411764,99.9661,0.077,86.0,6.2,17,0,0.0,0,1,0.0,0,107,1361.0,9,0.0,0,0.0,0,3,8.0,0,73,847.0,5,0.0
26,26,26,27,Ezekiel Elliott,,,RB15,28.0,27.0,,27.5,00-0033045,RB,2021,0.9278350515463918,26,2016,0.6576470588235294,43.1087,0.08,4.0,25.8,17,1,4.0,0,237,1002.0,10,47,287.0,2,1.0,0,0.0,0,231,876.0,12,17,92.0,0,0.0
27,27,27,28,James Conner,ARI,13,RB16,29.0,29.0,,29.0,00-0033553,RB,2021,0.8414634146341463,26,2017,0.5800000000000001,108.12314,0.034,105.0,5.0,15,0,0.0,0,202,752.0,15,37,375.0,3,0.0,0,0.0,0,183,782.0,7,46,300.0,1,1.0
28,28,28,29,Michael Pittman Jr.,IND,14,WR10,27.0,33.0,,30.0,00-0036252,WR,2021,0.9090909090909091,23,2020,0.8752941176470589,55.78617,0.011000000000000001,34.0,12.1,17,0,0.0,0,5,44.0,0,88,1082.0,6,0.0,0,0.0,0,3,30.0,0,99,925.0,4,1.0
29,29,29,30,A.J. Brown,PHI,7,WR11,32.0,28.0,,30.0,00-0035676,WR,2021,0.88,24,2019,0.6961538461538463,108.69641,0.12,51.0,9.6,13,0,0.0,0,2,10.0,0,63,869.0,5,0.0,0,0.0,0,0,0.0,0,88,1496.0,11,2.0
30,30,30,31,Keenan Allen,LAC,8,WR12,31.0,30.0,,30.5,00-0030279,WR,2021,0.8129496402877698,29,2013,0.8675,21.311832,0.10099999999999999,76.0,7.0,16,0,0.0,0,0,0.0,0,106,1138.0,6,0.0,0,0.0,0,1,8.0,0,66,752.0,4,1.0
31,31,31,32,Tee Higgins,CIN,10,WR13,30.0,34.0,,32.0,00-0036410,WR,2021,0.9090909090909091,22,2020,0.7585714285714286,110.215004,0.011000000000000001,33.0,12.3,14,0,0.0,0,0,0.0,0,74,1091.0,6,1.0,0,0.0,0,0,0.0,0,74,1029.0,7,0.0
32,32,32,33,Kyle Pitts Sr.,ATL,14,TE3,33.0,31.0,,32.0,00-0036970,TE,2021,1.0,20,2021,0.7352941176470589,42.7136,0.045,4.0,25.8,17,0,0.0,0,0,0.0,0,68,1026.0,1,0.0,0,0.0,0,0,0.0,0,28,356.0,2,0.0
33,33,33,34,Patrick Mahomes II,KC,8,QB2,34.0,32.0,,33.0,00-0033873,QB,2021,0.9629629629629629,25,2017,0.9741176470588234,75.65484,0.22699999999999998,10.0,19.9,17,436,4839.0,37,66,381.0,2,0,0.0,0,17.0,435,5250.0,41,61,358.0,4,1,6.0,0,12.0
34,34,34,35,Justin Herbert,LAC,8,QB3,36.0,36.0,,36.0,00-0036355,QB,2021,1.0,23,2020,0.9958823529411764,77.198524,0.034,6.0,23.2,17,443,5014.0,38,63,302.0,3,0,0.0,0,15.0,477,4739.0,25,54,147.0,0,2,-10.0,0,13.0
