;Unnamed: 0;Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age
115;115;116;Trey Benson;ARI;11;RB40;131.0;109;112.0;117.3;00-0039921;RB;2023;--;21
116;116;117;Keon Coleman;BUF;12;WR48;142.0;98;115.0;118.3;00-0039901;WR;2023;--;20
117;117;118;Jameson Williams;DET;5;WR49;141.0;111;103.0;118.3;00-0037240;WR;2023;0.5294117647058824;22
118;118;119;Blake Corum;LAR;6;RB41;144.0;115;107.0;122.0;00-0039738;RB;2023;--;22
119;119;120;Harrison Butker;KC;6;K3;86.0;133;157.0;125.3;00-0033303;K;2023;0.9557522123893806;28
120;120;121;Trevor Lawrence;JAC;12;QB16;130.0;127;120.0;125.7;00-0036971;QB;2023;0.9803921568627451;23
121;121;122;San Francisco 49ers;DST;9;DST1;70.0;149;163.0;127.3;--;D/ST;2023;--;D/ST
122;122;123;Dalton Schultz;HOU;14;TE13;128.0;118;137.0;127.7;00-0034383;TE;2023;0.9595959595959596;27
123;123;124;New York Jets;DST;12;DST2;79.0;159;158.0;132.0;--;D/ST;2023;--;D/ST
124;124;125;Justin Herbert;LAC;5;QB17;146.0;123;129.0;132.7;00-0036355;QB;2023;0.9402985074626866;25
125;125;126;Khalil Shakir;BUF;12;WR50;151.0;126;122.0;133.0;00-0037261;WR;2023;0.9411764705882353;23
126;126;127;T.J. Hockenson;MIN;6;TE14;158.0;119;131.0;136.0;00-0035229;TE;2023;0.8674698795180723;26
127;127;128;Chuba Hubbard;CAR;11;RB42;171.0;130;108.0;136.3;00-0036555;RB;2023;0.9607843137254902;24
128;128;129;J.K. Dobbins;DEN;14;RB43;169.0;131;114.0;138.0;00-0036158;RB;2023;0.3582089552238806;24
129;129;130;Pat Freiermuth;PIT;9;TE15;156.0;124;134.0;138.0;00-0036894;TE;2023;0.8627450980392157;24
130;130;131;Rico Dowdle;CAR;11;RB44;159.0;139;118.0;138.7;00-0036139;RB;2023;0.5522388059701493;25
131;131;132;Baltimore Ravens;DST;14;DST3;75.0;193;151.0;139.7;--;D/ST;2023;--;D/ST
132;132;133;Curtis Samuel;BUF;12;WR51;172.0;120;127.0;139.7;00-0033282;WR;2023;0.8260869565217391;27
133;133;134;Aaron Rodgers;PIT;9;QB18;143.0;143;135.0;140.3;00-0023459;QB;2023;0.896;39
134;134;135;Dallas Cowboys;DST;7;DST4;83.0;195;145.0;141.0;--;D/ST;2023;--;D/ST
135;135;136;Romeo Doubs;GB;10;WR52;182.0;121;121.0;141.3;00-0037816;WR;2023;0.8823529411764706;23
136;136;137;Kirk Cousins;ATL;12;QB19;155.0;145;130.0;143.3;00-0029604;QB;2023;0.949748743718593;35
137;137;138;Tyler Lockett;TEN;5;WR53;163.0;122;152.0;145.7;00-0032211;WR;2023;0.9797297297297297;30
138;138;139;Cole Kmet;CHI;7;TE16;173.0;129;140.0;147.3;00-0036290;TE;2023;1.0;24
139;139;140;Jake Elliott;PHI;5;K4;106.0;153;186.0;148.3;00-0033787;K;2023;0.9912280701754386;28
140;140;141;Zach Charbonnet;SEA;10;RB45;191.0;128;128.0;149.0;00-0039165;RB;2023;0.9411764705882353;22
141;141;142;Joshua Palmer;BUF;12;WR54;189.0;138;124.0;150.3;00-0036988;WR;2023;0.8431372549019608;23
142;142;143;Ka'imi Fairbairn;HOU;14;K5;127.0;155;172.0;151.3;00-0032726;K;2023;0.8091603053435115;29
143;143;144;Jaylen Wright;MIA;6;RB46;174.0;148;132.0;151.3;00-0039874;RB;2023;--;20
144;144;145;Jakobi Meyers;LV;10;WR55;179.0;137;138.0;151.3;00-0034960;WR;2023;0.9404761904761905;26
145;145;146;Matthew Stafford;LAR;6;QB20;164.0;158;141.0;154.3;00-0026498;QB;2023;0.8089430894308943;35
146;146;147;Ty Chandler;MIN;6;RB47;195.0;146;125.0;155.3;00-0037276;RB;2023;0.5882352941176471;25
147;147;148;Jerry Jeudy;CLE;10;WR56;190.0;141;136.0;155.7;00-0036407;WR;2023;0.8529411764705882;24
148;148;149;Cleveland Browns;DST;10;DST5;91.0;201;176.0;156.0;--;D/ST;2023;--;D/ST
149;149;150;Jake Moody;SF;9;K6;119.0;154;197.0;156.7;00-0038562;K;2023;1.0;23
150;150;151;Jaleel McLaughlin;DEN;14;RB48;178.0;168;126.0;157.3;00-0038794;RB;2023;1.0;22
151;151;152;Baker Mayfield;TB;11;QB21;147.0;171;155.0;157.7;00-0034855;QB;2023;0.9494949494949495;28
152;152;153;Dontayvion Wicks;GB;10;WR57;157.0;162;154.0;157.7;00-0038393;WR;2023;0.8823529411764706;22
153;153;154;MarShawn Lloyd;GB;10;RB49;166.0;164;146.0;158.7;00-0039811;RB;2023;--;22
154;154;155;Ray Davis;BUF;12;RB50;152.0;176;150.0;159.3;00-0039875;RB;2023;--;23
155;155;156;Brandin Cooks;NO;12;WR58;162.0;152;164.0;159.3;00-0031236;WR;2023;0.8742138364779874;29
156;156;157;Antonio Gibson;NE;14;RB51;170.0;167;144.0;160.3;00-0036328;RB;2023;0.9104477611940298;25
157;157;158;Tyler Allgeier;ATL;12;RB52;197.0;150;139.0;162.0;00-0037263;RB;2023;0.9705882352941176;23
158;158;159;Taysom Hill;N;12 O;TE17;181.0;161;147.0;163.0;00-0033357;TE;2023;0.9565217391304348;33
159;159;160;Adam Thielen;CAR;11;WR59;161.0;172;156.0;163.0;00-0030035;WR;2023;0.9393939393939394;33
160;160;161;Mike Williams;;;WR60;202.0;140;148.0;163.3;00-0033536;WR;2023;0.8173913043478261;28
161;161;162;Rashid Shaheed;N;12 O;WR61;177.0;144;169.0;163.3;00-0037545;WR;2023;0.9310344827586207;25
162;162;163;Adonai Mitchell;IND;14;WR62;200.0;125;170.0;165.0;00-0039890;WR;2023;--;20
163;163;164;Jason Sanders;MIA;6;K7;115.0;177;204.0;165.3;00-0034794;K;2023;1.0;27
164;164;165;Evan McPherson;CIN;12;K8;134.0;135;227.0;165.3;00-0036854;K;2023;0.9803921568627451;24
165;165;166;Younghoe Koo;ATL;12;K9;153.0;136;207.0;165.3;00-0033702;K;2023;0.9873417721518988;29
166;166;167;Gabe Davis ;;;WR63;196.0;151;153.0;166.7;00-0036196;WR;2023;0.9701492537313433;24
167;167;168;Pittsburgh Steelers;DST;9;DST6;113.0;200;188.0;167.0;--;D/ST;2023;--;D/ST
168;168;169;Kansas City Chiefs;DST;6;DST7;100.0;197;205.0;167.3;--;D/ST;2023;--;D/ST
169;169;170;Xavier Legette;CAR;11;WR64;175.0;142;187.0;168.0;00-0039342;WR;2023;--;22
170;170;171;Will Levis;TEN;5;QB22;149.0;194;162.0;168.3;00-0039152;QB;2023;0.5294117647058824;24
171;171;172;Bucky Irving;TB;11;RB53;176.0;188;149.0;171.0;00-0039361;RB;2023;--;21
172;172;173;Isaiah Likely;BAL;14;TE18;148.0;181;192.0;173.7;00-0037838;TE;2023;0.9705882352941176;23
173;173;174;Ja'Lynn Polk;NE;14;WR65;183.0;160;178.0;173.7;00-0039907;WR;2023;--;22
174;174;175;Bo Nix;DEN;14;QB23;132.0;215;179.0;175.3;00-0039732;QB;2023;--;23
175;175;176;Kimani Vidal;LAC;5;RB54;192.0;173;161.0;175.3;00-0039391;RB;2023;--;22
176;176;177;Luke Musgrave;GB;10;TE19;206.0;147;175.0;176.0;00-0039144;TE;2023;0.6470588235294118;22
177;177;178;Deshaun Watson;CLE;10;QB24;185.0;178;165.0;176.0;00-0033537;QB;2023;0.7304347826086957;27
178;178;179;Khalil Herbert;IND;14;RB55;180.0;187;171.0;179.3;00-0036906;RB;2023;0.8235294117647058;25
179;179;180;Jordan Mason;MIN;6;RB56;154.0;244;142.0;180.0;00-0037525;RB;2023;0.9705882352941176;24
180;180;181;Jahan Dotson;PHI;5;WR66;150.0;163;228.0;180.3;00-0037741;WR;2023;0.8529411764705882;23
181;181;182;Josh Downs;IND;14;WR67;188.0;165;189.0;180.7;00-0038997;WR;2023;1.0;22
