Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
10,10,10,11,Nick Chubb,HOU,8,RB8,13.0,,,12.7,00-0034791,RB,2019,1.0,23,2018,0.6880000000000002,89.938286,0.01,35.0,12.0,16,0,0.0,0,299,1513.0,8,36,278.0,0,3.0,0,0.0,0,190,1067.0,12,16,150.0,0,1.0
11,11,11,12,Clyde Edwards-Helaire,NO,6,RB9,8.0,,,13.3,00-0036360,RB,2019,--,20,2020,-1.0,--,0.013999999999999999,32.0,12.5,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,181,803.0,4,36,297.0,1,0.0
12,12,12,13,Josh Jacobs,GB,5,RB10,18.0,,,14.3,00-0035700,RB,2019,0.8125,21,2019,0.5576923076923077,57.780895,0.016,24.0,14.4,13,0,0.0,0,242,1150.0,7,20,166.0,0,1.0,0,0.0,0,273,1065.0,12,33,238.0,0,2.0
13,13,13,14,Julio Jones,,,WR4,14.0,,,14.3,00-0027944,WR,2019,0.9562043795620438,30,2011,0.7586666666666668,76.4321,0.11699999999999999,6.0,23.2,15,0,0.0,0,2,-3.0,0,99,1394.0,6,0.0,0,0.0,0,0,0.0,0,51,771.0,3,0.0
14,14,14,15,Kenyan Drake,,,RB11,17.0,,,15.7,00-0033118,RB,2019,0.9841269841269841,25,2016,0.6907692307692308,124.98155,0.043,73.0,7.3,14,0,0.0,0,168,785.0,8,50,345.0,0,1.0,0,0.0,0,239,955.0,10,25,137.0,0,1.0
15,15,15,16,DeAndre Hopkins,BAL,7,WR5,20.0,,,17.0,00-0030564,WR,2019,1.0,27,2013,0.9753846153846154,54.71839,0.13699999999999998,27.0,13.6,15,1,6.0,1,2,18.0,0,104,1165.0,7,1.0,0,0.0,0,1,1.0,0,115,1407.0,6,2.0
16,16,16,17,Patrick Mahomes II,KC,10,QB1,10.0,,,18.7,00-0033873,QB,2019,0.9583333333333334,23,2017,0.9276923076923076,53.174576,0.22699999999999998,10.0,19.9,14,319,4031.0,26,43,218.0,2,0,0.0,0,7.0,390,4740.0,38,62,308.0,2,0,0.0,0,8.0
17,17,17,18,Travis Kelce,KC,10,TE1,19.0,,,18.7,00-0030506,TE,2019,0.9514563106796117,29,2013,0.9153333333333332,31.50596,0.07200000000000001,63.0,8.2,16,0,0.0,0,1,4.0,1,97,1229.0,5,1.0,1,4.0,0,0,0.0,0,105,1416.0,11,1.0
18,18,18,19,Austin Ekeler,WAS,8,RB12,22.0,,,19.0,00-0033699,RB,2019,1.0,24,2017,0.5693333333333334,79.442505,0.031,,0.0,16,0,0.0,0,132,557.0,3,92,993.0,8,1.0,0,0.0,0,116,530.0,1,54,403.0,2,0.0
19,19,19,20,Aaron Jones Sr.,MIN,7,RB13,21.0,,,19.0,00-0033293,RB,2019,0.9166666666666666,24,2017,0.6135714285714285,179.81534,0.004,182.0,1.5,16,0,0.0,0,236,1084.0,16,49,474.0,3,2.0,0,0.0,0,201,1104.0,9,47,355.0,2,0.0
20,20,20,21,Miles Sanders,DAL,10,RB14,23.0,,,19.3,00-0035243,RB,2019,1.0,22,2019,0.4985714285714285,77.08762,0.006999999999999999,53.0,9.3,16,0,0.0,0,179,818.0,3,50,509.0,3,1.0,0,0.0,0,164,867.0,6,28,197.0,0,2.0
21,21,21,22,George Kittle,SF,11,TE2,16.0,,,20.0,00-0033288,TE,2019,0.9583333333333334,25,2017,0.8809090909090909,44.22379,0.076,146.0,2.9,14,0,0.0,0,5,22.0,0,85,1053.0,5,0.0,0,0.0,0,2,17.0,0,48,634.0,2,0.0
22,22,22,23,Lamar Jackson,BAL,7,QB2,15.0,,,20.3,00-0034796,QB,2019,0.96875,22,2018,0.9369230769230767,50.35313,0.013000000000000001,32.0,12.5,15,265,3127.0,36,176,1206.0,7,0,0.0,0,8.0,242,2757.0,26,159,1005.0,7,0,0.0,0,13.0
23,23,23,24,Chris Godwin,TB,13,WR6,24.0,,,21.0,00-0033921,WR,2019,0.9583333333333334,23,2017,0.9215384615384616,115.94182,0.005,84.0,6.4,14,0,0.0,0,1,8.0,0,86,1333.0,9,0.0,0,0.0,0,0,0.0,0,65,840.0,7,0.0
24,24,24,25,Kenny Golladay,,,WR7,27.0,,,25.3,00-0033932,WR,2019,1.0,25,2017,0.852142857142857,70.624,0.005,96.0,5.5,16,0,0.0,0,0,0.0,0,65,1190.0,11,1.0,0,0.0,0,0,0.0,0,20,338.0,2,0.0
25,25,25,26,Mike Evans,TB,13,WR8,28.0,,,27.3,00-0031408,WR,2019,0.9591836734693877,26,2014,0.9008333333333336,208.40666,0.09300000000000001,7.0,22.2,13,0,0.0,0,0,0.0,0,67,1157.0,8,0.0,0,0.0,0,0,0.0,0,70,1006.0,13,0.0
26,26,26,27,Chris Carson,,,RB15,31.0,,,30.0,00-0033594,RB,2019,0.7291666666666666,24,2017,0.7030769230769232,47.31781,0.004,249.0,0.0,15,0,0.0,0,278,1230.0,7,37,266.0,2,4.0,0,0.0,0,141,681.0,5,37,287.0,4,0.0
27,27,27,28,Odell Beckham Jr.,,,WR9,30.0,,,30.0,00-0031235,WR,2019,0.8762886597938144,26,2014,0.9586666666666668,50.136627,0.102,12.0,18.8,16,1,20.0,0,3,10.0,0,75,1091.0,5,0.0,1,18.0,0,3,72.0,1,23,319.0,3,0.0
28,28,28,29,Allen Robinson,II,,WR10,26.0,,,30.7,00-0031428,WR,2019,0.717391304347826,26,2014,0.9353333333333336,57.03296,0.079,61.0,8.4,16,0,0.0,0,1,2.0,0,98,1147.0,7,0.0,0,0.0,0,1,-1.0,0,102,1250.0,6,0.0
29,29,29,30,Todd Gurley,II,,RB16,32.0,,,31.0,00-0032241,RB,2019,0.9876543209876543,25,2015,0.725,41.837807,0.027999999999999997,10.0,19.9,15,0,0.0,0,223,857.0,12,31,207.0,2,2.0,0,0.0,0,195,678.0,9,25,164.0,0,0.0
30,30,30,31,Adam Thielen,CAR,13,WR11,29.0,,,32.0,00-0030035,WR,2019,0.9489795918367347,29,2013,0.7,102.122665,0.086,,0.0,10,0,0.0,0,4,6.0,1,30,418.0,6,0.0,0,0.0,0,3,15.0,0,74,925.0,14,0.0
31,31,31,32,James Conner,ARI,8,RB17,25.0,,,33.0,00-0033553,RB,2019,0.8333333333333334,24,2017,0.534,93.89833,0.005,105.0,5.0,10,0,0.0,0,116,464.0,4,34,251.0,3,1.0,0,0.0,0,169,721.0,6,35,215.0,0,0.0
32,32,32,33,DJ Moore,CHI,11,WR12,37.0,,,34.0,00-0034827,WR,2019,0.96875,22,2018,0.8676923076923078,48.16095,0.016,24.0,14.4,15,0,0.0,0,6,40.0,0,87,1175.0,4,1.0,0,0.0,0,2,22.0,0,66,1193.0,4,0.0
33,33,33,34,Amari Cooper,,,WR13,38.0,,,34.3,00-0031544,WR,2019,1.0,25,2015,0.7549999999999999,123.149956,0.10099999999999999,4.0,25.8,16,0,0.0,0,1,6.0,0,79,1189.0,8,0.0,0,0.0,0,6,14.0,0,92,1114.0,5,0.0
34,34,34,35,JuJu Smith-Schuster,KC,10,WR14,34.0,,,34.3,00-0033857,WR,2019,0.8958333333333334,22,2017,0.7741666666666668,48.251514,0.006,62.0,8.3,12,0,0.0,0,0,0.0,0,42,552.0,3,1.0,0,0.0,0,0,0.0,0,97,831.0,9,1.0
35,35,35,36,Jonathan Taylor,IND,7,RB18,36.0,,,37.0,00-0036223,RB,2019,--,20,2020,-1.0,--,0.01,41.0,11.0,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,232,1169.0,11,36,299.0,1,1.0
36,36,36,37,Melvin Gordon,III,,RB19,33.0,,,37.3,00-0032144,RB,2019,0.8026315789473685,26,2015,0.5345454545454547,48.613335,0.04,15.0,17.4,12,0,0.0,0,162,612.0,8,42,296.0,1,3.0,0,0.0,0,215,986.0,9,32,158.0,1,4.0
37,37,37,38,A.J. Brown,PHI,9,WR15,39.0,,,39.3,00-0035676,WR,2019,1.0,22,2019,0.6771428571428572,93.012955,0.008,51.0,9.6,16,0,0.0,0,3,60.0,1,52,1051.0,8,0.0,0,0.0,0,0,0.0,0,70,1075.0,11,1.0
38,38,38,39,Mark Andrews,BAL,7,TE3,35.0,,,39.7,00-0034753,TE,2019,0.96875,23,2018,0.4392307692307693,70.31266,0.005,86.0,6.2,15,0,0.0,0,0,0.0,0,64,852.0,10,1.0,0,0.0,0,0,0.0,0,58,701.0,7,0.0
39,39,39,40,Cooper Kupp,SEA,6,WR16,44.0,,,40.0,00-0033908,WR,2019,0.8958333333333334,26,2017,0.8192307692307691,96.57662,0.079,69.0,7.6,16,0,0.0,0,2,4.0,0,94,1161.0,10,0.0,0,0.0,0,4,33.0,0,92,974.0,3,0.0
40,40,40,41,Le'Veon Bell,,,RB20,45.0,,,41.7,00-0030496,RB,2019,0.9176470588235294,27,2013,0.83,22.689524,0.005,48.0,9.9,15,0,0.0,0,245,789.0,3,66,461.0,1,1.0,0,0.0,0,82,328.0,2,16,138.0,0,0.0
41,41,41,42,David Johnson,,,RB21,52.0,,,42.0,00-0032187,RB,2019,0.7901234567901234,27,2015,0.4916666666666666,111.17274,0.073,86.0,6.2,12,0,0.0,0,93,346.0,2,36,370.0,4,1.0,0,0.0,0,147,691.0,6,33,314.0,2,1.0
42,42,42,43,Calvin Ridley,TEN,4,WR17,49.0,,,44.0,00-0034837,WR,2019,0.90625,24,2018,0.7366666666666665,61.37769,0.015,26.0,13.9,13,0,0.0,0,2,34.0,0,63,866.0,7,0.0,0,0.0,0,5,1.0,0,90,1374.0,9,1.0
43,43,43,44,Zach Ertz,WAS,8,TE4,43.0,,,46.0,00-0030061,TE,2019,0.991304347826087,28,2013,0.8476923076923077,68.97781,0.055,35.0,12.0,15,0,0.0,0,0,0.0,0,88,916.0,6,1.0,0,0.0,0,0,0.0,0,36,335.0,1,0.0
44,44,44,45,Mark Ingram,II,,RB22,40.0,,,46.0,00-0027966,RB,2019,0.7586206896551724,29,2011,0.4938461538461538,68.32238,0.027000000000000003,28.0,13.4,15,0,0.0,0,202,1018.0,10,26,247.0,5,2.0,0,0.0,0,72,299.0,2,6,50.0,0,0.0
45,45,45,46,Tyler Lockett,TEN,4,WR18,48.0,,,50.0,00-0032211,WR,2019,0.9876543209876543,26,2015,0.8992857142857142,116.54,0.06,69.0,7.6,16,0,0.0,0,4,-5.0,0,82,1057.0,8,0.0,0,0.0,0,0,0.0,0,100,1054.0,10,0.0
46,46,46,47,Courtland Sutton,DEN,5,WR19,55.0,,,50.7,00-0034348,WR,2019,1.0,23,2018,0.9135714285714284,34.93976,0.01,40.0,11.1,16,1,38.0,0,3,17.0,0,72,1112.0,6,0.0,0,0.0,0,0,0.0,0,3,66.0,0,0.0
47,47,47,48,Dak Prescott,DAL,10,QB3,42.0,,,50.7,00-0033077,QB,2019,1.0,26,2016,0.9942857142857144,61.462345,0.158,135.0,3.4,16,388,4902.0,30,52,277.0,3,0,0.0,0,13.0,151,1856.0,9,18,93.0,3,1,11.0,1,7.0
48,48,48,49,Keenan Allen,LAC,6,WR20,57.0,,,50.7,00-0030279,WR,2019,0.7830188679245284,27,2013,0.874,91.785286,0.10099999999999999,76.0,7.0,16,0,0.0,0,3,16.0,0,104,1199.0,6,0.0,0,0.0,0,1,-1.0,0,100,992.0,8,2.0
49,49,49,50,Robert Woods,PIT,4,WR21,61.0,,,50.7,00-0030431,WR,2019,0.8584070796460177,27,2013,0.9507692307692306,69.78924,0.08199999999999999,41.0,11.0,15,0,0.0,0,17,115.0,1,90,1134.0,2,0.0,0,0.0,0,24,155.0,2,90,936.0,6,1.0
50,50,50,51,DK Metcalf,PIT,4,WR22,53.0,,,51.3,00-0035640,WR,2019,1.0,21,2019,0.8385714285714287,42.580624,0.006,64.0,8.1,16,0,0.0,0,2,11.0,0,58,900.0,7,3.0,0,0.0,0,0,0.0,0,83,1303.0,10,0.0
51,51,51,52,Raheem Mostert,LV,6,RB23,47.0,,,51.7,00-0031687,RB,2019,0.8208955223880597,27,2015,0.31,74.141235,0.015,,0.0,15,0,0.0,0,137,772.0,8,14,180.0,2,1.0,0,0.0,0,104,521.0,2,16,156.0,1,1.0
52,52,52,53,Terry McLaurin,WAS,8,WR23,46.0,,,51.7,00-0035659,WR,2019,0.875,23,2019,0.929090909090909,59.2361,0.005,76.0,7.0,14,0,0.0,0,0,0.0,0,58,919.0,7,0.0,0,0.0,0,2,30.0,0,87,1118.0,4,1.0
53,53,53,54,DJ Chark Jr.,ATL,10,WR24,54.0,,,51.7,00-0034777,WR,2019,0.96875,22,2018,0.8099999999999999,92.00124,0.006,61.0,8.4,15,0,0.0,0,2,20.0,0,73,1008.0,8,0.0,0,0.0,0,0,0.0,0,53,706.0,5,0.0
54,54,54,55,Russell Wilson,NYG,11,QB4,41.0,,,55.7,00-0029263,QB,2019,1.0,30,2012,1.0,94.15386,0.18600000000000003,75.0,7.1,16,341,4110.0,31,75,342.0,3,0,0.0,0,7.0,384,4212.0,40,83,513.0,2,0,0.0,0,17.0
55,55,55,56,Devin Singletary,NYG,11,RB24,63.0,,,57.0,00-0035250,RB,2019,0.8125,21,2019,0.6663636363636364,34.754772,0.005,74.0,7.2,12,0,0.0,0,151,775.0,2,29,194.0,2,1.0,0,0.0,0,156,687.0,2,38,269.0,0,1.0
56,56,56,57,Kyler Murray,ARI,8,QB5,50.0,,,58.3,00-0035228,QB,2019,1.0,22,2019,0.9606666666666668,46.163345,0.047,1.0,34.6,16,346,3752.0,20,92,539.0,4,0,0.0,0,14.0,375,3971.0,26,133,819.0,11,0,0.0,0,16.0
57,57,57,58,T.Y. Hilton,,,WR25,64.0,,,58.7,00-0029608,WR,2019,0.9621212121212122,29,2012,0.716,63.83656,0.091,92.0,5.8,10,0,0.0,0,0,0.0,0,45,501.0,5,0.0,0,0.0,0,0,0.0,0,56,762.0,5,0.0
58,58,58,59,Darren Waller,MIA,7,TE5,56.0,,,58.7,00-0031610,TE,2019,0.5789473684210527,26,2015,0.9053333333333332,52.991837,0.04,204.0,0.7,16,0,0.0,0,2,5.0,0,90,1145.0,3,1.0,0,0.0,0,0,0.0,0,107,1196.0,9,2.0
59,59,59,60,Cam Akers,NO,6,RB25,60.0,,,59.7,00-0036414,RB,2019,--,20,2020,-1.0,--,0.008,52.0,9.4,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,145,625.0,2,11,123.0,1,1.0
60,60,60,61,Leonard Fournette,,,RB26,58.0,,,60.7,00-0033856,RB,2019,0.9583333333333334,24,2017,0.8814285714285716,52.369244,0.01,4.0,25.8,15,0,0.0,0,265,1152.0,3,76,522.0,0,1.0,0,0.0,0,97,367.0,6,36,233.0,0,0.0
61,61,61,62,Deshaun Watson,CLE,9,QB6,51.0,,,60.7,00-0033537,QB,2019,0.8125,23,2017,0.9946153846153846,100.997635,0.19699999999999998,12.0,18.8,15,333,3852.0,26,82,413.0,7,1,6.0,1,15.0,382,4823.0,33,90,444.0,3,0,0.0,0,10.0
62,62,62,63,DeVante Parker,,,WR26,67.0,,,61.3,00-0031547,WR,2019,1.0,26,2015,0.8826666666666667,67.523834,0.054000000000000006,14.0,17.8,16,0,0.0,0,0,0.0,0,72,1202.0,9,0.0,0,0.0,0,0,0.0,0,63,793.0,4,0.0
63,63,63,64,Stefon Diggs,NE,5,WR27,68.0,,,63.3,00-0031588,WR,2019,1.0,25,2015,0.7992857142857143,103.788284,0.081,146.0,2.9,15,0,0.0,0,5,61.0,0,63,1130.0,6,3.0,0,0.0,0,1,1.0,0,127,1535.0,8,0.0
64,64,64,65,D'Andre Swift,CHI,11,RB27,66.0,,,65.0,00-0036275,RB,2019,--,20,2020,-1.0,--,0.011000000000000001,35.0,12.0,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,114,521.0,8,46,357.0,2,2.0
65,65,65,66,Kareem Hunt,KC,10,RB28,69.0,,,65.7,00-0033923,RB,2019,0.813953488372093,24,2017,0.5957142857142858,13.990714,0.03,86.0,6.2,8,0,0.0,0,43,179.0,2,37,285.0,1,0.0,0,0.0,0,198,841.0,6,38,304.0,5,0.0
66,66,66,67,David Montgomery,DET,5,RB29,74.0,,,65.7,00-0035685,RB,2019,1.0,22,2019,0.5860000000000001,44.148003,0.005,73.0,7.3,16,0,0.0,0,242,889.0,6,25,185.0,1,2.0,0,0.0,0,247,1070.0,8,54,438.0,2,1.0
67,67,67,68,Marquise Brown,KC,10,WR28,79.0,,,72.0,00-0035662,WR,2019,0.875,22,2019,0.5758333333333333,75.80726,0.016,25.0,14.1,14,0,0.0,0,0,0.0,0,46,584.0,7,0.0,0,0.0,0,1,1.0,0,58,769.0,8,0.0
68,68,68,69,Michael Gallup,WAS,8,WR29,76.0,,,73.7,00-0034764,WR,2019,0.96875,23,2018,0.8383333333333335,71.13302,0.005,81.0,6.6,14,0,0.0,0,0,0.0,0,66,1107.0,6,0.0,0,0.0,0,0,0.0,0,59,843.0,5,0.0
69,69,69,70,A.J. Green,,,WR30,90.0,,,74.3,00-0027942,WR,2019,0.8791946308724832,31,2011,-1.0,--,0.091,4.0,25.8,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,47,523.0,2,0.0
70,70,70,71,Matt Ryan,,,QB7,65.0,,,76.7,00-0026143,QB,2019,0.994535519125683,34,2008,0.9757142857142858,55.52525,0.16899999999999998,3.0,27.6,15,408,4466.0,26,34,147.0,1,0,0.0,0,19.0,407,4581.0,26,29,92.0,2,0,0.0,0,14.0
71,71,71,72,Tyler Boyd,,,WR31,85.0,,,77.0,00-0033009,WR,2019,0.984375,24,2016,0.9085714285714286,74.57829,0.057,55.0,9.1,16,0,0.0,0,4,23.0,0,90,1046.0,5,2.0,1,16.0,0,5,49.0,0,79,841.0,4,0.0
72,72,72,73,Drew Brees,,,QB8,72.0,,,79.3,00-0020531,QB,2019,0.9781420765027322,40,2001,0.8374999999999999,108.162506,0.126,32.0,12.5,11,281,2979.0,27,9,-4.0,1,0,0.0,0,4.0,275,2942.0,24,18,-2.0,2,0,0.0,0,8.0
73,73,73,74,Evan Engram,DEN,5,TE6,84.0,,,79.3,00-0033881,TE,2019,0.8333333333333334,24,2017,0.7975,71.97929,0.016,23.0,14.6,8,0,0.0,0,3,7.0,0,44,467.0,3,0.0,0,0.0,0,6,26.0,1,63,654.0,1,1.0
74,74,74,75,Tyler Higbee,LAR,9,TE7,59.0,,,79.7,00-0033110,TE,2019,1.0,26,2016,0.63,67.70264,0.039,110.0,4.7,14,0,0.0,0,0,0.0,0,69,734.0,3,0.0,0,0.0,0,1,1.0,0,44,521.0,5,0.0
75,75,75,76,Ronald Jones,II,,RB30,82.0,,,80.0,00-0034816,RB,2019,1.0,22,2018,0.3653333333333333,41.436626,0.01,38.0,11.4,16,0,0.0,0,172,724.0,6,31,309.0,0,2.0,0,0.0,0,192,978.0,7,28,165.0,1,2.0
76,76,76,77,Rob Gronkowski,,,TE8,77.0,,,80.0,00-0027656,TE,2019,0.7482993197278912,30,2010,-1.0,--,--,42.0,10.8,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,45,623.0,7,0.0
77,77,77,78,Josh Allen,BUF,11,QB9,70.0,,,81.0,00-0034857,QB,2019,1.0,23,2018,0.922,55.798744,0.03,7.0,22.2,16,271,3089.0,20,109,510.0,9,0,0.0,0,13.0,396,4544.0,37,102,421.0,8,1,12.0,1,16.0
78,78,78,79,Hunter Henry,NE,5,TE9,73.0,,,81.0,00-0033090,TE,2019,0.6875,24,2016,0.7899999999999999,50.059696,0.054000000000000006,35.0,12.0,12,0,0.0,0,0,0.0,0,55,652.0,5,1.0,0,0.0,0,0,0.0,0,60,613.0,4,0.0
79,79,79,80,Jarvis Landry,,,WR32,89.0,,,81.3,00-0031382,WR,2019,1.0,26,2014,0.94,63.969166,--,63.0,8.2,16,0,0.0,0,1,10.0,0,83,1174.0,6,0.0,4,74.0,1,4,10.0,1,72,840.0,3,0.0
80,80,80,81,William Fuller V ,,,WR33,95.0,,,82.0,00-0033127,WR,2019,0.796875,25,2016,0.7889999999999999,219.26163,0.016,21.0,15.2,11,0,0.0,0,0,0.0,0,49,670.0,3,0.0,0,0.0,0,1,0.0,0,53,879.0,8,0.0
81,81,81,82,Julian Edelman,,,WR34,99.0,,,84.0,00-0027150,WR,2019,0.8156424581005587,33,2009,0.8538461538461539,51.004635,0.040999999999999995,232.0,0.0,16,2,47.0,1,8,27.0,0,100,1117.0,6,1.0,2,38.0,0,2,22.0,0,21,315.0,0,0.0
82,82,82,83,J.K. Dobbins,DEN,5,RB31,86.0,,,85.0,00-0036158,RB,2019,--,20,2020,-1.0,--,0.006999999999999999,55.0,9.1,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,134,805.0,9,18,120.0,0,0.0
83,83,83,84,Jordan Howard,,,RB32,87.0,,,86.0,00-0032780,RB,2019,0.90625,24,2016,0.3999999999999999,79.121956,0.025,150.0,2.7,9,0,0.0,0,119,525.0,6,10,69.0,1,0.0,0,0.0,0,35,60.0,4,1,-3.0,0,0.0
84,84,84,85,Deebo Samuel Sr.,WAS,8,WR35,98.0,,,86.7,00-0035719,WR,2019,0.9375,23,2019,0.6916666666666665,50.53781,0.01,36.0,11.8,15,0,0.0,0,14,159.0,3,57,802.0,3,1.0,0,0.0,0,8,26.0,0,33,391.0,1,0.0
85,85,85,86,Aaron Rodgers,PIT,4,QB10,96.0,,,90.0,00-0023459,QB,2019,0.9508196721311475,35,2005,0.9892857142857142,89.78541,0.18899999999999997,24.0,14.4,16,353,4002.0,26,46,183.0,1,0,0.0,0,8.0,372,4299.0,48,38,149.0,3,1,-6.0,0,7.0
86,86,86,87,Tom Brady,,,QB11,81.0,,,92.0,00-0019596,QB,2019,1.0,42,2000,0.9846153846153848,43.1128,0.126,199.0,0.9,16,373,4057.0,24,26,34.0,3,0,0.0,0,9.0,401,4633.0,40,30,6.0,3,0,0.0,0,13.0
87,87,87,88,Phillip Lindsay,,,RB33,105.0,,,93.3,00-0034109,RB,2019,0.96875,25,2018,0.505,51.867954,0.003,,0.0,16,0,0.0,0,224,1011.0,7,35,196.0,0,0.0,0,0.0,0,118,502.0,1,7,28.0,0,0.0
88,88,88,89,Brandin Cooks,NO,6,WR36,118.0,,,93.7,00-0031236,WR,2019,0.8586956521739131,25,2014,0.7358333333333333,33.80379,0.091,20.0,15.5,14,0,0.0,0,6,52.0,0,42,583.0,2,0.0,0,0.0,0,0,0.0,0,81,1150.0,6,0.0
89,89,89,90,Marvin Jones Jr.,,,WR37,106.0,,,93.7,00-0029293,WR,2019,0.8842975206611571,29,2012,0.8918181818181817,116.38141,0.052000000000000005,166.0,2.0,13,0,0.0,0,2,0.0,0,62,779.0,9,0.0,0,0.0,0,0,0.0,0,76,978.0,9,0.0
90,90,90,91,James White,,,RB34,107.0,,,94.7,00-0031062,RB,2019,1.0,27,2014,0.4208333333333334,58.71886,0.024,130.0,3.6,15,1,35.0,0,67,263.0,1,72,645.0,5,0.0,0,0.0,0,35,121.0,2,49,375.0,1,0.0
91,91,91,92,Jared Cook,,,TE10,71.0,,,95.0,00-0027061,TE,2019,0.9111111111111111,32,2009,0.5936363636363636,43.28247,0.04,89.0,6.0,14,0,0.0,0,0,0.0,0,43,705.0,9,0.0,0,0.0,0,0,0.0,0,37,504.0,7,1.0
92,92,92,93,Marlon Mack ,,,RB35,113.0,,,95.7,00-0033951,RB,2019,0.9583333333333334,23,2017,0.55,44.251923,0.004,143.0,3.0,14,0,0.0,0,247,1091.0,8,14,82.0,0,0.0,0,0.0,0,4,26.0,0,3,30.0,0,0.0
