Rank,Player,Team,AVG,gsis_id,position,season,availability,age,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr,player_id_x,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation,player_id_y,redzone_touches,redzone_yards,redzone_tds,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos,targets_totales,targets_por_partido,targets_por_partido_equipo,posicion,equipo,target_share_pct
68,Emmanuel Sanders,,67.0,00-0027685,WR,2015,1,28,0.8293333333333334,96.29209,0.071,82.0,6.5,0,0.0,0,3,29.0,0,76,1135.0,6,1.0,0,0.0,0,1,4.0,0,79,1032.0,5,0.0,4.776315789473684,00-0027685,18,1365.0,75.833336,3.8884556,19.99887,00-0027685,11,104.0,3.0,137,76,1135,75.66666666666667,12,6,3,29,1.9333333333333331,0,2,6,15,137,9.1,37.8,WR,DEN,22.7
69,Allen Hurns,,69.5,00-0030821,WR,2015,1,23,-1.0,70.16924,0.064,,0.0,0,0.0,0,0,0.0,0,64,1031.0,10,1.0,0,0.0,0,0,0.0,0,35,477.0,3,0.0,5.421875,00-0030821,15,1031.0,68.73333,4.3729925,16.11364,00-0030821,16,158.0,6.0,106,64,1031,68.73333333333333,19,10,0,0,0.0,0,1,10,15,106,7.1,37.9,WR,JAX,17.5
72,John Brown,,70.8,00-0031051,WR,2015,1,25,0.8086666666666666,36.33524,0.005,91.0,5.9,0,0.0,0,3,22.0,0,65,1003.0,7,1.0,0,0.0,0,1,10.0,0,39,517.0,2,0.0,4.846153846153846,00-0031051,17,1108.0,65.17647,4.717145,13.49426,00-0031051,19,194.0,6.0,202,130,2006,133.73333333333332,22,14,6,44,2.933333333333333,0,1,14,15,101,6.7,34.4,WR,ARI,18.4
74,Tyler Lockett,TEN,72.8,00-0032211,WR,2015,1,22,0.610625,62.701164,0.006,69.0,7.6,0,0.0,0,5,20.0,0,51,664.0,6,0.0,0,0.0,0,6,114.0,1,41,597.0,1,0.0,5.0,00-0032211,18,774.0,43.0,4.0452266,10.7078705,00-0032211,4,80.0,2.0,69,51,664,41.5,9,6,5,20,1.25,0,1,6,16,69,4.3,29.7,WR,SEA,14.5
77,Michael Crabtree,,76.8,00-0026986,WR,2015,1,27,0.765,46.38933,0.059000000000000004,10.0,19.9,0,0.0,0,0,0.0,0,85,922.0,9,0.0,0,0.0,0,0,0.0,0,89,1003.0,8,0.0,3.0941176470588236,00-0026986,16,922.0,57.625,4.123015,13.845262,00-0026986,13,36.0,2.0,146,85,922,57.625,15,9,0,0,0.0,0,0,9,16,146,9.1,37.8,WR,LV,24.2
81,DeSean Jackson,,83.3,00-0026189,WR,2015,0.8947368421052632,28,0.6333333333333333,80.509995,0.06,49.0,9.8,0,0.0,0,0,0.0,0,30,528.0,4,0.0,0,0.0,0,0,0.0,0,56,1005.0,4,0.0,5.266666666666667,00-0026189,10,545.0,54.5,4.5383706,11.424735,00-0026189,5,32.0,0.0,49,30,528,58.66666666666666,10,4,0,0,0.0,0,1,4,9,49,5.4,34.9,WR,WAS,8.8
86,DeVante Parker,,88.5,00-0031547,WR,2015,1,22,0.5092857142857142,49.25643,0.019,14.0,17.8,0,0.0,0,0,0.0,0,26,494.0,3,0.0,0,0.0,0,0,0.0,0,56,744.0,4,0.0,3.769230769230769,00-0031547,8,494.0,61.75,4.276912,16.200636,00-0031547,10,34.0,1.0,51,26,494,61.75,9,3,0,0,0.0,0,0,3,8,51,6.4,36.4,WR,MIA,8.7
97,Willie Snead,IV,95.5,00-0030663,WR,2015,1,22,0.7073333333333334,42.764954,0.003,,0.0,0,0.0,0,0,0.0,0,69,984.0,3,1.0,1,50.0,1,0,0.0,0,72,895.0,4,0.0,5.0,00-0030663,15,984.0,65.6,4.7937055,13.540379,00-0030663,10,74.0,2.0,102,69,984,65.6,15,3,0,0,0.0,0,1,3,15,102,6.8,41.6,WR,NO,15.3
98,Stefon Diggs,NE,97.3,00-0031588,WR,2015,1,21,0.7769230769230767,60.138077,0.004,146.0,2.9,0,0.0,0,3,13.0,0,52,720.0,4,0.0,0,0.0,0,3,10.0,0,84,903.0,3,0.0,5.615384615384615,00-0031588,14,746.0,53.285713,3.3517258,15.453402,00-0031588,9,58.0,1.0,84,52,720,55.38461538461539,13,4,3,13,1.0,0,0,4,13,84,6.5,27.7,WR,MIN,19.0
105,Kamar Aiken,,112.8,00-0028497,WR,2015,1,26,-1.0,49.0705,0.016,,0.0,0,0.0,0,0,0.0,0,75,944.0,5,1.0,0,0.0,0,0,0.0,0,29,328.0,1,0.0,2.8133333333333335,00-0028497,16,944.0,59.0,4.131624,14.782446,00-0028497,11,92.0,4.0,128,75,944,59.0,11,5,0,0,0.0,0,1,5,16,128,8.0,41.9,WR,BAL,19.1
107,Travis Benjamin,,115.8,00-0029269,WR,2015,0.86440678,25,0.765625,69.67317,0.039,100.0,5.3,0,0.0,0,4,12.0,0,68,966.0,5,1.0,0,0.0,0,2,-3.0,0,47,677.0,4,2.0,4.720588235294118,00-0029269,16,966.0,60.375,3.965748,15.402042,00-0029269,17,64.0,1.0,127,68,966,60.375,12,5,4,12,0.75,0,2,5,16,127,7.9,37.8,WR,CLE,21.0
108,Tavon Austin,,116.0,00-0030525,WR,2015,1,25,0.7775,66.865295,0.068,8.0,21.4,0,0.0,0,52,434.0,4,52,473.0,5,1.0,0,0.0,0,28,159.0,1,58,509.0,3,1.0,6.6923076923076925,00-0030525,16,473.0,29.5625,3.2643597,9.160286,00-0030525,10,92.0,4.0,87,52,473,29.5625,5,5,52,434,27.125,4,2,9,16,87,5.4,29.3,WR,LA,18.6
