...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
21,22,Clyde Edwards-Helaire,NO,6,RB14,23,22,,21.5,00-0036360,RB,2020,0.875,21,181,803,61.76923076923077,3,4,0,54,36,297,22.846153846153847,3,1,5,13
27,28,David Montgomery,DET,9,RB15,34,27,,28.8,00-0035685,RB,2020,0.96875,23,248,1072,71.46666666666667,5,8,1,68,54,438,29.2,2,2,10,15
28,29,Chris Carson,,,RB16,33,29,,29.3,00-0033594,RB,2020,0.734375,25,141,681,56.75,3,5,0,47,37,287,23.916666666666668,2,4,9,12
32,33,Josh Jacobs,GB,13,RB17,38,31,,33.5,00-0035700,RB,2020,0.875,22,273,1065,71,3,12,2,45,33,238,15.866666666666667,1,0,12,15
34,35,James Robinson,,,RB18,51,33,,36.8,00-0035831,RB,2020,0.875,22,241,1072,76.57142857142857,5,7,1,62,49,344,24.571428571428573,2,3,10,14
36,37,D'Andre Swift,CHI,10,RB19,44,35,,38,00-0036275,RB,2020,0.8125,21,114,521,40.07692307692308,1,8,2,57,46,357,27.46153846153846,1,2,10,13
37,38,Miles Sanders,DAL,7,RB20,42,38,,38.8,00-0035243,RB,2020,0.875,23,168,871,72.58333333333333,4,6,2,52,28,197,16.416666666666668,3,0,6,12
47,48,Darrell Henderson Jr.,,,RB21,50,42,,50.8,00-0035664,RB,2020,0.9375,23,138,624,41.6,3,5,0,24,16,155,10.333333333333334,1,1,6,15
48,49,Myles Gaskin,BAL,8,RB22,63,53,,51,00-0035311,RB,2020,0.625,23,142,584,58.4,3,3,2,47,41,388,38.8,3,2,5,10
52,53,Kareem Hunt,KC,12,RB23,61,49,,53.8,00-0033923,RB,2020,0.864406779661017,25,198,841,52.5625,3,6,0,51,38,304,19,3,5,11,16
60,61,Raheem Mostert,LV,8,RB24,74,66,,63.3,00-0031687,RB,2020,0.7590361445783133,28,104,521,65.125,2,2,1,19,16,156,19.5,1,1,3,8
61,62,Damien Harris,,,RB25,66,72,,64.8,00-0035657,RB,2020,0.45454545454545453,23,137,691,69.1,4,2,0,7,5,52,5.2,0,0,2,10
63,64,Chase Edmonds,,,RB26,73,60,,65.5,00-0034681,RB,2020,0.9375,24,97,448,28,4,1,0,67,53,402,25.125,2,4,5,16
64,65,Javonte Williams,DAL,7,RB27,83,64,,66.3,00-0036997,RB,2020,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,68,Gus Edwards,,,RB28,75,73,,70.8,00-0034184,RB,2020,1.0,25,144,723,45.1875,8,6,1,13,9,129,8.0625,3,0,6,16
71,72,Trey Sermon,PIT,7,RB29,76,76,,76.5,00-0036984,RB,2020,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,73,Ronald Jones,II,,RB30,79,74,,77,00-0034816,RB,2020,0.9583333333333334,23,192,978,69.85714285714286,6,7,2,42,28,165,11.785714285714286,1,1,8,14
75,76,Melvin Gordon,III,,RB31,92,75,,79.3,00-0032144,RB,2020,0.8279569892473119,27,215,986,65.73333333333333,5,9,4,44,32,158,10.533333333333333,1,1,10,15
85,86,Leonard Fournette,,,RB32,102,85,,91,00-0033856,RB,2020,0.921875,25,97,367,30.583333333333332,3,6,0,47,36,233,19.416666666666668,1,0,6,12
88,89,Michael Carter,ARI,12,RB33,116,90,,94,00-0036924,RB,2020,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,93,Zack Moss,,,RB35,108,94,,96.8,00-0036251,RB,2020,0.8125,22,112,481,37,4,4,0,18,14,95,7.3076923076923075,1,1,5,13
95,96,James Conner,ARI,12,RB36,106,98,,98,00-0033553,RB,2020,0.8307692307692308,25,169,721,55.46153846153846,5,6,0,43,35,215,16.53846153846154,0,0,6,13
103,104,Kenyan Drake,,,RB37,122,106,,108.5,00-0033118,RB,2020,0.9746835443037974,26,239,955,63.666666666666664,6,10,1,31,25,137,9.133333333333333,0,0,10,15
104,105,Devin Singletary,NYG,10,RB38,125,113,,109,00-0035250,RB,2020,0.90625,22,156,687,42.9375,3,2,1,50,38,269,16.8125,2,0,2,16
105,106,Mike Davis,,,RB39,64,56,,135.8,00-0032063,RB,2020,0.9620253164556962,27,165,642,45.857142857142854,2,6,1,70,59,373,26.642857142857142,4,2,8,14
107,108,Jamaal Williams,,,RB40,120,118,,110.5,00-0033948,RB,2020,0.9375,25,121,509,36.357142857142854,1,2,0,35,31,236,16.857142857142858,1,1,3,14
109,110,David Johnson,,,RB41,112,116,,113.3,00-0032187,RB,2020,0.7835051546391752,28,294,1382,115.16666666666667,8,12,1,92,66,628,52.333333333333336,8,4,16,12
114,115,Sony Michel,,,RB42,111,108,,115.5,00-0034845,RB,2020,0.8367346938775511,25,79,449,56.125,4,1,0,9,7,114,14.25,2,1,2,8
124,125,Tony Pollard,TEN,13,RB43,170,126,,130.5,00-0035261,RB,2020,0.96875,23,101,435,27.1875,4,4,0,40,28,193,12.0625,1,1,5,16
128,129,Nyheim Miller-Hines,LAC,7,RB44,160,130,,133,00-0034367,RB,2020,1.0,23,90,382,23.875,3,3,0,76,63,482,30.125,2,4,7,16
141,142,Alexander Mattison,MIA,14,RB45,200,153,,152.5,00-0034972,RB,2020,0.8125,22,96,434,33.38461538461539,4,2,0,15,13,125,9.615384615384615,1,1,3,13
144,145,Rhamondre Stevenson,NE,14,RB46,179,141,,156,00-0036875,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,148,Tevin Coleman,,,RB47,195,148,,158,00-0032058,RB,2020,0.9175257731958762,27,28,53,8.833333333333334,0,0,0,5,4,34,5.666666666666667,0,0,0,6
148,149,James White,,,RB48,175,157,,158.5,00-0031062,RB,2020,0.9826086956521739,28,35,121,8.642857142857142,0,2,0,62,49,375,26.785714285714285,4,1,3,14
150,151,J.D. McKissic,,,RB49,206,165,,159.8,00-0032602,RB,2020,0.8382352941176471,27,85,365,22.8125,0,1,1,110,80,589,36.8125,2,2,3,16
152,153,Phillip Lindsay,,,RB50,187,129,,161.3,00-0034109,RB,2020,0.8775510204081632,26,118,502,45.63636363636363,6,1,0,14,7,28,2.5454545454545454,0,0,1,11
157,158,Chuba Hubbard,CAR,13,RB51,214,145,,165.5,00-0036555,RB,2020,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,159,Latavius Murray,,,RB52,190,156,,167,00-0030513,RB,2020,0.9912280701754386,30,146,656,43.733333333333334,3,4,0,26,23,176,11.733333333333333,2,1,5,15
165,166,Giovani Bernard,,,RB53,201,187,,172.5,00-0030456,RB,2020,0.9541984732824428,28,124,416,26,0,3,1,59,47,355,22.1875,3,3,6,16
172,173,Rashaad Penny,,,RB54,203,193,,175.5,00-0034750,RB,2020,0.625,24,11,34,11.333333333333334,0,0,0,0,0,0,0,0,0,0,3
179,180,Marlon Mack,,,RB55,166,218,,187.8,00-0033951,RB,2020,0.734375,24,4,26,26,0,0,0,3,3,30,30,0,0,0,1
182,183,Mark Ingram,II,,RB56,164,209,,193.3,00-0027966,RB,2020,0.7515527950310559,30,72,299,29.9,2,2,0,8,6,50,5,0,0,2,10
187,188,Darrel Williams,,,RB57,193,212,,200.5,00-0034301,RB,2020,0.9166666666666666,25,78,338,26,0,1,0,54,36,232,17.846153846153847,0,0,1,13
191,192,Kenneth Gainwell,PIT,7,RB58,,173,,178.7,00-0036919,RB,2020,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,198,Ty'Son Williams,,,RB59,208,175,,183.3,00-0036457,RB,2020,1.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,203,Devontae Booker,,,RB60,,184,,192,00-0032972,RB,2020,1.0,28,93,423,28.2,4,3,0,21,17,84,5.6,0,0,3,15
203,204,Tony Jones Jr.,,,RB61,,204,,192.3,00-0035860,RB,2020,1.0,22,3,13,13,0,0,0,0,0,0,0,0,0,0,1
207,208,Ty Johnson,BUF,7,RB62,,205,,193.7,00-0035537,RB,2020,0.9354838709677419,22,54,254,25.4,1,1,0,21,16,99,9.9,0,1,2,10
210,211,Cam Akers,NO,6,RB63,27,,,246.5,00-0036414,RB,2020,0.8125,21,145,625,56.81818181818182,4,2,1,14,11,123,11.181818181818182,2,1,3,11
212,213,Damien Williams,,,RB64,,219,,197.3,00-0030874,RB,2020,0.8785046728971962,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,221,Malcolm Brown,,,RB65,,217,,215.3,00-0031806,RB,2020,0.9375,27,101,419,26.1875,0,5,1,33,23,162,10.125,1,0,5,16
229,230,Darrynton Evans,BUF,7,RB66,,245,,228.3,00-0036297,RB,2020,0.35294117647058826,22,14,54,13.5,0,0,0,4,2,27,6.75,1,1,1,4
236,237,Tarik Cohen,,,RB67,,246,,217.5,00-0033556,RB,2020,0.796875,25,14,74,24.666666666666668,0,0,0,9,6,41,13.666666666666666,1,0,0,3
243,244,Salvon Ahmed,IND,14,RB68,,235,,226,00-0036020,RB,2020,0.5,21,75,319,53.166666666666664,1,3,0,15,11,61,10.166666666666666,0,0,3,6
245,246,Justin Jackson,,,RB69,,,,229,00-0034440,RB,2020,0.6666666666666666,24,59,270,33.75,3,0,0,25,19,173,21.625,2,0,0,8
246,247,Boston Scott,,,RB70,,215,,230,00-0034414,RB,2020,1.0,25,80,374,23.375,2,1,0,36,25,212,13.25,0,1,2,16
251,252,Cordarrelle Patterson,,,RB71,,227,,238,00-0030578,RB,2020,1.0,29,64,232,15.466666666666667,0,1,0,25,21,132,8.8,1,0,1,15
254,255,Carlos Hyde,,,RB72,,229,,242.5,00-0031045,RB,2020,0.8181818181818182,29,81,356,35.6,2,4,0,20,16,93,9.3,0,0,4,10
258,259,Anthony McFarland Jr.,,,RB73,,,,206,00-0036336,RB,2020,0.7647058823529411,21,33,113,10.272727272727273,1,0,0,9,6,54,4.909090909090909,0,0,0,11
261,262,Elijah Mitchell,KC,12,RB74,,,,212,00-0036567,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,263,Benny Snell Jr.,,,RB75,,,,218,00-0035217,RB,2020,0.9090909090909091,22,111,368,24.533333333333335,3,4,1,14,10,61,4.066666666666666,0,0,4,15
265,266,Le'Veon Bell,,,RB76,,224,,224,00-0030496,RB,2020,0.8910891089108911,28,82,316,28.727272727272727,0,1,0,20,16,138,12.545454545454545,1,0,1,11
266,267,Todd Gurley,II,,RB77,,,,225,00-0032241,RB,2020,0.979381443298969,26,195,678,45.2,2,9,0,35,25,164,10.933333333333334,1,0,9,15
268,269,J.J. Taylor,HOU,10,RB78,,,,227,00-0036096,RB,2020,0.5294117647058824,22,23,110,22,1,0,0,2,1,4,0.8,0,0,0,5
270,271,Javian Hawkins,TEN,13,RB79,,,,232,00-0036827,RB,2020,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,273,Jerick McKinnon,,,RB80,,233,,263.5,00-0031376,RB,2020,0.5909090909090909,28,81,319,22.785714285714285,1,5,0,47,33,253,18.071428571428573,2,1,6,14
274,275,Brian Hill,,,RB81,,,,239,00-0033567,RB,2020,0.9827586206896551,24,100,465,29.0625,3,1,1,30,25,199,12.4375,2,0,1,16
276,277,Jaret Patterson,LAC,7,RB82,,,,240,00-0036755,RB,2020,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,279,Xavier Jones,,,RB83,,243,,356,00-0036078,RB,2020,0.8125,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,280,Justice Hill,BAL,8,RB84,,,,244,00-0034975,RB,2020,0.875,22,12,60,10,0,0,0,5,5,20,3.3333333333333335,0,0,0,6
281,282,Detrez Newsome,,,RB85,,248,,248,00-0034565,RB,2020,1.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,291,Stevan Ridley,,,RB87,,253,,253,00-0028011,RB,2020,0.9333333333333333,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,292,Jake Funk,,,RB88,,,,253,00-0036860,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,296,Khalid Hill,,,RB89,,257,,257,00-0034237,RB,2020,0.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,303,Darrin Hall,,,RB91,,261,,261,00-0035043,RB,2020,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,307,La'Mical Perine,,,RB92,,,,263,00-0036269,RB,2020,0.625,22,64,232,25.77777777777778,1,2,0,15,11,63,7,0,0,2,9
308,309,Royce Freeman,,,RB93,,,,265,00-0034838,RB,2020,1.0,24,35,170,15.454545454545455,2,0,0,13,12,81,7.363636363636363,1,0,0,11
313,314,Quinton Flowers,,,QB39,,268,,268,00-0034531,RB,2020,1.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,315,Joshua Kelley,,,RB94,,,,268,00-0036370,RB,2020,0.875,22,111,354,27.23076923076923,3,2,2,23,23,148,11.384615384615385,1,0,2,13
315,316,Wayne Gallman Jr.,,,RB95,,,,269,00-0033950,RB,2020,0.90625,25,294,1364,97.42857142857143,6,12,0,54,42,228,16.285714285714285,0,0,12,14
321,322,Qadree Ollison,,,RB96,,,,273,00-0035273,RB,2020,0.46875,23,1,3,3,0,0,0,0,0,0,0,0,0,0,1
326,327,Pooka Williams Jr.,,,RB97,,,,275,00-0036734,RB,2020,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,332,Trenton Cannon,,,RB99,,279,,279,00-0034164,RB,2020,0.7291666666666666,26,10,33,5.5,0,0,0,4,3,16,2.6666666666666665,0,0,0,6
342,343,Eno Benjamin,,,RB101,,,,293,00-0036383,RB,2020,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,347,Mike Boone,MIA,14,RB102,,,,298,00-0034208,RB,2020,1.0,25,11,59,11.8,0,1,0,2,2,10,2,0,0,1,5
349,350,Larry Rountree,III,,RB103,,,,302,00-0036650,RB,2020,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,351,Jalen Richard,,,RB104,,,,303,00-0033025,RB,2020,0.9625,26,22,123,10.25,1,1,0,23,19,138,11.5,0,0,1,12
351,352,Samaje Perine,CIN,10,RB105,,,,304,00-0033526,RB,2020,1.0,24,63,301,27.363636363636363,1,3,0,12,11,66,6,0,0,3,11
355,356,Ke'Shawn Vaughn,SF,6,RB106,,,,312,00-0036450,RB,2020,0.6875,23,26,109,18.166666666666668,0,0,1,10,5,34,5.666666666666667,0,1,1,6
357,358,Chris Evans,,,RB107,,,,314,00-0036857,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,361,Kalen Ballage,,,RB108,,,,318,00-0034799,RB,2020,0.8863636363636364,24,91,303,27.545454545454547,0,3,0,37,29,166,15.090909090909092,1,0,3,11
365,366,De'Angelo Henderson Sr.,,,RB109,,,,324,00-0033581,RB,2020,1.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,370,Kerryon Johnson,,,RB110,,,,328,00-0034349,RB,2020,0.7916666666666666,23,52,181,12.928571428571429,0,2,1,26,19,187,13.357142857142858,1,1,3,14
371,372,D'Onta Foreman,,,RB111,,,,330,00-0033925,RB,2020,0.47619047619047616,24,22,95,19,0,0,0,1,1,5,1,0,1,1,5
378,379,Ameer Abdullah,SF,6,RB112,,,,341,00-0032104,RB,2020,0.8541666666666666,27,8,42,7,0,0,0,9,8,58,9.666666666666666,1,2,2,6
382,383,Ito Smith,,,RB113,,,,345,00-0034378,RB,2020,0.7291666666666666,24,63,268,19.142857142857142,1,1,0,26,17,75,5.357142857142857,0,0,1,14
389,390,Jonathan Williams,,,RB114,,,,352,00-0032975,RB,2020,0.8771929824561403,26,1,5,5,0,0,1,4,4,21,21,0,0,0,1
390,391,Matt Breida,,,RB115,,,,353,00-0033308,RB,2020,0.875,25,59,254,25.4,1,0,1,10,9,96,9.6,2,0,0,10
418,419,Antonio Williams,,,RB116,,,,384,00-0036188,RB,2020,1.0,22,12,63,63,0,2,0,1,1,20,20,1,0,2,1
424,425,Matt Jones,,,RB117,,,,390,00-0031939,RB,2020,1.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,430,Michael Strachan,,,WR144,,,,395,STR014077,RB,2020,--,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,431,Jermar Jefferson,TEN,13,RB119,,,,396,00-0036670,RB,2020,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,433,Jaylen Samuels,,,RB120,,,,398,00-0034331,RB,2020,0.9183673469387755,24,9,28,3.5,0,0,0,14,9,46,5.75,0,0,0,8
437,438,Ray Rice,,,RB121,,,,403,00-0026195,RB,2020,1.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,439,Kylin Hill,,,RB122,,,,404,00-0036669,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,447,Adrian Peterson,,,RB123,,,,412,00-0025394,RB,2020,0.8241758241758241,35,156,604,37.75,4,7,0,18,12,101,6.3125,1,0,7,16
457,458,DeeJay Dallas,ARI,12,RB124,,,,423,00-0036425,RB,2020,0.75,21,34,108,13.5,0,2,0,20,17,111,13.875,0,1,3,8
458,459,Corey Clement,,,RB125,,,,424,00-0033725,RB,2020,0.765625,25,21,75,9.375,0,1,0,6,5,25,3.125,0,0,1,8
464,465,Gerrid Doaks,,,RB126,,,,430,00-0036578,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,472,Khalil Herbert,IND,14,RB127,,,,437,00-0036906,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,474,Jeremy McNichols,WAS,9,RB128,,,,439,00-0033955,RB,2020,1.0,24,47,204,13.6,1,1,0,17,12,55,3.6666666666666665,0,0,1,15
478,479,Demetric Felton Jr.,WAS,9,RB130,,,,444,00-0036654,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,487,Peyton Barber,,,RB131,,,,452,00-0032741,RB,2020,1.0,26,95,258,18.428571428571427,0,4,0,7,4,12,0.8571428571428571,0,0,4,14
490,491,Rex Burkhead,,,RB132,,,,456,00-0030288,RB,2020,0.8712121212121212,30,67,274,27.4,0,3,0,33,25,192,19.2,1,3,6,10
