...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
87,88,A.J. Dillon,PHI,10,RB33,102,87,84,91,00-0036265,RB,2022,0.9,24,186,770,45.294117647058826,3,7,0,43,28,206,12.117647058823529,0,0,7,17
89,90,Antonio Gibson,NE,11,RB34,108,90,81,93,00-0036328,RB,2022,0.9,24,149,546,36.4,1,3,0,58,46,353,23.533333333333335,2,2,5,15
94,95,Brian Robinson Jr.,WAS,14,RB35,104,100,85,96.3,00-0037746,RB,2022,0.7058823529411765,23,205,797,66.41666666666667,2,2,0,12,9,60,5,0,1,3,12
97,98,Jamaal Williams,,,RB36,105,104,95,101.3,00-0033948,RB,2022,0.9183673469387755,27,263,1068,62.8235294117647,4,17,2,16,12,73,4.294117647058823,0,0,17,17
100,101,Zach Charbonnet,SEA,5,RB37,118,98,104,106.7,00-0039165,RB,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,107,Rashaad Penny,,,RB38,107,106,119,110.7,00-0034750,RB,2022,0.5609756097560976,26,57,346,69.2,5,2,0,5,4,16,3.2,0,0,2,5
108,109,Samaje Perine,CIN,7,RB39,121,111,102,111.3,00-0033526,RB,2022,0.9887640449438202,26,96,394,24.625,1,2,0,51,38,287,17.9375,2,4,6,16
113,114,Raheem Mostert,LV,13,RB40,125,130,101,118.7,00-0031687,RB,2022,0.6837606837606838,30,181,891,55.6875,6,3,1,42,31,202,12.625,2,2,5,16
119,120,Damien Harris,,,RB41,116,129,125,123.3,00-0035657,RB,2022,0.6119402985074627,25,106,462,42,2,3,0,23,17,97,8.818181818181818,0,0,3,11
122,123,Ezekiel Elliott,,,RB42,132,120,124,125.3,00-0033045,RB,2022,0.9210526315789473,27,231,876,58.4,5,12,0,23,17,92,6.133333333333334,1,0,12,15
123,124,Jerick McKinnon,,,RB43,141,125,116,127.3,00-0031376,RB,2022,0.6597222222222222,30,72,291,17.11764705882353,2,1,1,72,56,512,30.11764705882353,6,9,10,17
125,126,Elijah Mitchell,KC,10,RB44,156,118,120,131.3,00-0036567,RB,2022,0.47058823529411764,24,45,279,55.8,1,2,0,4,3,7,1.4,0,0,2,5
126,127,De'Von Achane,MIA,10,RB45,175,122,98,131.7,00-0039040,RB,2022,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,130,Jaylen Warren,PIT,6,RB46,161,140,103,134.7,00-0037228,RB,2022,0.9411764705882353,23,77,379,23.6875,3,1,0,33,28,214,13.375,1,0,1,16
136,137,Tank Bigsby,JAC,9,RB47,177,131,117,141.7,00-0038555,RB,2022,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,144,Kenneth Gainwell,PIT,6,RB48,148,164,129,147,00-0036919,RB,2022,0.9705882352941176,23,53,240,14.117647058823529,0,4,0,29,23,169,9.941176470588236,1,0,4,17
144,145,Tyler Allgeier,ATL,11,RB49,179,134,136,149.7,00-0037263,RB,2022,0.9411764705882353,22,211,1037,64.8125,6,3,0,17,16,139,8.6875,4,1,4,16
149,150,Deuce Vaughn,DAL,7,RB50,143,163,163,156.3,00-0038622,RB,2022,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,153,Devin Singletary,NYG,13,RB51,155,170,154,159.7,00-0035250,RB,2022,0.9545454545454546,24,177,819,51.1875,5,5,3,52,38,280,17.5,1,1,6,16
157,158,D'Onta Foreman,,,RB52,194,159,142,165,00-0033925,RB,2022,0.6764705882352942,26,204,916,57.25,8,5,0,9,5,26,1.625,1,0,5,16
159,160,Roschon Johnson,CHI,13,RB53,195,172,135,167.3,00-0039021,RB,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,170,Kendre Miller,NO,11,RB54,188,158,182,176,00-0038551,RB,2022,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,171,Chuba Hubbard,CAR,7,RB55,172,197,161,176.7,00-0036555,RB,2022,0.9411764705882353,23,95,466,38.833333333333336,3,2,1,17,14,147,12.25,1,0,2,12
171,172,Kareem Hunt,KC,10,RB56,213,173,149,178.3,00-0033923,RB,2022,0.8172043010752689,27,123,468,27.529411764705884,2,3,0,44,35,210,12.352941176470589,1,1,4,17
177,178,Tyjae Spears,TEN,7,RB57,205,186,148,179.7,00-0039032,RB,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,181,Deon Jackson,DET,9,RB58,204,202,143,183,00-0036493,RB,2022,0.9629629629629629,23,68,236,19.666666666666668,0,1,1,34,30,209,17.416666666666668,4,1,2,12
181,182,Clyde Edwards-Helaire,NO,11,RB59,140,201,211,184,00-0036360,RB,2022,0.68,23,71,302,30.2,2,3,0,23,17,151,15.1,2,3,6,10
184,185,Cordarrelle Patterson,,,RB60,150,220,194,188,00-0030578,RB,2022,0.9696969696969697,31,144,695,53.46153846153846,4,8,1,31,21,122,9.384615384615385,0,0,8,13
194,195,Gus Edwards,,,RB61,192,214,198,201.3,00-0034184,RB,2022,0.6753246753246753,27,87,433,48.111111111111114,3,3,1,2,0,0,0,0,0,3,9
196,197,Zamir White,LV,13,RB62,198,209,201,202.7,00-0038040,RB,2022,0.8235294117647058,22,17,70,6.363636363636363,1,0,0,0,0,0,0,0,0,0,11
216,217,Leonard Fournette,,,RB63,189,235,240,221.3,00-0033856,RB,2022,0.9081632653061225,27,189,668,41.75,1,3,0,83,73,523,32.6875,3,3,6,16
222,223,Ty Chandler,MIN,13,RB64,,208,191,199.5,00-0037276,RB,2022,0.17647058823529413,24,6,20,20,0,0,0,0,0,0,0,0,0,0,1
223,224,Joshua Kelley,,,RB65,,227,181,204,00-0036370,RB,2022,0.76,24,69,287,23.916666666666668,1,2,0,25,14,101,8.416666666666666,1,0,2,12
224,225,Zack Moss,,,RB66,,225,185,205,00-0036251,RB,2022,0.8163265306122449,24,93,456,35.07692307692308,2,1,1,13,11,39,3,0,0,1,13
231,232,Jeff Wilson Jr.,SF,9,RB67,197,,236,216.5,00-0034115,RB,2022,0.7638888888888888,26,176,860,53.75,7,5,2,37,22,185,11.5625,0,1,6,16
234,235,Chase Brown,CIN,7,RB68,,200,237,218.5,00-0038597,RB,2022,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,236,Jerome Ford,CLE,5,RB69,,223,217,220,00-0037267,RB,2022,0.7647058823529411,22,8,12,6,0,0,0,0,0,0,0,0,0,0,2
236,237,Evan Hull,PIT,6,RB70,,224,221,222.5,00-0038397,RB,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,257,Kyren Williams,LAR,10,RB71,,,196,196,00-0037840,RB,2022,0.5882352941176471,22,35,139,17.375,0,0,0,12,9,76,9.5,0,0,0,8
260,261,Sean Tucker,TB,5,RB72,,,207,207,00-0038951,RB,2022,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,274,Zach Evans,,,RB73,,243,294,268.5,00-0039136,RB,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,277,Keaontay Ingram,KC,10,RB74,,270,269,269.5,00-0037299,RB,2022,0.7058823529411765,22,27,60,6,0,1,0,5,4,21,2.1,1,0,1,10
277,278,DeWayne McBride,,,RB75,,236,,236,00-0039046,RB,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,283,Chase Edmonds,,,RB76,,,245,245,00-0034681,RB,2022,0.8433734939759037,26,68,245,18.846153846153847,3,2,0,24,16,157,12.076923076923077,1,1,3,13
283,284,Israel Abanikanda,GB,6,RB77,,245,,245,00-0038389,RB,2022,--,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,288,Jaleel McLaughlin,DEN,9,RB78,,,249,249,00-0038794,RB,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,295,Michael Carter,ARI,14,RB79,,264,298,281,00-0036924,RB,2022,0.8823529411764706,23,114,402,25.125,3,3,1,54,41,288,18,1,0,3,16
306,307,Robert Burns,,,RB80,,269,,269,00-0038419,RB,2022,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,313,Latavius Murray,,,RB81,,,276,276,00-0030513,RB,2022,0.9655172413793104,32,172,762,58.61538461538461,5,6,0,35,27,132,10.153846153846153,0,0,6,13
318,319,Rico Dowdle,CAR,7,RB82,,,281,281,00-0036139,RB,2022,0.42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,323,Salvon Ahmed,IND,11,RB83,,,285,285,00-0036020,RB,2022,0.7391304347826086,23,12,64,10.666666666666666,0,1,0,1,1,8,1.3333333333333333,0,0,1,6
324,325,Pierre Strong Jr.,CLE,5,RB84,,290,301,295.5,00-0038098,RB,2022,0.8823529411764706,23,10,100,25,1,1,0,7,7,42,10.5,0,0,1,4
326,327,Kerryon Johnson,,,RB85,,289,,289,00-0034349,RB,2022,0.7959183673469388,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,328,Chris Evans,,,RB86,,,289,289,00-0036857,RB,2022,0.7647058823529411,24,0,0,0,0,0,0,4,3,38,9.5,1,1,1,0
328,329,B.J. Emmons,,,RB87,,291,,291,00-0036797,RB,2022,--,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,339,Matt Breida,,,RB88,,,299,299,00-0033308,RB,2022,0.8367346938775511,27,54,220,12.941176470588236,0,1,0,25,20,118,6.9411764705882355,0,0,1,17
341,342,Peyton Barber,,,RB89,,301,,301,00-0032741,RB,2022,0.9381443298969072,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,343,Chris Rodriguez Jr.,WAS,14,RB90,,,302,302,00-0038611,RB,2022,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,345,Jaylen Samuels,,,RB91,,303,,303,00-0034331,RB,2022,0.9230769230769231,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,346,Raheem Blackshear,CAR,7,RB92,,,303,303,00-0037429,RB,2022,0.8666666666666667,24,23,77,7.7,0,3,1,12,10,93,9.3,1,0,3,10
348,349,Jacob Saylors,DET,9,RB94,,307,,307,00-0038896,RB,2022,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,354,Caleb Huntley,,,RB95,,314,,314,00-0036829,RB,2022,0.8,23,76,366,30.5,2,1,0,2,2,3,0.25,0,0,1,12
