...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
92,93,Duke Johnson Jr.,,,RB35,104,,,,,80,92.8,00-0032257,RB,2016,1.0,22,2015,0.446875,22.161167,0.005,77,6.9,146,716,44.75,2,1,1,148,106,1028,64.25,16,0,1,16
94,95,Terrance West,,,RB36,84,,,,,109,95.4,00-0031375,RB,2016,1.0,25,2014,0.38625,49.961163,0.011000000000000001,94,5.7,193,774,48.375,5,5,0,45,34,236,14.75,0,1,6,16
97,98,Eddie Lacy,,,RB37,91,,,,,96,101.6,00-0030485,RB,2016,0.835820895522388,26,2013,0.502,5.573,0.025,61,8.4,71,360,72,4,0,0,7,4,28,5.6,0,0,0,5
98,99,LeGarrette Blount,,,RB38,106,,,,,97,102.6,00-0027325,RB,2016,0.8771929824561403,29,2010,-1,35.086624,0.006999999999999999,,0,299,1161,72.5625,7,18,1,8,7,38,2.375,0,0,18,16
99,100,Darren McFadden,,,RB39,93,,,,,137,103,00-0026144,RB,2016,1.0,29,2008,0.26666666666666666,6.143333,0.006,4,25.8,24,87,29,1,0,0,5,3,17,5.666666666666667,0,0,0,3
103,104,James White,,,RB40,118,,,,,95,107.8,00-0031062,RB,2016,1.0,24,2014,0.384375,35.18996,0.024,130,3.6,39,166,10.375,0,0,0,87,60,551,34.4375,5,5,5,16
107,108,Thomas Rawls,,,RB41,124,,,,,108,114.2,00-0031897,RB,2016,0.5,23,2015,-1,48.501102,0.004,,0,109,349,38.77777777777778,1,3,0,17,13,96,10.666666666666666,1,0,3,9
109,110,Jonathan Stewart,,,RB42,113,,,,,122,117.6,00-0026153,RB,2016,1.0,29,2008,0.6338461538461538,51.252563,0.024,13,18.3,218,824,63.38461538461539,6,9,2,21,8,60,4.615384615384615,1,0,9,13
113,114,Matt Forte,,,RB43,109,,,,,113,121.4,00-0026184,RB,2016,0.8731343283582089,30,2008,0.5342857142857144,94.289,0.026000000000000002,44,10.5,218,813,58.07142857142857,5,7,1,43,30,263,18.785714285714285,3,1,8,14
115,116,Darren Sproles,,,RB44,122,,,,,126,121.6,00-0023564,RB,2016,1.0,33,2005,0.4873333333333333,34.140953,0.028999999999999998,130,3.6,94,438,29.2,1,2,0,71,52,427,28.466666666666665,2,2,4,15
121,122,C.J. Prosise,,,RB45,153,,,,,116,129.4,00-0032393,RB,2016,1.0,22,2016,0.39833333333333343,73.03467,0.005,90,5.9,30,172,28.666666666666668,1,1,0,19,17,208,34.666666666666664,2,0,1,6
122,123,Jacquizz Rodgers,,,RB46,146,,,,,136,131,00-0028083,RB,2016,0.9325842696629213,26,2011,0.485,45.959553,0.01,145,2.9,129,560,56,3,2,0,16,13,98,9.8,1,0,2,10
128,129,Jamaal Charles,,,RB47,161,,,,,115,140.4,00-0026213,RB,2016,0.8518518518518519,29,2008,0.13333333333333333,50.963333,0.015,73,7.3,12,40,13.333333333333334,0,1,0,3,2,14,4.666666666666667,0,0,1,3
133,134,Rex Burkhead,,,RB48,174,,,,,154,145.4,00-0030288,RB,2016,1.0,26,2013,0.221875,64.2725,0.019,190,1.2,74,344,38.22222222222222,0,2,1,20,17,145,16.11111111111111,0,0,2,9
136,137,Jeremy Hill,,,RB49,176,,,,,138,150.2,00-0031301,RB,2016,1.0,23,2014,0.43666666666666665,57.672672,0.006999999999999999,55,9.1,222,839,55.93333333333333,5,9,0,27,21,174,11.6,2,0,9,15
139,140,Samaje Perine,CIN,6,RB50,,,,,,119,129.8,00-0033526,RB,2016,--,20,2017,-1,--,0.005,114,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,141,Jamaal Williams,,,RB51,,,,,,132,135.3,00-0033948,RB,2016,--,21,2017,-1,--,0.004,134,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,142,Alvin Kamara,NO,5,RB52,183,,,,,214,167.4,00-0033906,RB,2016,--,21,2017,-1,--,0.006,67,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,146,Giovani Bernard,,,RB53,138,,,,,145,146,00-0030456,RB,2016,0.9104477611940298,24,2013,0.571,33.411224,0.033,37,11.6,91,337,33.7,0,2,1,51,39,336,33.6,3,1,3,10
151,152,Latavius Murray,,,RB54,165,,,,,130,156.8,00-0030513,RB,2016,1.0,26,2013,0.5292857142857144,65.96373,0.03,181,1.5,195,788,56.285714285714285,5,12,1,43,33,264,18.857142857142858,2,0,12,14
162,163,Wendell Smallwood,,,RB55,,,,,,176,171.5,00-0032782,RB,2016,0.8125,22,2016,0.18,26.029922,0.004,153,2.6,77,312,26,0,1,1,13,6,55,4.583333333333333,0,0,1,12
168,169,Shane Vereen,,,RB56,193,,,,,166,177.5,00-0027994,RB,2016,0.8804347826086957,27,2011,0.348,27.243,0.019,56,9,33,158,31.6,1,1,2,19,11,94,18.8,0,0,1,5
178,179,Chris Thompson,,,RB57,177,,,,,235,191.8,00-0030404,RB,2016,0.782608695652174,25,2013,0.45562499999999995,18.364292,0.021,154,2.5,69,356,22.25,2,3,1,62,49,349,21.8125,2,2,5,16
185,186,Charles Sims,,,RB58,197,,,,,217,206.3,00-0031390,RB,2016,0.7857142857142857,25,2014,0.46,51.579998,0.006,69,7.6,51,149,21.285714285714285,1,1,1,32,24,190,27.142857142857142,2,1,2,7
187,188,Marlon Mack,,,RB59,,,,,,208,183,00-0033951,RB,2016,--,20,2017,-1,--,0.004,143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,190,D'Onta Foreman,,,RB60,,,,,,195,186,00-0033925,RB,2016,--,20,2017,-1,--,0.005,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,196,Dion Lewis,,,RB61,,,,,,201,193,00-0028087,RB,2016,0.711864406779661,25,2011,0.3171428571428571,8.458095,0.01,149,2.7,64,283,40.42857142857143,0,0,0,24,17,94,13.428571428571429,0,0,0,7
197,198,DeAndre Washington,,,RB62,,,,,,228,195.3,00-0032940,RB,2016,1.0,23,2016,0.25142857142857145,36.027695,0.004,143,3,87,467,35.92307692307692,7,2,1,23,17,115,8.846153846153847,0,0,2,13
199,200,James Conner,ARI,8,RB63,,,,,,172,196.3,00-0033553,RB,2016,--,21,2017,-1,--,0.005,105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,202,Charcandrick West,,,RB64,187,,,,,280,218.8,00-0030668,RB,2016,1.0,25,2014,-1,48.454956,0.009000000000000001,,0,88,293,19.533333333333335,2,1,0,34,28,188,12.533333333333333,2,2,3,15
212,213,Jonathan Williams,,,RB65,,,,,,,171.5,00-0032975,RB,2016,1.0,22,2016,0.12363636363636364,6.9828563,0.004,156,2.4,27,94,11.75,1,1,2,2,1,0,0,0,0,1,8
213,214,Spencer Ware,,,RB66,,,,,,372,217,00-0030414,RB,2016,0.8,24,2013,0.6157142857142857,58.71363,0.009000000000000001,194,1.1,214,921,65.78571428571429,3,3,3,42,33,447,31.928571428571427,8,2,5,14
214,215,Jalen Richard,,,RB67,,,,,,165,210.3,00-0033025,RB,2016,1.0,22,2016,0.21375,33.67629,0.003,,0,83,491,30.6875,5,1,0,39,29,194,12.125,2,2,3,16
216,217,Joe Williams,,,RB68,,,,,,144,174.5,00-0033286,RB,2016,--,22,2017,-1,--,0.005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,219,Chris Carson,,,RB69,,,,,,207,211.7,00-0033594,RB,2016,--,21,2017,-1,--,0.004,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,221,T.J. Yeldon,,,RB70,,,,,,171,214.7,00-0032209,RB,2016,0.9696969696969697,22,2015,0.5579999999999998,29.463142,0.01,36,11.8,130,465,31,0,1,1,68,50,312,20.8,0,1,2,15
224,225,De'Angelo Henderson Sr.,,,RB71,,,,,,179,218,00-0033581,RB,2016,--,23,2017,-1,--,0.004,203,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,229,Devontae Booker,,,RB72,,,,,,188,225.3,00-0032972,RB,2016,1.0,24,2016,0.461875,42.60029,0.004,136,3.3,174,612,38.25,0,4,3,45,31,265,16.5625,3,1,5,16
232,233,Tarik Cohen,,,RB73,,,,,,204,226.3,00-0033556,RB,2016,--,21,2017,-1,--,--,119,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,235,Matt Breida,,,RB74,,,,,,234,228.7,00-0033308,RB,2016,--,21,2017,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,237,Branden Oliver,,,RB75,,,,,,186,230.3,00-0031277,RB,2016,0.4146341463414634,25,2014,-1,--,0.005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,244,Kenyan Drake,,,RB76,,,,,,173,207,00-0033118,RB,2016,1.0,22,2016,0.11375,14.687436,0.005,73,7.3,33,179,13.76923076923077,1,2,0,10,9,46,3.5384615384615383,0,0,2,13
247,248,Zach Zenner,,,RB78,,,,,,177,214.5,00-0031665,RB,2016,0.7272727272727273,24,2015,-1,54.43673,0.004,,0,88,334,30.363636363636363,1,4,1,23,18,196,17.818181818181817,2,0,4,11
250,251,Chris Ivory,,,RB79,,,,,,189,218.5,00-0027531,RB,2016,0.8468468468468469,28,2010,-1,31.538908,0.040999999999999995,,0,117,439,39.90909090909091,2,3,3,28,20,186,16.90909090909091,3,0,3,11
252,253,Kerwynn Williams,,,RB80,,,,,,203,222.5,00-0030117,RB,2016,1.0,25,2013,0.075,31.595835,0.004,230,0,18,157,39.25,3,2,0,2,1,6,1.5,0,0,2,4
