...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
140,141,Zach Charbonnet,SEA,10,RB45,191,128,128,149,00-0039165,RB,2023,0.9411764705882353,22,108,462,28.875,4,1,0,40,33,209,13.0625,1,0,1,16
143,144,Jaylen Wright,MIA,6,RB46,174,148,132,151.3,00-0039874,RB,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,147,Ty Chandler,MIN,6,RB47,195,146,125,155.3,00-0037276,RB,2023,0.5882352941176471,25,102,461,35.46153846153846,3,3,0,25,21,159,12.23076923076923,0,0,3,13
150,151,Jaleel McLaughlin,DEN,14,RB48,178,168,126,157.3,00-0038794,RB,2023,1.0,22,76,410,24.11764705882353,4,1,0,36,31,160,9.411764705882353,1,2,3,17
153,154,MarShawn Lloyd,GB,10,RB49,166,164,146,158.7,00-0039811,RB,2023,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,155,Ray Davis,BUF,12,RB50,152,176,150,159.3,00-0039875,RB,2023,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,157,Antonio Gibson,NE,14,RB51,170,167,144,160.3,00-0036328,RB,2023,0.9104477611940298,25,65,265,16.5625,0,1,2,59,48,389,24.3125,3,2,3,16
157,158,Tyler Allgeier,ATL,12,RB52,197,150,139,162,00-0037263,RB,2023,0.9705882352941176,23,187,683,40.1764705882353,2,4,0,24,18,193,11.352941176470589,2,1,5,17
171,172,Bucky Irving,TB,11,RB53,176,188,149,171,00-0039361,RB,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,176,Kimani Vidal,LAC,5,RB54,192,173,161,175.3,00-0039391,RB,2023,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,179,Khalil Herbert,IND,14,RB55,180,187,171,179.3,00-0036906,RB,2023,0.8235294117647058,25,133,613,51.083333333333336,5,2,1,31,20,134,11.166666666666666,1,1,3,12
179,180,Jordan Mason,MIN,6,RB56,154,244,142,180,00-0037525,RB,2023,0.9705882352941176,24,40,206,22.88888888888889,1,3,0,4,3,31,3.4444444444444446,0,0,3,9
198,199,Braelon Allen,NYJ,12,RB57,,180,160,170,00-0039794,RB,2023,--,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,204,Tyrone Tracy Jr.,NYG,11,RB58,,184,174,179,00-0039384,RB,2023,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,216,Tank Bigsby,JAC,12,RB59,,217,191,204,00-0038555,RB,2023,1.0,21,50,132,10.153846153846153,0,2,1,4,1,6,0.46153846153846156,0,0,2,13
221,222,Alexander Mattison,MIA,6,RB60,,224,199,211.5,00-0034972,RB,2023,0.9036144578313253,25,180,700,43.75,1,0,2,44,30,192,12,1,3,3,16
228,229,Dameon Pierce,HOU,14,RB62,,192,247,219.5,00-0037258,RB,2023,0.7941176470588235,23,145,416,32,1,2,0,17,13,101,7.769230769230769,1,0,2,13
231,232,Roschon Johnson,CHI,7,RB63,,231,212,221.5,00-0039021,RB,2023,0.8823529411764706,22,81,352,23.466666666666665,2,2,0,40,34,209,13.933333333333334,2,0,2,15
235,236,Jamaal Williams,,,RB64,,254,194,224,00-0033948,RB,2023,0.8956521739130435,28,106,306,23.53846153846154,0,1,0,20,18,62,4.769230769230769,0,0,1,13
236,237,Kendre Miller,NO,12,RB65,,166,283,224.5,00-0038551,RB,2023,0.47058823529411764,21,41,156,22.285714285714285,0,1,0,11,10,117,16.714285714285715,2,0,1,7
242,243,Will Shipley,PHI,5,RB66,,219,234,226.5,00-0039746,RB,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,245,Justice Hill,BAL,14,RB67,,245,210,227.5,00-0034975,RB,2023,0.7108433734939759,25,84,387,24.1875,2,3,1,39,28,206,12.875,4,1,4,16
248,249,Clyde Edwards-Helaire,NO,12,RB68,,216,244,230,00-0036360,RB,2023,0.7313432835820896,24,70,223,14.866666666666667,1,1,0,22,17,188,12.533333333333333,3,1,2,15
251,252,Kenneth Gainwell,PIT,9,RB69,,259,206,232.5,00-0036919,RB,2023,0.9607843137254902,24,85,366,22.875,3,2,1,37,30,183,11.4375,0,0,2,16
256,257,Samaje Perine,CIN,12,RB70,,304,185,244.5,00-0033526,RB,2023,0.9905660377358491,27,53,238,14,1,1,2,56,50,455,26.764705882352942,3,0,1,17
261,262,Keaton Mitchell,BAL,14,RB71,,233,263,248,00-0038454,RB,2023,0.47058823529411764,21,47,396,56.57142857142857,7,2,0,11,9,93,13.285714285714286,1,0,2,7
265,266,Dalvin Cook,,,RB72,,,201,201,00-0033893,RB,2023,0.8245614035087719,28,67,214,15.285714285714286,0,0,2,20,15,78,5.571428571428571,0,0,0,14
269,270,Trey Sermon,PIT,9,RB73,,251,266,258.5,00-0036984,RB,2023,0.49019607843137253,24,35,160,20,1,0,0,6,3,13,1.625,0,0,0,8
273,274,Isaac Guerendo,SF,9,RB74,,237,282,259.5,00-0039363,RB,2023,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,Kareem Hunt,KC,6,RB75,,,218,218,00-0033923,RB,2023,0.8425925925925926,28,135,411,27.4,0,9,0,21,15,84,5.6,0,0,9,15
278,279,Dylan Laube,LV,10,RB76,,249,277,263,00-0039407,RB,2023,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,280,Cam Akers,NO,12,RB77,,,224,224,00-0036414,RB,2023,0.5671641791044776,24,60,167,23.857142857142858,0,2,0,12,11,70,10,1,0,2,7
280,281,Carson Steele,KC,6,RB78,,,225,225,00-0039325,RB,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,286,Miles Sanders,DAL,7,RB80,,306,237,271.5,00-0035243,RB,2023,0.8795180722891566,26,129,432,27,1,1,2,41,27,154,9.625,0,0,1,16
293,294,Eric Gray,NYG,11,RB81,,,258,258,00-0038396,RB,2023,0.7647058823529411,23,17,48,9.6,0,0,0,7,6,22,4.4,0,0,0,5
306,307,Cordarrelle Patterson,,,RB82,,,276,276,00-0030578,RB,2023,0.9560439560439561,32,50,181,15.083333333333334,0,0,0,12,9,38,3.1666666666666665,0,1,1,12
311,312,Deuce Vaughn,DAL,7,RB83,,283,,283,00-0038622,RB,2023,0.4117647058823529,21,23,40,6.666666666666667,0,0,0,7,7,40,6.666666666666667,0,0,0,6
315,316,J.J. Taylor,HOU,14,RB85,,286,,286,00-0036096,RB,2023,0.4444444444444444,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,321,Rasheen Ali,BAL,14,RB86,,291,,291,00-0039796,RB,2023,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,325,Frank Gore Jr.,BUF,12,RB88,,296,,296,00-0039471,RB,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,327,Emanuel Wilson,GB,10,RB89,,,297,297,00-0038797,RB,2023,0.5882352941176471,24,14,85,17,1,0,0,5,4,23,4.6,0,0,0,5
329,330,Mark Ingram,II,,RB90,,300,,300,00-0027966,RB,2023,0.7397959183673469,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,333,Evan Hull,PIT,9,RB92,,302,,302,00-0038397,RB,2023,0.058823529411764705,22,1,1,1,0,0,0,1,1,6,6,0,0,0,1
333,334,Wendell Smallwood,,,RB93,,305,,305,00-0032782,RB,2023,0.9411764705882353,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,338,James White,,,RB94,,313,,313,00-0031062,RB,2023,0.8787878787878788,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
