opponent_team,season,game_id,rn,passing_yards_season_avg,passing_tds_season_avg,interceptions_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receiving_yards_season_avg,receiving_tds_season_avg,fumbles_lost_season_avg
LV,2022,2022_14_LV_LA,142,270.75,1.6666666666666667,0.3333333333333333,113.83333333333333,1.0833333333333333,270.75,1.6666666666666667,0.4166666666666667
LV,2022,2022_15_NE_LV,143,267.61538461538464,1.6153846153846154,0.3076923076923077,110.53846153846153,1.0769230769230769,267.61538461538464,1.6153846153846154,0.46153846153846156
LV,2022,2022_16_LV_PIT,144,256.5,1.5,0.2857142857142857,118.78571428571429,1.0714285714285714,256.5,1.5,0.42857142857142855
LV,2022,2022_17_SF_LV,145,255.66666666666666,1.4666666666666666,0.3333333333333333,117.93333333333334,1.0,255.66666666666666,1.4666666666666666,0.4
LV,2022,2022_18_KC_LV,146,257.4375,1.5,0.375,121.1875,1.0625,257.4375,1.5,0.375
LV,2023,2023_01_LV_DEN,147,,,,,,,,
LV,2023,2023_02_LV_BUF,148,177.0,2.0,0.0,94.0,0.0,177.0,2.0,0.0
LV,2023,2023_03_PIT_LV,149,225.5,2.5,0.0,138.5,1.0,225.5,2.5,0.0
LV,2023,2023_04_LV_LAC,150,228.66666666666666,2.3333333333333335,0.0,127.33333333333333,0.6666666666666666,228.66666666666666,2.3333333333333335,0.0
LV,2023,2023_05_GB_LV,151,213.25,2.0,0.25,134.25,1.0,213.25,2.0,0.0
LV,2023,2023_06_NE_LV,152,207.0,1.6,0.8,129.4,1.0,207.0,1.6,0.0
LV,2023,2023_07_LV_CHI,153,205.83333333333334,1.3333333333333333,0.8333333333333334,121.66666666666667,1.1666666666666667,205.83333333333334,1.3333333333333333,0.0
LV,2023,2023_08_LV_DET,154,199.57142857142858,1.2857142857142858,0.7142857142857143,129.0,1.2857142857142858,199.57142857142858,1.2857142857142858,0.0
LV,2023,2023_09_NYG_LV,155,208.625,1.25,0.75,140.625,1.25,208.625,1.25,0.25
LV,2023,2023_10_NYJ_LV,156,207.66666666666666,1.2222222222222223,0.8888888888888888,138.66666666666666,1.1111111111111112,207.66666666666666,1.2222222222222223,0.2222222222222222
LV,2023,2023_11_LV_MIA,157,213.2,1.1,0.9,135.6,1.0,213.2,1.1,0.2
LV,2023,2023_12_KC_LV,158,223.36363636363637,1.1818181818181819,0.9090909090909091,132.27272727272728,0.9090909090909091,223.36363636363637,1.1818181818181819,0.36363636363636365
LV,2023,2023_14_MIN_LV,159,229.58333333333334,1.25,0.8333333333333334,127.0,1.0,229.58333333333334,1.25,0.3333333333333333
LV,2023,2023_15_LAC_LV,160,223.15384615384616,1.1538461538461537,0.7692307692307693,127.38461538461539,0.9230769230769231,223.15384615384616,1.1538461538461537,0.3076923076923077
LV,2023,2023_16_LV_KC,161,225.57142857142858,1.2857142857142858,0.7857142857142857,124.85714285714286,0.8571428571428571,225.57142857142858,1.2857142857142858,0.5
LV,2023,2023_17_LV_IND,162,226.93333333333334,1.2666666666666666,0.8,122.2,0.8666666666666667,226.93333333333334,1.2666666666666666,0.5333333333333333
LV,2023,2023_18_DEN_LV,163,226.75,1.25,0.75,122.9375,0.875,226.75,1.25,0.5
LV,2024,2024_01_LV_LAC,164,,,,,,,,
LV,2024,2024_02_LV_BAL,165,144.0,1.0,0.0,176.0,1.0,144.0,1.0,0.0
LV,2024,2024_03_CAR_LV,166,195.5,1.0,0.5,163.5,1.0,195.5,1.0,0.0
LV,2024,2024_04_CLE_LV,167,236.66666666666666,1.6666666666666667,0.3333333333333333,152.66666666666666,1.0,236.66666666666666,1.6666666666666667,0.0
LV,2024,2024_05_LV_DEN,168,221.5,1.5,0.5,137.5,0.75,221.5,1.5,0.0
LV,2024,2024_06_PIT_LV,169,218.4,1.6,0.4,131.8,0.8,218.4,1.6,0.0
LV,2024,2024_07_LV_LA,170,206.16666666666666,1.3333333333333333,0.3333333333333333,140.33333333333334,1.1666666666666667,206.16666666666666,1.3333333333333333,0.0
LV,2024,2024_08_KC_LV,171,198.71428571428572,1.1428571428571428,0.42857142857142855,136.71428571428572,1.2857142857142858,198.71428571428572,1.1428571428571428,0.0
LV,2024,2024_09_LV_CIN,172,206.625,1.25,0.5,129.875,1.25,206.625,1.25,0.0
LV,2024,2024_11_LV_MIA,173,211.55555555555554,1.6666666666666667,0.5555555555555556,129.88888888888889,1.1111111111111112,211.55555555555554,1.6666666666666667,0.0
LV,2024,2024_12_DEN_LV,174,219.2,1.8,0.5,125.1,1.1,219.2,1.8,0.0
LV,2024,2024_13_LV_KC,175,224.0909090909091,1.8181818181818181,0.45454545454545453,119.45454545454545,1.0,224.0909090909091,1.8181818181818181,0.0
LV,2024,2024_14_LV_TB,176,230.91666666666666,1.75,0.4166666666666667,114.75,0.9166666666666666,230.91666666666666,1.75,0.0
LV,2024,2024_15_ATL_LV,177,235.84615384615384,1.8461538461538463,0.5384615384615384,117.61538461538461,0.9230769230769231,235.84615384615384,1.8461538461538463,0.07692307692307693
LV,2024,2024_16_JAX_LV,178,227.0,1.7857142857142858,0.5714285714285714,121.21428571428571,0.8571428571428571,227.0,1.7857142857142858,0.07142857142857142
LV,2024,2024_17_LV_NO,179,228.33333333333334,1.7333333333333334,0.5333333333333333,117.93333333333334,0.8666666666666667,228.33333333333334,1.7333333333333334,0.2
LV,2024,2024_18_LAC_LV,180,227.6875,1.6875,0.625,115.625,0.8125,227.6875,1.6875,0.1875
MIA,2014,2014_01_NE_MIA,1,,,,,,,,
MIA,2014,2014_02_MIA_BUF,2,249.0,1.0,0.0,89.0,1.0,249.0,1.0,2.0
MIA,2014,2014_03_KC_MIA,3,225.5,1.0,0.0,101.0,0.5,225.5,1.0,1.0
MIA,2014,2014_04_MIA_OAK,4,212.33333333333334,1.6666666666666667,0.0,125.33333333333333,1.0,212.33333333333334,1.6666666666666667,1.3333333333333333
MIA,2014,2014_06_GB_MIA,5,228.0,1.75,0.75,107.25,0.75,228.0,1.75,1.0
