game_id,opponent_team,receiving_yards,receiving_tds,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,fumbles_lost,rn,passing_yards_last5,passing_tds_last5,interceptions_last5,rushing_yards_last5,rushing_tds_last5,receiving_yards_last5,receiving_tds_last5,fumbles_lost_last5
2019_10_ARI_TB,ARI,358.0,1,358.0,1,2.0,118.0,2,1.0,90,306.2,2.8,0.4,111.2,0.4,306.2,2.8,0.4
2019_11_ARI_SF,ARI,424.0,4,424.0,4,2.0,34.0,0,0.0,91,325.4,2.6,0.8,113.2,0.8,325.4,2.6,0.6
2019_13_LA_ARI,ARI,427.0,2,427.0,2,0.0,132.0,1,0.0,92,339.0,2.6,1.2,99.4,0.8,339.0,2.6,0.6
2019_14_PIT_ARI,ARI,152.0,1,152.0,1,0.0,140.0,0,2.0,93,379.8,2.8,1.0,104.4,0.8,379.8,2.8,0.2
2019_15_CLE_ARI,ARI,303.0,3,303.0,3,1.0,171.0,1,1.0,94,335.6,2.4,0.8,105.0,0.6,335.6,2.4,0.6
2019_16_ARI_SEA,ARI,169.0,1,169.0,1,0.0,91.0,0,1.0,95,332.8,2.2,1.0,119.0,0.8,332.8,2.2,0.8
2019_17_ARI_LA,ARI,319.0,3,319.0,3,0.0,113.0,1,0.0,96,295.0,2.2,0.6,113.6,0.4,295.0,2.2,0.8
2020_01_ARI_SF,ARI,259.0,2,259.0,2,0.0,123.0,0,0.0,97,274.0,2.0,0.2,129.4,0.6,274.0,2.0,0.8
2020_02_WAS_ARI,ARI,223.0,1,223.0,1,0.0,117.0,1,1.0,98,240.4,2.0,0.2,127.6,0.4,240.4,2.0,0.8
2020_03_DET_ARI,ARI,270.0,2,270.0,2,0.0,90.0,0,0.0,99,254.6,2.0,0.2,123.0,0.6,254.6,2.0,0.6
2020_04_ARI_CAR,ARI,276.0,2,276.0,2,1.0,168.0,2,0.0,100,248.0,1.8,0.0,106.8,0.4,248.0,1.8,0.4
2020_05_ARI_NYJ,ARI,195.0,1,195.0,1,0.0,123.0,0,0.0,101,269.4,2.0,0.2,122.2,0.8,269.4,2.0,0.2
2020_06_ARI_DAL,ARI,266.0,1,266.0,1,2.0,97.0,0,2.0,102,244.6,1.6,0.2,124.2,0.6,244.6,1.6,0.2
2020_07_SEA_ARI,ARI,388.0,3,388.0,3,3.0,200.0,1,0.0,103,246.0,1.4,0.6,119.0,0.6,246.0,1.4,0.6
2020_09_MIA_ARI,ARI,248.0,2,248.0,2,0.0,91.0,1,0.0,104,279.0,1.8,1.2,135.6,0.6,279.0,1.8,0.4
2020_10_BUF_ARI,ARI,296.0,3,296.0,3,2.0,73.0,0,0.0,105,274.6,1.8,1.2,135.8,0.8,274.6,1.8,0.4
2020_11_ARI_SEA,ARI,197.0,2,197.0,2,0.0,165.0,1,0.0,106,278.6,2.0,1.4,116.8,0.4,278.6,2.0,0.4
2020_12_ARI_NE,ARI,84.0,0,84.0,0,2.0,110.0,2,0.0,107,279.0,2.2,1.4,125.2,0.6,279.0,2.2,0.4
2020_13_LA_ARI,ARI,351.0,1,351.0,1,0.0,119.0,3,0.0,108,242.6,2.0,1.4,127.8,1.0,242.6,2.0,0.0
2020_14_ARI_NYG,ARI,145.0,0,145.0,0,0.0,78.0,1,2.0,109,235.2,1.6,0.8,111.6,1.4,235.2,1.6,0.0
2020_15_PHI_ARI,ARI,338.0,3,338.0,3,0.0,117.0,1,0.0,110,214.6,1.2,0.8,109.0,1.4,214.6,1.2,0.4
2020_16_SF_ARI,ARI,182.0,3,182.0,3,0.0,227.0,0,1.0,111,223.0,1.2,0.4,117.8,1.6,223.0,1.2,0.4
2020_17_ARI_LA,ARI,231.0,0,231.0,0,1.0,110.0,0,1.0,112,220.0,1.4,0.4,130.2,1.4,220.0,1.4,0.6
2021_01_ARI_TEN,ARI,218.0,1,218.0,1,1.0,86.0,1,2.0,113,249.4,1.4,0.2,130.2,1.0,249.4,1.4,0.8
2021_02_MIN_ARI,ARI,244.0,3,244.0,3,0.0,177.0,0,0.0,114,222.8,1.4,0.4,123.6,0.6,222.8,1.4,1.2
2021_03_ARI_JAX,ARI,219.0,1,219.0,1,2.0,159.0,1,2.0,115,242.6,2.0,0.4,143.4,0.4,242.6,2.0,0.8
2021_04_ARI_LA,ARI,280.0,2,280.0,2,1.0,121.0,0,1.0,116,218.8,1.6,0.8,151.8,0.4,218.8,1.6,1.2
2021_05_SF_ARI,ARI,192.0,0,192.0,0,1.0,152.0,1,0.0,117,238.4,1.4,1.0,130.6,0.4,238.4,1.4,1.2
2021_06_ARI_CLE,ARI,240.0,2,240.0,2,1.0,73.0,0,2.0,118,230.6,1.4,1.0,139.0,0.6,230.6,1.4,1.0
2021_07_HOU_ARI,ARI,135.0,0,135.0,0,0.0,42.0,0,1.0,119,235.0,1.6,1.0,136.4,0.4,235.0,1.6,1.0
2021_08_GB_ARI,ARI,184.0,2,184.0,2,0.0,151.0,1,0.0,120,213.2,1.0,1.0,109.4,0.4,213.2,1.0,1.2
2021_09_ARI_SF,ARI,326.0,2,326.0,2,1.0,39.0,0,2.0,121,206.2,1.2,0.6,107.8,0.4,206.2,1.2,0.8
2021_10_CAR_ARI,ARI,175.0,1,175.0,1,1.0,166.0,2,1.0,122,215.4,1.2,0.6,91.4,0.4,215.4,1.2,1.0
2021_11_ARI_SEA,ARI,207.0,0,207.0,0,0.0,86.0,1,0.0,123,212.0,1.4,0.6,94.2,0.6,212.0,1.4,1.2
2021_13_ARI_CHI,ARI,229.0,2,229.0,2,4.0,112.0,1,0.0,124,205.4,1.0,0.4,96.8,0.8,205.4,1.0,0.8
2021_14_LA_ARI,ARI,287.0,3,287.0,3,0.0,89.0,0,0.0,125,224.2,1.4,1.2,110.8,1.0,224.2,1.4,0.6
2021_15_ARI_DET,ARI,216.0,3,216.0,3,0.0,126.0,0,1.0,126,244.8,1.6,1.2,98.4,0.8,244.8,1.6,0.6
2021_16_IND_ARI,ARI,225.0,2,225.0,2,0.0,126.0,0,0.0,127,222.8,1.8,1.0,115.8,0.8,222.8,1.8,0.4
2021_17_ARI_DAL,ARI,257.0,3,257.0,3,0.0,45.0,0,1.0,128,232.8,2.0,0.8,107.8,0.4,232.8,2.0,0.2
2021_18_SEA_ARI,ARI,238.0,3,238.0,3,1.0,202.0,2,1.0,129,242.8,2.6,0.8,99.6,0.2,242.8,2.6,0.4
2022_01_KC_ARI,ARI,360.0,5,360.0,5,0.0,128.0,1,1.0,130,244.6,2.8,0.2,117.6,0.4,244.6,2.8,0.6
2022_02_ARI_LV,ARI,252.0,2,252.0,2,0.0,80.0,0,1.0,131,259.2,3.2,0.2,125.4,0.6,259.2,3.2,0.8
2022_03_LA_ARI,ARI,249.0,0,249.0,0,0.0,100.0,2,1.0,132,266.4,3.0,0.2,116.2,0.6,266.4,3.0,0.8
2022_04_ARI_CAR,ARI,197.0,1,197.0,1,2.0,40.0,0,1.0,133,271.2,2.6,0.2,111.0,1.0,271.2,2.6,1.0
2022_05_PHI_ARI,ARI,239.0,0,239.0,0,0.0,139.0,2,0.0,134,259.2,2.2,0.6,110.0,1.0,259.2,2.2,1.0
2022_06_ARI_SEA,ARI,197.0,0,197.0,0,0.0,136.0,1,1.0,135,259.4,1.6,0.4,97.4,1.0,259.4,1.6,0.8
2022_07_NO_ARI,ARI,409.0,4,409.0,4,3.0,85.0,0,0.0,136,226.8,0.6,0.4,99.0,1.0,226.8,0.6,0.8
2022_08_ARI_MIN,ARI,232.0,2,232.0,2,0.0,173.0,3,1.0,137,258.2,1.0,1.0,100.0,1.0,258.2,1.0,0.6
2022_09_SEA_ARI,ARI,275.0,2,275.0,2,1.0,158.0,2,0.0,138,254.8,1.4,1.0,114.6,1.2,254.8,1.4,0.6
2022_10_ARI_LA,ARI,209.0,1,209.0,1,1.0,66.0,1,1.0,139,270.4,1.6,0.8,138.2,1.6,270.4,1.6,0.4
2022_11_SF_ARI,ARI,228.0,4,228.0,4,0.0,159.0,1,0.0,140,264.4,1.8,1.0,123.6,1.4,264.4,1.8,0.6
2022_12_LAC_ARI,ARI,274.0,3,274.0,3,0.0,65.0,0,0.0,141,270.6,2.6,1.0,128.2,1.4,270.6,2.6,0.4
2022_14_NE_ARI,ARI,235.0,0,235.0,0,1.0,103.0,2,0.0,142,243.6,2.4,0.4,124.2,1.4,243.6,2.4,0.4
2022_15_ARI_DEN,ARI,197.0,1,197.0,1,1.0,168.0,2,1.0,143,244.2,2.0,0.6,110.2,1.2,244.2,2.0,0.2
2022_16_TB_ARI,ARI,281.0,1,281.0,1,2.0,115.0,0,0.0,144,228.6,1.8,0.6,112.2,1.2,228.6,1.8,0.4
2022_17_ARI_ATL,ARI,169.0,0,169.0,0,0.0,132.0,2,1.0,145,243.0,1.8,0.8,122.0,1.0,243.0,1.8,0.2
2022_18_ARI_SF,ARI,178.0,3,178.0,3,0.0,169.0,2,0.0,146,231.2,1.0,0.8,116.6,1.2,231.2,1.0,0.4
