ball_team,season,game_id,rn,completions_season_avg,completions_season_avg,attempts_season_avg,attempts_season_avg,passing_yards_season_avg,passing_tds_season_avg,carries_season_avg,carries_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receptions_season_avg,receptions_season_avg,targets_season_avg,receiving_yards_season_avg,receiving_tds_season_avg
ARI,2018,2018_05_ARI_SF,69,17.25,17.25,28.5,28.5,154.0,0.75,19.0,19.0,66.75,0.5,17.25,17.25,27.75,154.0,0.75
ARI,2018,2018_06_ARI_MIN,70,15.8,15.8,27.8,27.8,157.2,0.8,19.8,19.8,64.6,0.8,15.8,15.8,26.8,157.2,0.8
ARI,2018,2018_07_DEN_ARI,71,16.666666666666668,16.666666666666668,28.333333333333332,28.333333333333332,171.0,0.6666666666666666,19.833333333333332,19.833333333333332,63.833333333333336,0.8333333333333334,16.666666666666668,16.666666666666668,27.5,171.0,0.6666666666666666
ARI,2018,2018_08_SF_ARI,72,17.285714285714285,17.285714285714285,29.857142857142858,29.857142857142858,174.28571428571428,0.7142857142857143,20.0,20.0,64.57142857142857,0.7142857142857143,17.285714285714285,17.285714285714285,28.714285714285715,174.28571428571428,0.7142857142857143
ARI,2018,2018_10_ARI_KC,73,18.0,18.0,31.125,31.125,184.0,0.875,20.125,20.125,67.5,0.625,18.0,18.0,29.5,184.0,0.875
ARI,2018,2018_11_OAK_ARI,74,18.444444444444443,18.444444444444443,32.0,32.0,186.66666666666666,0.8888888888888888,20.666666666666668,20.666666666666668,70.44444444444444,0.6666666666666666,18.444444444444443,18.444444444444443,30.333333333333332,186.66666666666666,0.8888888888888888
ARI,2018,2018_12_ARI_LAC,75,17.5,17.5,30.8,30.8,181.6,1.1,21.7,21.7,78.8,0.6,17.5,17.5,29.2,181.6,1.1
ARI,2018,2018_13_ARI_GB,76,17.0,17.0,29.727272727272727,29.727272727272727,174.63636363636363,1.0909090909090908,21.90909090909091,21.90909090909091,77.27272727272727,0.5454545454545454,17.0,17.0,28.09090909090909,174.63636363636363,1.0909090909090908
ARI,2018,2018_14_DET_ARI,77,16.5,16.5,29.416666666666668,29.416666666666668,172.5,1.0,22.5,22.5,86.0,0.6666666666666666,16.5,16.5,27.75,172.5,1.0
ARI,2018,2018_15_ARI_ATL,78,17.23076923076923,17.23076923076923,30.307692307692307,30.307692307692307,177.69230769230768,0.9230769230769231,22.384615384615383,22.384615384615383,84.07692307692308,0.6153846153846154,17.23076923076923,17.23076923076923,28.76923076923077,177.69230769230768,0.9230769230769231
