Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
229,Cam Newton,,,QB30,131.0,,,201.5,00-0027939,QB,2020,0.9096385542168675,31,2011,0.9273333333333332,120.53797,0.045,1.0,34.6,--
234,Teddy Bridgewater,TB,9,QB31,135.0,,,212.0,00-0031237,QB,2020,0.7807017543859649,27,2014,0.9613333333333336,46.735455,0.063,32.0,12.5,--
245,Carson Wentz,,,QB32,213.0,242.0,,253.7,00-0032950,QB,2020,0.95,27,2016,0.9641666666666668,58.042934,0.17,2.0,30.2,--
285,Tim Tebow,,,TE33,,,,250.0,00-0027876,QB,2020,1.0,33,2010,-1.0,--,--,25.0,14.1,--
289,Andy Dalton,CAR,13,QB34,,,,252.0,00-0027973,QB,2020,0.9575757575757575,32,2011,0.8281818181818181,65.79305,0.055,35.0,12.0,--
301,Jared Goff,DET,9,QB35,,,,260.0,00-0033106,QB,2020,0.9875,25,2016,1.0,50.128254,0.17800000000000002,1.0,34.6,--
302,Drew Anderson,,,QB36,,260.0,,260.0,00-0035483,QB,2020,1.0,24,2019,-1.0,--,0.003,,0.0,--
330,Tyrod Taylor,NYJ,6,QB41,,,,278.0,00-0028118,QB,2020,0.9696969696969697,31,2011,0.505,,0.03,180.0,1.5,--
338,Drew Lock,SEA,9,QB42,,,,283.0,00-0035704,QB,2020,0.5757575757575758,23,2019,0.9353846153846154,77.1203,0.009000000000000001,42.0,10.8,--
349,Jimmy Garoppolo,LAR,11,QB43,,,,301.0,00-0031345,QB,2020,0.7982456140350878,28,2014,0.765,93.87815,0.155,62.0,8.3,--
396,Case Cookus,,,QB44,,,,358.0,00-0035812,QB,2020,--,24,2022,-1.0,--,--,,0.0,--
397,Marcus Mariota,WAS,9,QB45,,,,359.0,00-0032268,QB,2020,0.8762886597938144,26,2015,0.86,,0.019,2.0,30.2,--
416,Mitchell Trubisky,BUF,7,QB46,,,,380.0,00-0033869,QB,2020,0.953125,26,2017,0.8379999999999999,58.90598,0.013999999999999999,2.0,30.2,--
417,Sam Ehlinger,DEN,11,QB47,,,,381.0,00-0036879,QB,2020,--,21,2021,-1.0,--,0.005,218.0,0.3,--
429,Jacob Eason,,,QB48,,,,394.0,00-0036226,QB,2020,0.0625,22,2020,-1.0,--,0.005,122.0,4.0,--
435,Colin Kaepernick,,,QB49,,,,400.0,00-0027974,QB,2020,0.8936170212765957,32,2011,-1.0,--,--,36.0,11.8,--
436,Johnny Manziel,,,QB50,,,,401.0,00-0031409,QB,2020,0.5151515151515151,27,2014,-1.0,--,--,22.0,14.9,--
441,Jordan Love,GB,13,QB51,,,,406.0,00-0036264,QB,2020,0.0625,21,2020,-1.0,--,0.016,26.0,13.9,--
453,Tony Romo,,,QB52,,,,418.0,00-0021678,QB,2020,0.8211382113821138,40,2003,-1.0,--,--,,0.0,--
478,Taylor Heinicke,LAC,7,QB53,,,,443.0,00-0031800,QB,2020,0.9615384615384616,27,2015,0.35,,0.013000000000000001,,0.0,--
482,Davis Mills,HOU,10,QB54,,,,447.0,00-0036898,QB,2020,--,21,2021,-1.0,--,0.006999999999999999,67.0,7.8,--
488,Chad Henne,,,QB55,,,,453.0,00-0026197,QB,2020,0.8978494623655914,35,2008,0.4599999999999999,66.208534,0.008,57.0,8.9,--
489,John Wolford,JAC,7,QB56,,,,454.0,00-0034899,QB,2020,1.0,24,2019,-1.0,,0.003,,0.0,--
490,Mike Glennon,,,QB57,,,,455.0,00-0030520,QB,2020,0.9770992366412213,30,2013,0.89,42.506477,0.008,73.0,7.3,--
495,Joe Flacco,CLE,13,QB58,,,,460.0,00-0026158,QB,2020,0.8860103626943006,35,2008,0.8099999999999999,61.875515,0.019,18.0,16.2,--
496,Jacoby Brissett,ARI,12,QB59,,,,461.0,00-0033119,QB,2020,0.8625,27,2016,0.0618181818181818,15.268909,0.027000000000000003,91.0,5.9,--
498,Gardner Minshew II,KC,12,QB60,,,,463.0,00-0035289,QB,2020,0.875,24,2019,0.9488888888888888,19.27931,0.004,178.0,1.6,--
