Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
273,DeShone Kizer,,,QB30,,,,,,328.0,264.0,00-0033899,QB,2016,--,20,2017,-1.0,--,0.006999999999999999,52.0,9.4,--
275,Trevor Siemian,TEN,8.0,QB31,,,,,,274.0,257.7,00-0032156,QB,2016,1.0,24,2015,0.9492857142857142,54.362904,0.004,250.0,0.0,--
280,Jared Goff,DET,7.0,QB32,,,,,,302.0,256.0,00-0033106,QB,2016,1.0,21,2016,0.94,18.801426,0.045,1.0,34.6,--
302,Josh McCown,,,QB33,,,,,,243.0,243.0,00-0021206,QB,2016,0.8289473684210527,37,2002,0.782,82.696,0.036000000000000004,81.0,6.6,--
312,Patrick Mahomes II,KC,10.0,QB34,,,,,,265.0,270.0,00-0033873,QB,2016,--,20,2017,-1.0,--,0.025,10.0,19.9,--
344,Tom Savage,,,QB35,,,,,,285.0,285.0,00-0031064,QB,2016,1.0,26,2014,0.6666666666666666,35.7532,0.005,135.0,3.4,--
346,Mike Glennon,,,QB36,,,,,,287.0,287.0,00-0030520,QB,2016,1.0,26,2013,0.095,,0.09,73.0,7.3,--
350,Matt Barkley,,,QB37,,,,,,298.0,298.0,00-0030533,QB,2016,1.0,25,2013,0.9157142857142856,46.042187,0.012,98.0,5.4,--
357,Brock Osweiler,,,QB38,,,,,,309.0,309.0,00-0029682,QB,2016,1.0,25,2012,0.9333333333333332,37.142254,0.005,57.0,8.9,--
359,Cody Kessler,,,QB39,,,,,,312.0,312.0,00-0033104,QB,2016,1.0,23,2016,0.6066666666666667,41.415577,0.005,93.0,5.7,--
360,Paxton Lynch,,,QB40,,,,,,313.0,313.0,00-0033108,QB,2016,1.0,22,2016,0.9033333333333332,14.575599,0.015,26.0,13.9,--
367,Colin Kaepernick,,,QB41,,,,,,323.0,323.0,00-0027974,QB,2016,0.8936170212765957,28,2011,0.9016666666666668,69.02771,0.1,36.0,11.8,--
372,Ryan Tannehill,,,QB42,,,,,,330.0,330.0,00-0029701,QB,2016,1.0,28,2012,0.9823076923076924,45.132504,0.134,8.0,21.4,--
396,Matt Moore,,,QB43,,,,,,356.0,356.0,00-0025708,QB,2016,0.9291338582677166,32,2007,-1.0,79.0465,0.011000000000000001,,0.0,--
