...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,pass_attempts,completions,pass_yards,pass_ypg,int,pass_td,rush_attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
99,100,Ben Roethlisberger,,,QB11,89,,110,106,,122,106.7,00-0022924,QB,2018,1.0,36,2004,0.96875,64.87353,0.18100000000000002,11,19.3,672,452,5129,320.5625,16,34,31,98,6.125,3,2,37,16
109,110,Kyler Murray,ARI,12,QB12,110,,123,117,,106,114.7,00-0035228,QB,2018,--,21,2019,-1,--,0.047,1,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0
111,112,Tom Brady,,,QB13,93,,97,136,,143,116.3,00-0019596,QB,2018,1.0,41,2000,0.97625,42.888187,0.122,199,0.9,568,375,4355,272.1875,11,29,23,35,2.1875,2,2,31,16
113,114,Lamar Jackson,BAL,8,QB14,119,,129,115,,132,118.2,00-0034796,QB,2018,1.0,21,2018,0.4975,73.79913,0.013000000000000001,32,12.5,170,99,1201,100.08333333333333,3,6,147,700,43.75,5,4,11,12
120,121,Dak Prescott,DAL,8,QB15,85,,127,146,,145,125.8,00-0033077,QB,2018,1.0,25,2016,0.995,60.95611,0.004,135,3.4,526,356,3885,242.8125,8,22,76,307,19.1875,6,6,28,16
121,122,Jameis Winston,NYG,11,QB16,154,,165,113,,116,126.5,00-0031503,QB,2018,0.9538461538461539,24,2015,0.8818181818181817,77.99556,0.044000000000000004,1,34.6,377,244,2992,272,14,19,49,281,25.545454545454547,1,3,20,11
122,123,Philip Rivers,,,QB17,137,,114,128,,130,126.5,00-0022942,QB,2018,1.0,36,2004,0.96875,39.79017,0.145,4,25.8,508,347,4308,269.25,12,32,18,7,0.4375,0,1,32,16
140,141,Kirk Cousins,ATL,9,QB18,157,,166,130,,149,146.2,00-0029604,QB,2018,1.0,30,2012,1,64.69757,0.158,102,5.1,603,425,4298,268.625,10,30,44,123,7.6875,1,7,31,16
145,146,Mitchell Trubisky,BUF,6,QB19,130,,159,148,,153,147.5,00-0033869,QB,2018,1.0,24,2017,0.9935714285714284,139.41652,0.043,2,30.2,433,289,3223,230.21428571428572,12,24,68,421,30.071428571428573,3,3,27,14
162,163,Jimmy Garoppolo,LAR,9,QB20,179,,160,170,,169,165.3,00-0031345,QB,2018,0.8414634146341463,26,2014,0.9966666666666668,44.523335,0.155,62,8.3,89,53,718,239.33333333333334,3,5,8,33,11,0,0,5,3
164,165,Josh Allen,BUF,6,QB21,190,,184,163,,183,171.5,00-0034857,QB,2018,1.0,22,2018,0.9258333333333332,137.12999,0.03,7,22.2,319,168,2044,170.33333333333334,12,10,89,631,52.583333333333336,8,2,18,12
170,171,Derek Carr,,,QB22,169,,182,177,,202,178,00-0031280,QB,2018,1.0,27,2014,0.986875,72.76485,0.15,36,11.8,546,381,4049,253.0625,10,19,24,47,2.9375,1,7,20,16
172,173,Matthew Stafford,LAR,9,QB23,193,,197,182,,208,188.2,00-0026498,QB,2018,0.8159509202453987,30,2009,0.980625,37.771706,0.162,1,34.6,554,367,3777,236.0625,11,21,25,71,4.4375,0,4,21,16
174,175,Sam Darnold,SEA,11,QB24,192,,206,197,,194,190.3,00-0034869,QB,2018,1.0,21,2018,0.9953846153846152,49.25018,0.043,3,27.6,413,239,2865,220.3846153846154,15,17,43,135,10.384615384615385,1,2,18,13
202,203,Nick Foles,,,QB25,199,,189,232,,214,204.6,00-0029567,QB,2018,0.8608695652173913,29,2012,0.97,96.44788,0.11699999999999999,88,6.1,193,141,1413,282.6,4,7,9,17,3.4,0,2,7,5
212,213,Marcus Mariota,WAS,10,QB26,215,,228,269,,185,220,00-0032268,QB,2018,0.9846153846153847,24,2015,0.8828571428571428,92.18138,0.042,2,30.2,331,228,2528,180.57142857142858,8,11,64,357,25.5,2,2,13,14
216,217,Jacoby Brissett,ARI,12,QB27,198,,259,215,,315,233.2,00-0033119,QB,2018,0.7916666666666666,25,2016,0.07,0.07796667,0.149,91,5.9,4,2,2,0.6666666666666666,0,0,7,-7,-1.75,0,0,0,3
222,223,Joe Flacco,CLE,7,QB28,218,,219,247,,333,245.2,00-0026158,QB,2018,0.9316770186335404,33,2008,0.9544444444444444,28.815298,0.14300000000000002,18,16.2,376,232,2465,273.8888888888889,6,12,19,45,5,0,1,12,9
225,226,Andy Dalton,CAR,7,QB29,259,,257,240,,286,246.6,00-0027973,QB,2018,0.9624060150375939,30,2011,0.9190909090909092,44.298183,0.12,35,12,362,226,2566,233.27272727272728,11,21,16,99,9,0,0,21,11
244,245,Eli Manning,,,QB30,223,,217,,,308,248,00-0022803,QB,2018,1.0,37,2004,0.9825,26.653967,0.147,1,34.6,575,380,4299,268.6875,11,21,15,20,1.25,1,4,22,16
253,254,Daniel Jones,IND,6,QB31,258,,265,,,304,263.3,00-0035710,QB,2018,--,21,2019,-1,--,0.034,6,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0
264,265,Dwayne Haskins,,,QB32,958,,239,,,203,406.3,00-0035232,QB,2018,--,21,2019,-1,--,--,15,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0
281,282,Ryan Fitzpatrick,,,QB33,950,,279,,,296,446.3,00-0023682,QB,2018,0.9090909090909091,35,2005,0.7875000000000001,157.63211,0.028999999999999998,250,0,246,164,2366,295.75,12,17,36,152,19,2,1,19,8
309,310,Josh Rosen,,,QB34,1000,,,,,299,519,00-0034343,QB,2018,1.0,21,2018,0.9171428571428571,25.621012,0.025,10,19.9,392,217,2278,162.71428571428572,14,11,23,138,9.857142857142858,0,5,11,14
318,319,Case Keenum,CHI,6,QB35,1000,,,,,327,535.7,00-0028986,QB,2018,1.0,30,2012,-1,19.403358,0.04,,0,584,365,3890,243.125,15,18,27,93,5.8125,2,2,20,16
341,342,Blake Bortles,,,QB36,304,,,,,366,335,00-0031407,QB,2018,1.0,26,2014,0.906153846153846,92.41088,0.005,3,27.6,403,243,2718,209.07692307692307,11,13,58,365,28.076923076923077,1,4,14,13
351,352,Jay Cutler,,,QB37,241,,,,,,241,00-0024226,QB,2018,0.8666666666666667,35,2006,-1,--,--,11,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0
352,354,Nathan Peterman,,,QB38,242,,,,,,242,00-0033958,QB,2018,1.0,24,2017,0.4775,41.52387,0.003,171,1.9,81,44,296,74,7,1,10,50,12.5,1,0,2,4
361,364,Sam Bradford,,,QB39,255,,,,,,255,00-0027854,QB,2018,0.8695652173913043,30,2010,0.9133333333333334,12.653733,0.113,1,34.6,80,50,400,133.33333333333334,4,2,2,7,2.3333333333333335,0,2,2,3
376,379,Matt Barkley,,,QB41,271,,,,,,271,00-0030533,QB,2018,0.9876543209876543,27,2013,1,,0.011000000000000001,98,5.4,25,15,232,232,0,2,3,-2,-2,0,0,2,1
385,389,Trace McSorley,,,QB42,317,,,,,411,364,00-0035146,QB,2018,--,23,2019,-1,--,0.004,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0
393,397,Nick Fitzgerald,,,QB43,292,,,,,,292,00-0035471,QB,2018,--,22,2019,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,400,Carson Palmer,,,QB44,298,,,,,,298,00-0021429,QB,2018,0.8623188405797102,38,2003,-1,--,--,1,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0
397,401,Kellen Clemens,,,QB45,300,,,,,,300,00-0024264,QB,2018,1.0,35,2006,-1,--,--,49,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0
429,435,Joshua Dobbs,NE,10,QB46,406,,,,,371,388.5,00-0033949,QB,2018,1.0,23,2017,0.1,0.24148,0.004,135,3.4,12,6,43,14.333333333333334,1,0,4,11,2.2,0,0,0,3
466,472,Matt Cassel,,,QB47,360,,,,,,360,00-0023662,QB,2018,0.910958904109589,36,2005,0.155,11.233799,0.006,230,0,17,7,59,29.5,1,0,2,13,6.5,0,0,0,2
467,473,Drew Lock,SEA,11,QB48,947,,,,,360,653.5,00-0035704,QB,2018,--,21,2019,-1,--,0.009000000000000001,42,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
488,495,Ryan Tannehill,,,QB49,954,,,,,376,665,00-0029701,QB,2018,0.8620689655172413,30,2012,0.9718181818181818,64.443825,0.037000000000000005,8,21.4,273,176,1979,179.9090909090909,9,17,32,145,13.181818181818182,0,4,18,11
492,499,Teddy Bridgewater,TB,7,QB50,379,,,,,,379,00-0031237,QB,2018,0.7073170731707317,25,2014,0.256,16.6281,0.039,32,12.5,23,14,118,59,1,1,11,5,1.25,0,0,1,2
493,500,C.J. Beathard,,,QB51,490,,,,,379,434.5,00-0033936,QB,2018,1.0,24,2017,0.835,33.464478,0.005,104,5,169,102,1252,250.4,7,8,19,69,13.8,1,3,9,5
511,519,Geno Smith,LV,,QB52,393,,,,,,393,00-0030565,QB,2018,0.9090909090909091,27,2013,0.104,1.6022667,0.005,39,11.3,4,1,8,2.6666666666666665,0,0,8,2,0.5,0,1,0,3
512,520,Jacob Dolegala,,,QB53,,,,,,393,393,00-0035394,QB,2018,--,21,2019,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,534,Paxton Lynch,,,QB54,485,,,,,403,444,00-0033108,QB,2018,1.0,24,2016,-1,--,0.004,26,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0
527,536,Joe Webb,III,,QB55,405,,,,,,405,00-0027796,QB,2018,1.0,31,2010,0.030625,,0.005,199,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
530,539,Tim Tebow,,,TE78,,,,,,408,408,00-0027876,QB,2018,1.0,31,2010,-1,--,--,25,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
532,541,Tom Savage,,,QB56,409,,,,,,409,00-0031064,QB,2018,0.9649122807017544,28,2014,-1,--,0.005,135,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
538,547,Matt Moore,,,QB57,414,,,,,,414,00-0025708,QB,2018,0.9370629370629371,34,2007,-1,--,0.005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,565,Johnny Manziel,,,QB58,,,,,,427,427,00-0031409,QB,2018,0.5151515151515151,25,2014,-1,--,--,22,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0
557,566,DeShone Kizer,,,QB59,427,,,,,,427,00-0033899,QB,2018,1.0,22,2017,0.3633333333333333,23.300133,0.006999999999999999,52,9.4,41,20,187,93.5,2,0,5,39,13,0,1,0,2
558,567,Chad Kelly,,,QB60,428,,,,,,428,00-0033597,QB,2018,0.30434782608695654,24,2017,0.02,,0.003,253,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0
561,570,Tyrod Taylor,NYJ,4,QB61,464,,,,,429,446.5,00-0028118,QB,2018,1.0,29,2011,0.61,114.86037,0.028999999999999998,180,1.5,84,42,473,118.25,2,2,16,125,31.25,1,0,3,4
563,572,Will Grier,DAL,8,QB62,746,,,,,430,588,00-0035251,QB,2018,--,23,2019,-1,--,0.005,100,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0
565,574,AJ McCarron,,,QB63,460,,,,,432,446,00-0031288,QB,2018,1.0,27,2014,0.105,0.1352,0.016,164,2.1,3,1,8,8,0,0,3,-2,-1,0,0,0,1
566,575,Ryan Mallett,,,QB64,433,,,,,,433,00-0028012,QB,2018,0.8857142857142857,30,2011,-1,--,--,74,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
569,578,Cooper Rush,BAL,8,QB65,446,,,,,434,440,00-0033662,QB,2018,1.0,24,2017,0.08,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,581,Blaine Gabbert,,,QB66,710,,,,,436,573,00-0027948,QB,2018,0.9133858267716536,28,2011,0.455,14.723429,0.009000000000000001,10,19.9,101,61,626,104.33333333333333,4,4,6,0,0,0,0,4,6
577,586,Brock Osweiler,,,QB67,440,,,,,,440,00-0029682,QB,2018,1.0,27,2012,0.7585714285714286,80.461044,0.005,57,8.9,177,113,1247,178.14285714285714,4,6,8,21,3,0,1,6,7
578,587,Drew Stanton,,,QB68,441,,,,,,441,00-0025430,QB,2018,1.0,34,2007,-1,--,0.018000000000000002,43,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0
584,593,Chase Daniel,,,QB69,447,,,,,,447,00-0026544,QB,2018,1.0,31,2009,-1,93.36917,0.027999999999999997,,0,76,53,515,257.5,2,3,13,3,0.75,0,0,3,2
585,594,T.J. Yates,,,QB70,448,,,,,,448,00-0028090,QB,2018,0.8791208791208791,31,2011,-1,--,--,152,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0
586,595,Tim Boyle,,,QB71,449,,,,,,449,00-0034177,QB,2018,1.0,23,2018,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,604,Josh Johnson,WAS,10,QB72,461,,,,,,461,00-0026300,QB,2018,1.0,32,2008,0.8674999999999999,90.67919,0.005,,0,91,52,590,147.5,4,3,23,120,30,1,0,4,4
600,609,E.J. Manuel,,,QB73,469,,,,,,469,00-0030526,QB,2018,1.0,28,2013,-1,--,0.004,16,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0
604,613,Chad Henne,,,QB74,473,,,,,,473,00-0026197,QB,2018,0.974025974025974,33,2008,0.24,,0.019,57,8.9,3,2,29,29,0,0,1,3,3,0,0,0,1
615,624,Connor Cook,,,QB75,488,,,,,,488,00-0032893,QB,2018,1.0,25,2016,-1,--,0.004,100,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0
619,628,Matt Schaub,,,QB76,493,,,,,,493,00-0022787,QB,2018,0.9316770186335404,37,2004,0.05666666666666667,0.605,0.01,90,5.9,7,5,20,20,0,0,1,0,0,0,0,0,1
621,630,Scott Tolzien,,,QB77,496,,,,,,496,00-0028595,QB,2018,1.0,30,2011,-1,--,--,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,631,Brandon Weeden,,,QB78,497,,,,,,497,00-0029677,QB,2018,1.0,34,2012,0.02,,0.004,22,14.9,0,0,0,0,0,0,1,-1,-1,0,0,0,0
625,634,Jarrett Stidham,DEN,10,QB79,501,,,,,,501,00-0035264,QB,2018,--,22,2019,-1,--,0.004,133,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
628,637,Gardner Minshew II,KC,12,QB80,505,,,,,,505,00-0035289,QB,2018,--,22,2019,-1,--,0.004,178,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
645,654,Brian Hoyer,,,QB81,522,,,,,,522,00-0026625,QB,2018,0.9027777777777778,32,2009,-1,0.10908,0.021,,0,2,1,7,3.5,0,0,11,-8,-1.6,0,0,0,2
648,657,Mike White,BUF,6,QB82,525,,,,,,525,00-0034401,QB,2018,1.0,23,2018,-1,--,0.001,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
654,663,Christian Hackenberg,,,QB83,531,,,,,,531,00-0032953,QB,2018,1.0,23,2016,-1,--,0.004,51,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
656,665,Ryan Finley,,,QB84,533,,,,,,533,00-0035652,QB,2018,--,23,2019,-1,--,0.004,104,5,0,0,0,0,0,0,0,0,0,0,0,0,0
659,668,Brett Hundley,,,QB85,537,,,,,,537,00-0031589,QB,2018,1.0,25,2015,-1,--,0.01,147,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
661,670,Kyle Sloter,,,QB86,539,,,,,,539,00-0033672,QB,2018,1.0,24,2017,-1,--,0.004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,672,Sean Mannion,,,QB87,541,,,,,,541,00-0032245,QB,2018,1.0,26,2015,0.17666666666666667,0.032133333,--,89,6,3,2,23,23,0,0,7,-9,-3,0,0,0,1
667,676,Kyle Allen,DET,5,QB88,545,,,,,,545,00-0034577,QB,2018,1.0,22,2018,0.46,276.125,0.003,,0,31,20,266,133,0,2,5,19,9.5,1,0,3,2
668,677,Trevor Siemian,TEN,11,QB89,546,,,,,,546,00-0032156,QB,2018,0.9692307692307692,26,2015,-1,--,0.011000000000000001,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,688,Austin Davis,,,QB90,559,,,,,,559,00-0028957,QB,2018,1.0,29,2012,-1,--,0.005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,706,Tyler Bray,,,QB92,580,,,,,,580,00-0030151,QB,2018,1.0,26,2013,-1,--,0.004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,741,Garrett Gilbert,,,QB93,617,,,,,,617,00-0031395,QB,2018,1.0,27,2014,0.18,,0.004,214,0.4,3,2,40,40,0,0,0,0,0,0,0,0,1
752,763,Easton Stick,ATL,9,QB94,640,,,,,,640,00-0035282,QB,2018,--,22,2019,-1,--,0.004,166,2,0,0,0,0,0,0,0,0,0,0,0,0,0
756,767,Alex Tanney,,,QB95,644,,,,,,644,00-0029623,QB,2018,0.6190476190476191,30,2012,-1,--,0.006,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,769,Landry Jones,,,QB96,646,,,,,,646,00-0030524,QB,2018,1.0,29,2013,-1,--,0.004,115,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0
763,775,Nate Sudfeld,,,QB97,653,,,,,,653,00-0032792,QB,2018,1.0,24,2016,0.07500000000000001,10.9512,0.016,187,1.3,2,1,22,11,0,1,2,-2,-1,0,0,1,2
771,783,Mike Glennon,,,QB98,662,,,,,,662,00-0030520,QB,2018,1.0,28,2013,0.21,17.523197,0.01,73,7.3,21,15,174,87,0,1,0,0,0,0,0,1,2
779,791,Mason Rudolph,PIT,7,QB99,672,,,,,,672,00-0034771,QB,2018,1.0,23,2018,-1,--,0.006,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0
791,803,Cardale Jones,,,QB100,686,,,,,,686,00-0033098,QB,2018,1.0,25,2016,-1,--,0.003,139,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
796,808,Danny Etling,,,QB101,692,,,,,,692,00-0034423,QB,2018,--,24,2018,-1,--,0.003,219,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
831,843,Kyle Lauletta,,,QB103,729,,,,,,729,00-0034369,QB,2018,1.0,23,2018,0.14500000000000002,,--,108,4.8,5,0,0,0,1,0,1,-2,-2,0,0,0,1
835,847,Brandon Allen,TEN,11,QB104,734,,,,,,734,00-0032434,QB,2018,0.9411764705882353,25,2016,-1,--,0.003,201,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
852,864,Clayton Thorson,,,QB105,753,,,,,,753,00-0035283,QB,2018,--,23,2019,-1,--,0.004,167,2,0,0,0,0,0,0,0,0,0,0,0,0,0
858,870,Logan Woodside,PIT,7,QB106,760,,,,,,760,00-0034438,QB,2018,--,23,2018,-1,--,0.003,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,880,Cody Kessler,,,QB107,771,,,,,,771,00-0033104,QB,2018,1.0,25,2016,0.844,17.223122,0.005,93,5.7,131,85,709,141.8,2,2,19,123,24.6,0,3,2,5
888,900,Trevone Boykin,,,QB108,791,,,,,,791,00-0032462,QB,2018,1.0,25,2016,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,915,Alex McGough,,,QB109,807,,,,,,807,00-0034732,QB,2018,--,22,2018,-1,--,0.003,220,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
904,916,Taylor Heinicke,LAC,12,QB110,808,,,,,,808,00-0031800,QB,2018,0.9591836734693877,25,2015,0.17333333333333334,28.377602,0.004,,0,56,35,320,64,3,1,5,31,6.2,0,0,1,5
922,934,Jake Rudock,,,QB111,827,,,,,,827,00-0032431,QB,2018,1.0,25,2016,-1,--,0.003,191,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
929,941,Luke Falk,,,QB112,835,,,,,,835,00-0034412,QB,2018,0.25,23,2018,-1,--,0.003,199,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
937,949,Brad Kaaya,,,QB113,844,,,,,,844,00-0033585,QB,2018,0.30434782608695654,22,2017,-1,--,0.004,215,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
938,950,Kevin Hogan,,,QB114,845,,,,,,845,00-0032784,QB,2018,1.0,25,2016,-1,--,--,162,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
941,953,Tanner Lee,,,QB115,848,,,,,,848,00-0034416,QB,2018,1.0,23,2018,-1,--,0.004,203,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
951,964,Derek Anderson,,,QB116,859,,,,,,859,00-0023645,QB,2018,1.0,35,2005,0.985,36.125,0.006,213,0.5,70,42,465,232.5,4,0,1,-1,-0.5,0,2,0,2
959,972,Bryce Petty,,,QB117,868,,,,,,868,00-0031568,QB,2018,0.9230769230769231,27,2015,-1,--,0.005,103,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
965,978,Brett Rypien,MIN,12,QB118,876,,,,,,876,00-0034955,QB,2018,--,22,2019,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,979,Brandon Doughty,,,QB119,877,,,,,,877,00-0032446,QB,2018,1.0,26,2016,-1,--,0.003,223,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
979,992,David Fales,,,QB120,891,,,,,,891,00-0031076,QB,2018,1.0,27,2014,-1,--,0.004,183,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,1016,Jeff Driskel,,,QB121,915,,,,,,915,00-0032436,QB,2018,0.6666666666666666,25,2016,0.6588888888888889,27.880116,0.003,207,0.6,176,105,1003,125.375,2,6,25,130,16.25,2,1,8,8
1006,1019,Davis Webb,,,QB122,918,,,,,,918,00-0033550,QB,2018,1.0,23,2017,-1,--,0.003,87,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,1024,Joe Callahan,,,QB123,924,,,,,,924,00-0032630,QB,2018,1.0,25,2016,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,1033,Garrett Grayson,,,QB124,933,,,,,,933,00-0032148,QB,2018,1.0,27,2015,-1,--,0.003,75,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,1035,Josh McCown,,,QB125,936,,,,,,936,00-0021206,QB,2018,0.8518518518518519,39,2002,0.765,49.561203,0.011000000000000001,81,6.6,109,60,539,134.75,4,1,5,32,8,0,0,1,4
1023,1037,Colt McCoy,,,QB126,945,,,,,,945,00-0027688,QB,2018,0.8918918918918919,31,2010,0.5366666666666667,45.9676,0.018000000000000002,85,6.3,52,34,372,124,3,3,10,63,21,0,0,3,3
1028,1042,Nick Mullens,JAC,10,QB127,962,,,,,,962,00-0033319,QB,2018,1.0,23,2017,1,36.21803,0.003,,0,270,176,2277,284.625,10,13,19,-16,-2,0,0,13,8
